code,name,last_price,volume,turnover,option_type,strike_time,option_strike_price,option_open_interest,option_implied_volatility,option_delta,option_gamma,option_theta,option_vega,option_expiry_date_distance,option_contract_size,stock_owner,open_price,high_price,low_price,prev_close_price,atm_degree_pct,market_val,anomaly_reason,scan_symbol,scan_timestamp
US.AAPL260515C220000,AAPL 260515 220.00C,293.257,6313,46105660.0,CALL,2026-05-15,220.0,2935,79.687,0.996179523,0.000351528,-0.04296064,0.004617767,7,100.0,US.AAPL,73.25,74.51,72.38,67.5639,0.2498047787435594,4307169958492.0,"成交额 $46,105,660 ≥ 阈值 $300,000 | 成交量 6,313 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C110000,AAPL 260515 110.00C,293.257,1195,21850750.0,CALL,2026-05-15,110.0,349,0.0,0.0,0.0,0.0,0.0,7,100.0,US.AAPL,183.5,183.5,182.15,177.5125,0.6249023893717797,4307169958492.0,"成交额 $21,850,750 ≥ 阈值 $300,000 | 成交量 1,195 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C210000,AAPL 260515 210.00C,293.257,2105,17423964.0,CALL,2026-05-15,210.0,849,92.926,0.996164677,0.000302496,-0.045593945,0.004632958,7,100.0,US.AAPL,82.96,83.25,82.3,77.5529,0.2839045615279431,4307169958492.0,"成交额 $17,423,964 ≥ 阈值 $300,000 | 成交量 2,105 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260618C300000,AAPL 260618 300.00C,293.257,25908,16962343.0,CALL,2026-06-18,300.0,101842,22.983,0.419388212,0.017300393,-0.11988198,0.384013807,41,100.0,US.AAPL,5.45,7.45,5.2,4.425,-0.022993483531509887,4307169958492.0,"成交额 $16,962,343 ≥ 阈值 $300,000 | 成交量 25,908 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C155000,AAPL 260515 155.00C,293.257,1204,16585311.0,CALL,2026-05-15,155.0,484,0.0,0.0,0.0,0.0,0.0,7,100.0,US.AAPL,137.6,138.4,137.0,132.526,0.47145336684205325,4307169958492.0,"成交额 $16,585,311 ≥ 阈值 $300,000 | 成交量 1,204 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260717C295000,AAPL 260717 295.00C,293.257,13765,16512741.0,CALL,2026-07-17,295.0,52201,22.943,0.524265553,0.013515396,-0.098287835,0.511364208,70,100.0,US.AAPL,10.48,12.95,10.2,9.025,-0.0059435921393180555,4307169958492.0,"成交额 $16,512,741 ≥ 阈值 $300,000 | 成交量 13,765 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C215000,AAPL 260515 215.00C,293.257,2107,16372248.0,CALL,2026-05-15,215.0,893,0.0,0.0,0.0,0.0,0.0,7,100.0,US.AAPL,79.13,79.13,77.31,72.5584,0.26685467013575126,4307169958492.0,"成交额 $16,372,248 ≥ 阈值 $300,000 | 成交量 2,107 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C165000,AAPL 260515 165.00C,293.257,1201,15330340.0,CALL,2026-05-15,165.0,446,186.542,0.990846071,0.000325837,-0.130807741,0.010013418,7,100.0,US.AAPL,128.4,128.4,127.25,122.529,0.43735358405766955,4307169958492.0,"成交额 $15,330,340 ≥ 阈值 $300,000 | 成交量 1,201 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C200000,AAPL 260515 200.00C,293.257,1629,15125878.0,CALL,2026-05-15,200.0,611,0.0,0.0,0.0,0.0,0.0,7,100.0,US.AAPL,93.02,94.0,92.2,87.5428,0.3180043443123267,4307169958492.0,"成交额 $15,125,878 ≥ 阈值 $300,000 | 成交量 1,629 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C185000,AAPL 260515 185.00C,293.257,1155,12420557.0,CALL,2026-05-15,185.0,443,0.0,0.0,0.0,0.0,0.0,7,100.0,US.AAPL,105.51,108.05,105.51,102.5351,0.3691540184889022,4307169958492.0,"成交额 $12,420,557 ≥ 阈值 $300,000 | 成交量 1,155 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C290000,AAPL 260515 290.00C,293.257,20439,11692651.0,CALL,2026-05-15,290.0,33006,21.923,0.657730289,0.041282866,-0.26033803,0.149070968,7,100.0,US.AAPL,4.18,6.8,4.0,2.8,0.011106299252873776,4307169958492.0,"成交额 $11,692,651 ≥ 阈值 $300,000 | 成交量 20,439 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C295000,AAPL 260515 295.00C,293.257,27967,8460232.0,CALL,2026-05-15,295.0,24713,22.122,0.438244221,0.043898064,-0.274936672,0.159971641,7,100.0,US.AAPL,1.99,3.85,1.99,1.33,-0.0059435921393180555,4307169958492.0,"成交额 $8,460,232 ≥ 阈值 $300,000 | 成交量 27,967 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C270000,AAPL 260515 270.00C,293.257,3620,8345406.0,CALL,2026-05-15,270.0,24725,0.0,0.0,0.0,0.0,0.0,7,100.0,US.AAPL,20.4,24.81,20.4,17.8873,0.0793058648216411,4307169958492.0,"成交额 $8,345,406 ≥ 阈值 $300,000 | 成交量 3,620 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C300000,AAPL 260515 300.00C,293.257,48673,7894144.0,CALL,2026-05-15,300.0,62321,22.599,0.245465155,0.034307344,-0.216721485,0.127670749,7,100.0,US.AAPL,0.63,2.0,0.63,0.615,-0.022993483531509887,4307169958492.0,"成交额 $7,894,144 ≥ 阈值 $300,000 | 成交量 48,673 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260618C270000,AAPL 260618 270.00C,293.257,2650,7020799.0,CALL,2026-06-18,270.0,27707,25.486,0.85498988,0.009100141,-0.092131583,0.223887799,41,100.0,US.AAPL,23.55,27.82,23.55,21.5943,0.0793058648216411,4307169958492.0,"成交额 $7,020,799 ≥ 阈值 $300,000 | 成交量 2,650 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260821C300000,AAPL 260821 300.00C,293.257,4694,6383085.0,CALL,2026-08-21,300.0,12704,24.591,0.489281403,0.010310551,-0.08658889,0.627233085,105,100.0,US.AAPL,12.72,14.65,12.6,11.0,-0.022993483531509887,4307169958492.0,"成交额 $6,383,085 ≥ 阈值 $300,000 | 成交量 4,694 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260717C110000,AAPL 260717 110.00C,293.257,345,6339375.0,CALL,2026-07-17,110.0,0,61.352,0.999930567,3.564e-06,-0.011064703,0.000362924,70,100.0,US.AAPL,183.75,183.75,183.75,183.75,0.6249023893717797,4307169958492.0,"成交额 $6,339,375 ≥ 阈值 $300,000 | 成交量 345 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C280000,AAPL 260515 280.00C,293.257,4604,6266204.0,CALL,2026-05-15,280.0,36861,23.721,0.926010048,0.014551016,-0.118595166,0.056829218,7,100.0,US.AAPL,11.05,15.2,10.75,8.9219,0.04520608203725744,4307169958492.0,"成交额 $6,266,204 ≥ 阈值 $300,000 | 成交量 4,604 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260618C290000,AAPL 260618 290.00C,293.257,5104,5850346.0,CALL,2026-06-18,290.0,31303,23.346,0.592593941,0.016917399,-0.12551715,0.381444759,41,100.0,US.AAPL,9.65,12.55,9.65,8.35,0.011106299252873776,4307169958492.0,"成交额 $5,850,346 ≥ 阈值 $300,000 | 成交量 5,104 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C180000,AAPL 260515 180.00C,293.257,490,5533080.0,CALL,2026-05-15,180.0,167,0.0,0.0,0.0,0.0,0.0,7,100.0,US.AAPL,112.98,113.95,112.1,107.5335,0.38620390988109404,4307169958492.0,"成交额 $5,533,080 ≥ 阈值 $300,000 | 成交量 490 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260618C280000,AAPL 260618 280.00C,293.257,2992,5522827.0,CALL,2026-06-18,280.0,45073,24.341,0.744759235,0.013429731,-0.114175455,0.315642217,41,100.0,US.AAPL,16.12,19.5,15.88,14.1289,0.04520608203725744,4307169958492.0,"成交额 $5,522,827 ≥ 阈值 $300,000 | 成交量 2,992 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260618C285000,AAPL 260618 285.00C,293.257,3471,5154483.0,CALL,2026-06-18,285.0,19068,23.875,0.672975995,0.015377797,-0.122109407,0.354559106,41,100.0,US.AAPL,13.25,15.8,13.25,10.997,0.028156190645065606,4307169958492.0,"成交额 $5,154,483 ≥ 阈值 $300,000 | 成交量 3,471 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260717C300000,AAPL 260717 300.00C,293.257,5167,4996934.0,CALL,2026-07-17,300.0,23114,22.774,0.457014205,0.013561702,-0.095576671,0.50932323,70,100.0,US.AAPL,8.0,10.36,8.0,7.1,-0.022993483531509887,4307169958492.0,"成交额 $4,996,934 ≥ 阈值 $300,000 | 成交量 5,167 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C285000,AAPL 260515 285.00C,293.257,5335,4990204.0,CALL,2026-05-15,285.0,32225,22.046,0.835011073,0.027740223,-0.183113726,0.100680794,7,100.0,US.AAPL,7.21,10.63,7.21,5.3656,0.028156190645065606,4307169958492.0,"成交额 $4,990,204 ≥ 阈值 $300,000 | 成交量 5,335 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260717C290000,AAPL 260717 290.00C,293.257,3308,4842392.0,CALL,2026-07-17,290.0,12440,23.299,0.590574602,0.012988013,-0.099211623,0.499036615,70,100.0,US.AAPL,13.2,15.55,13.2,11.35,0.011106299252873776,4307169958492.0,"成交额 $4,842,392 ≥ 阈值 $300,000 | 成交量 3,308 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260618C295000,AAPL 260618 295.00C,293.257,5418,4752012.0,CALL,2026-06-18,295.0,23703,23.044,0.505950982,0.017613418,-0.124818443,0.392022388,41,100.0,US.AAPL,7.4,9.73,7.25,6.175,-0.0059435921393180555,4307169958492.0,"成交额 $4,752,012 ≥ 阈值 $300,000 | 成交量 5,418 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260515C195000,AAPL 260515 195.00C,293.257,476,4663335.0,CALL,2026-05-15,195.0,191,0.0,0.0,0.0,0.0,0.0,7,100.0,US.AAPL,97.1,98.55,97.1,92.5391,0.3350542357045186,4307169958492.0,"成交额 $4,663,335 ≥ 阈值 $300,000 | 成交量 476 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260511C292500,AAPL 260511 292.50C,293.257,21136,4591948.0,CALL,2026-05-11,292.5,6499,14.571,0.589083344,0.100541534,-0.29307517,0.103253867,3,100.0,US.AAPL,1.32,3.4,1.3,0.705,0.00258135355677786,4307169958492.0,"成交额 $4,591,948 ≥ 阈值 $300,000 | 成交量 21,136 手",US.AAPL,2026-05-09 04:16:03
US.AAPL260511C295000,AAPL 260511 295.00C,293.257,35174,4448575.0,CALL,2026-05-11,295.0,3979,15.861,0.350234588,0.087980056,-0.291463648,0.098334393,3,100.0,US.AAPL,0.76,1.99,0.72,0.375,-0.0059435921393180555,4307169958492.0,"成交额 $4,448,575 ≥ 阈值 $300,000 | 成交量 35,174 手",US.AAPL,2026-05-09 04:16:03
