ticker,tier,tier_name,company_name,exchange,in_pool_time
AAPL,1,manual_pool,,,2026-05-09 18:25:49
AMD,1,manual_pool,,,2026-05-09 18:25:49
AMZN,1,manual_pool,,,2026-05-09 18:25:49
ARM,1,manual_pool,,,2026-05-09 18:25:49
BABA,1,manual_pool,,,2026-05-09 18:25:49
BIDU,1,manual_pool,,,2026-05-09 18:25:49
BILI,1,manual_pool,,,2026-05-09 18:25:49
COIN,1,manual_pool,,,2026-05-09 18:25:49
CRWV,1,manual_pool,,,2026-05-09 18:25:49
FIGR,1,manual_pool,,,2026-05-09 18:25:49
GDX,1,manual_pool,,,2026-05-09 18:25:49
GOOGL,1,manual_pool,,,2026-05-09 18:25:49
INTC,1,manual_pool,,,2026-05-09 18:25:49
JD,1,manual_pool,,,2026-05-09 18:25:49
LI,1,manual_pool,,,2026-05-09 18:25:49
META,1,manual_pool,,,2026-05-09 18:25:49
MSFT,1,manual_pool,,,2026-05-09 18:25:49
MSTR,1,manual_pool,,,2026-05-09 18:25:49
MU,1,manual_pool,,,2026-05-09 18:25:49
NIO,1,manual_pool,,,2026-05-09 18:25:49
NVDA,1,manual_pool,,,2026-05-09 18:25:49
PDD,1,manual_pool,,,2026-05-09 18:25:49
QQQ,1,manual_pool,,,2026-05-09 18:25:49
RKLB,1,manual_pool,,,2026-05-09 18:25:49
SLV,1,manual_pool,,,2026-05-09 18:25:49
SMCI,1,manual_pool,,,2026-05-09 18:25:49
TME,1,manual_pool,,,2026-05-09 18:25:49
TSLA,1,manual_pool,,,2026-05-09 18:25:49
XPEV,1,manual_pool,,,2026-05-09 18:25:49
A,2,sp500,Agilent Technologies,NYSE/NASDAQ,2026-05-09 18:25:49
ABBV,2,sp500,AbbVie,NYSE/NASDAQ,2026-05-09 18:25:49
ABNB,2,sp500,Airbnb,NYSE/NASDAQ,2026-05-09 18:25:49
ABT,2,sp500,Abbott Laboratories,NYSE/NASDAQ,2026-05-09 18:25:49
ACGL,2,sp500,Arch Capital Group,NYSE/NASDAQ,2026-05-09 18:25:49
ACN,2,sp500,Accenture,NYSE/NASDAQ,2026-05-09 18:25:49
ADBE,2,sp500,Adobe Inc.,NYSE/NASDAQ,2026-05-09 18:25:49
ADI,2,sp500,Analog Devices,NYSE/NASDAQ,2026-05-09 18:25:49
ADM,2,sp500,Archer Daniels Midland,NYSE/NASDAQ,2026-05-09 18:25:49
ADP,2,sp500,Automatic Data Processing,NYSE/NASDAQ,2026-05-09 18:25:49
ADSK,2,sp500,Autodesk,NYSE/NASDAQ,2026-05-09 18:25:49
AEE,2,sp500,Ameren,NYSE/NASDAQ,2026-05-09 18:25:49
AEP,2,sp500,American Electric Power,NYSE/NASDAQ,2026-05-09 18:25:49
AES,2,sp500,AES Corporation,NYSE/NASDAQ,2026-05-09 18:25:49
AFL,2,sp500,Aflac,NYSE/NASDAQ,2026-05-09 18:25:49
AIG,2,sp500,American International Group,NYSE/NASDAQ,2026-05-09 18:25:49
AIZ,2,sp500,Assurant,NYSE/NASDAQ,2026-05-09 18:25:49
AJG,2,sp500,Arthur J. Gallagher & Co.,NYSE/NASDAQ,2026-05-09 18:25:49
AKAM,2,sp500,Akamai Technologies,NYSE/NASDAQ,2026-05-09 18:25:49
ALB,2,sp500,Albemarle Corporation,NYSE/NASDAQ,2026-05-09 18:25:49
ALGN,2,sp500,Align Technology,NYSE/NASDAQ,2026-05-09 18:25:49
ALL,2,sp500,Allstate,NYSE/NASDAQ,2026-05-09 18:25:49
ALLE,2,sp500,Allegion,NYSE/NASDAQ,2026-05-09 18:25:49
AMAT,2,sp500,Applied Materials,NYSE/NASDAQ,2026-05-09 18:25:49
AMCR,2,sp500,Amcor,NYSE/NASDAQ,2026-05-09 18:25:49
AME,2,sp500,Ametek,NYSE/NASDAQ,2026-05-09 18:25:49
AMGN,2,sp500,Amgen,NYSE/NASDAQ,2026-05-09 18:25:49
AMP,2,sp500,Ameriprise Financial,NYSE/NASDAQ,2026-05-09 18:25:49
AMT,2,sp500,American Tower,NYSE/NASDAQ,2026-05-09 18:25:49
ANET,2,sp500,Arista Networks,NYSE/NASDAQ,2026-05-09 18:25:49
AON,2,sp500,Aon plc,NYSE/NASDAQ,2026-05-09 18:25:49
AOS,2,sp500,A. O. Smith,NYSE/NASDAQ,2026-05-09 18:25:49
APA,2,sp500,APA Corporation,NYSE/NASDAQ,2026-05-09 18:25:49
APD,2,sp500,Air Products,NYSE/NASDAQ,2026-05-09 18:25:49
APH,2,sp500,Amphenol,NYSE/NASDAQ,2026-05-09 18:25:49
APO,2,sp500,Apollo Global Management,NYSE/NASDAQ,2026-05-09 18:25:49
APP,2,sp500,AppLovin,NYSE/NASDAQ,2026-05-09 18:25:49
APTV,2,sp500,Aptiv,NYSE/NASDAQ,2026-05-09 18:25:49
ARE,2,sp500,Alexandria Real Estate Equities,NYSE/NASDAQ,2026-05-09 18:25:49
ARES,2,sp500,Ares Management,NYSE/NASDAQ,2026-05-09 18:25:49
ATO,2,sp500,Atmos Energy,NYSE/NASDAQ,2026-05-09 18:25:49
AVB,2,sp500,AvalonBay Communities,NYSE/NASDAQ,2026-05-09 18:25:49
AVGO,2,sp500,Broadcom,NYSE/NASDAQ,2026-05-09 18:25:49
AVY,2,sp500,Avery Dennison,NYSE/NASDAQ,2026-05-09 18:25:49
AWK,2,sp500,American Water Works,NYSE/NASDAQ,2026-05-09 18:25:49
AXON,2,sp500,Axon Enterprise,NYSE/NASDAQ,2026-05-09 18:25:49
AXP,2,sp500,American Express,NYSE/NASDAQ,2026-05-09 18:25:49
AZO,2,sp500,AutoZone,NYSE/NASDAQ,2026-05-09 18:25:49
BA,2,sp500,Boeing,NYSE/NASDAQ,2026-05-09 18:25:49
BAC,2,sp500,Bank of America,NYSE/NASDAQ,2026-05-09 18:25:49
BALL,2,sp500,Ball Corporation,NYSE/NASDAQ,2026-05-09 18:25:49
BAX,2,sp500,Baxter International,NYSE/NASDAQ,2026-05-09 18:25:49
BBY,2,sp500,Best Buy,NYSE/NASDAQ,2026-05-09 18:25:49
BDX,2,sp500,Becton Dickinson,NYSE/NASDAQ,2026-05-09 18:25:49
BEN,2,sp500,Franklin Resources,NYSE/NASDAQ,2026-05-09 18:25:49
BF.B,2,sp500,Brown–Forman,NYSE/NASDAQ,2026-05-09 18:25:49
BG,2,sp500,Bunge Global,NYSE/NASDAQ,2026-05-09 18:25:49
BIIB,2,sp500,Biogen,NYSE/NASDAQ,2026-05-09 18:25:49
BK,2,sp500,BNY Mellon,NYSE/NASDAQ,2026-05-09 18:25:49
BKNG,2,sp500,Booking Holdings,NYSE/NASDAQ,2026-05-09 18:25:49
BKR,2,sp500,Baker Hughes,NYSE/NASDAQ,2026-05-09 18:25:49
BLDR,2,sp500,Builders FirstSource,NYSE/NASDAQ,2026-05-09 18:25:49
BLK,2,sp500,BlackRock,NYSE/NASDAQ,2026-05-09 18:25:49
BMY,2,sp500,Bristol Myers Squibb,NYSE/NASDAQ,2026-05-09 18:25:49
BR,2,sp500,Broadridge Financial Solutions,NYSE/NASDAQ,2026-05-09 18:25:49
BRK.B,2,sp500,Berkshire Hathaway,NYSE/NASDAQ,2026-05-09 18:25:49
BRO,2,sp500,Brown & Brown,NYSE/NASDAQ,2026-05-09 18:25:49
BSX,2,sp500,Boston Scientific,NYSE/NASDAQ,2026-05-09 18:25:49
BX,2,sp500,Blackstone Inc.,NYSE/NASDAQ,2026-05-09 18:25:49
BXP,2,sp500,"BXP, Inc.",NYSE/NASDAQ,2026-05-09 18:25:49
C,2,sp500,Citigroup,NYSE/NASDAQ,2026-05-09 18:25:49
CAG,2,sp500,Conagra Brands,NYSE/NASDAQ,2026-05-09 18:25:49
CAH,2,sp500,Cardinal Health,NYSE/NASDAQ,2026-05-09 18:25:49
CARR,2,sp500,Carrier Global,NYSE/NASDAQ,2026-05-09 18:25:49
CASY,2,sp500,Casey's,NYSE/NASDAQ,2026-05-09 18:25:49
CAT,2,sp500,Caterpillar Inc.,NYSE/NASDAQ,2026-05-09 18:25:49
CB,2,sp500,Chubb Limited,NYSE/NASDAQ,2026-05-09 18:25:49
CBOE,2,sp500,Cboe Global Markets,NYSE/NASDAQ,2026-05-09 18:25:49
CBRE,2,sp500,CBRE Group,NYSE/NASDAQ,2026-05-09 18:25:49
CCI,2,sp500,Crown Castle,NYSE/NASDAQ,2026-05-09 18:25:49
CCL,2,sp500,Carnival,NYSE/NASDAQ,2026-05-09 18:25:49
CDNS,2,sp500,Cadence Design Systems,NYSE/NASDAQ,2026-05-09 18:25:49
CDW,2,sp500,CDW Corporation,NYSE/NASDAQ,2026-05-09 18:25:49
CEG,2,sp500,Constellation Energy,NYSE/NASDAQ,2026-05-09 18:25:49
CF,2,sp500,CF Industries,NYSE/NASDAQ,2026-05-09 18:25:49
CFG,2,sp500,Citizens Financial Group,NYSE/NASDAQ,2026-05-09 18:25:49
CHD,2,sp500,Church & Dwight,NYSE/NASDAQ,2026-05-09 18:25:49
CHRW,2,sp500,C.H. Robinson,NYSE/NASDAQ,2026-05-09 18:25:49
CHTR,2,sp500,Charter Communications,NYSE/NASDAQ,2026-05-09 18:25:49
CI,2,sp500,Cigna,NYSE/NASDAQ,2026-05-09 18:25:49
CIEN,2,sp500,Ciena,NYSE/NASDAQ,2026-05-09 18:25:49
CINF,2,sp500,Cincinnati Financial,NYSE/NASDAQ,2026-05-09 18:25:49
CL,2,sp500,Colgate-Palmolive,NYSE/NASDAQ,2026-05-09 18:25:49
CLX,2,sp500,Clorox,NYSE/NASDAQ,2026-05-09 18:25:49
CMCSA,2,sp500,Comcast,NYSE/NASDAQ,2026-05-09 18:25:49
CME,2,sp500,CME Group,NYSE/NASDAQ,2026-05-09 18:25:49
CMG,2,sp500,Chipotle Mexican Grill,NYSE/NASDAQ,2026-05-09 18:25:49
CMI,2,sp500,Cummins,NYSE/NASDAQ,2026-05-09 18:25:49
CMS,2,sp500,CMS Energy,NYSE/NASDAQ,2026-05-09 18:25:49
CNC,2,sp500,Centene Corporation,NYSE/NASDAQ,2026-05-09 18:25:49
CNP,2,sp500,CenterPoint Energy,NYSE/NASDAQ,2026-05-09 18:25:49
COF,2,sp500,Capital One,NYSE/NASDAQ,2026-05-09 18:25:49
COHR,2,sp500,Coherent Corp.,NYSE/NASDAQ,2026-05-09 18:25:49
COO,2,sp500,Cooper Companies (The),NYSE/NASDAQ,2026-05-09 18:25:49
COP,2,sp500,ConocoPhillips,NYSE/NASDAQ,2026-05-09 18:25:49
COR,2,sp500,Cencora,NYSE/NASDAQ,2026-05-09 18:25:49
COST,2,sp500,Costco,NYSE/NASDAQ,2026-05-09 18:25:49
CPAY,2,sp500,Corpay,NYSE/NASDAQ,2026-05-09 18:25:49
CPB,2,sp500,Campbell's Company (The),NYSE/NASDAQ,2026-05-09 18:25:49
CPRT,2,sp500,Copart,NYSE/NASDAQ,2026-05-09 18:25:49
CPT,2,sp500,Camden Property Trust,NYSE/NASDAQ,2026-05-09 18:25:49
CRH,2,sp500,CRH plc,NYSE/NASDAQ,2026-05-09 18:25:49
CRL,2,sp500,Charles River Laboratories,NYSE/NASDAQ,2026-05-09 18:25:49
CRM,2,sp500,Salesforce,NYSE/NASDAQ,2026-05-09 18:25:49
CRWD,2,sp500,CrowdStrike,NYSE/NASDAQ,2026-05-09 18:25:49
CSCO,2,sp500,Cisco,NYSE/NASDAQ,2026-05-09 18:25:49
CSGP,2,sp500,CoStar Group,NYSE/NASDAQ,2026-05-09 18:25:49
CSX,2,sp500,CSX Corporation,NYSE/NASDAQ,2026-05-09 18:25:49
CTAS,2,sp500,Cintas,NYSE/NASDAQ,2026-05-09 18:25:49
CTSH,2,sp500,Cognizant,NYSE/NASDAQ,2026-05-09 18:25:49
CTVA,2,sp500,Corteva,NYSE/NASDAQ,2026-05-09 18:25:49
CVNA,2,sp500,Carvana,NYSE/NASDAQ,2026-05-09 18:25:49
CVS,2,sp500,CVS Health,NYSE/NASDAQ,2026-05-09 18:25:49
CVX,2,sp500,Chevron Corporation,NYSE/NASDAQ,2026-05-09 18:25:49
D,2,sp500,Dominion Energy,NYSE/NASDAQ,2026-05-09 18:25:49
DAL,2,sp500,Delta Air Lines,NYSE/NASDAQ,2026-05-09 18:25:49
DASH,2,sp500,DoorDash,NYSE/NASDAQ,2026-05-09 18:25:49
DD,2,sp500,DuPont,NYSE/NASDAQ,2026-05-09 18:25:49
DDOG,2,sp500,Datadog,NYSE/NASDAQ,2026-05-09 18:25:49
DE,2,sp500,Deere & Company,NYSE/NASDAQ,2026-05-09 18:25:49
DECK,2,sp500,Deckers Brands,NYSE/NASDAQ,2026-05-09 18:25:49
DELL,2,sp500,Dell Technologies,NYSE/NASDAQ,2026-05-09 18:25:49
DG,2,sp500,Dollar General,NYSE/NASDAQ,2026-05-09 18:25:49
DGX,2,sp500,Quest Diagnostics,NYSE/NASDAQ,2026-05-09 18:25:49
DHI,2,sp500,D. R. Horton,NYSE/NASDAQ,2026-05-09 18:25:49
DHR,2,sp500,Danaher Corporation,NYSE/NASDAQ,2026-05-09 18:25:49
DIS,2,sp500,Walt Disney Company (The),NYSE/NASDAQ,2026-05-09 18:25:49
DLR,2,sp500,Digital Realty,NYSE/NASDAQ,2026-05-09 18:25:49
DLTR,2,sp500,Dollar Tree,NYSE/NASDAQ,2026-05-09 18:25:49
DOC,2,sp500,Healthpeak Properties,NYSE/NASDAQ,2026-05-09 18:25:49
DOV,2,sp500,Dover Corporation,NYSE/NASDAQ,2026-05-09 18:25:49
DOW,2,sp500,Dow Inc.,NYSE/NASDAQ,2026-05-09 18:25:49
DPZ,2,sp500,Domino's,NYSE/NASDAQ,2026-05-09 18:25:49
DRI,2,sp500,Darden Restaurants,NYSE/NASDAQ,2026-05-09 18:25:49
DTE,2,sp500,DTE Energy,NYSE/NASDAQ,2026-05-09 18:25:49
DUK,2,sp500,Duke Energy,NYSE/NASDAQ,2026-05-09 18:25:49
DVA,2,sp500,DaVita,NYSE/NASDAQ,2026-05-09 18:25:49
DVN,2,sp500,Devon Energy,NYSE/NASDAQ,2026-05-09 18:25:49
DXCM,2,sp500,Dexcom,NYSE/NASDAQ,2026-05-09 18:25:49
EA,2,sp500,Electronic Arts,NYSE/NASDAQ,2026-05-09 18:25:49
EBAY,2,sp500,eBay Inc.,NYSE/NASDAQ,2026-05-09 18:25:49
ECL,2,sp500,Ecolab,NYSE/NASDAQ,2026-05-09 18:25:49
ED,2,sp500,Consolidated Edison,NYSE/NASDAQ,2026-05-09 18:25:49
EFX,2,sp500,Equifax,NYSE/NASDAQ,2026-05-09 18:25:49
EG,2,sp500,Everest Group,NYSE/NASDAQ,2026-05-09 18:25:49
EIX,2,sp500,Edison International,NYSE/NASDAQ,2026-05-09 18:25:49
EL,2,sp500,Estée Lauder Companies (The),NYSE/NASDAQ,2026-05-09 18:25:49
ELV,2,sp500,Elevance Health,NYSE/NASDAQ,2026-05-09 18:25:49
EME,2,sp500,Emcor,NYSE/NASDAQ,2026-05-09 18:25:49
EMR,2,sp500,Emerson Electric,NYSE/NASDAQ,2026-05-09 18:25:49
EOG,2,sp500,EOG Resources,NYSE/NASDAQ,2026-05-09 18:25:49
EPAM,2,sp500,EPAM Systems,NYSE/NASDAQ,2026-05-09 18:25:49
EQIX,2,sp500,Equinix,NYSE/NASDAQ,2026-05-09 18:25:49
EQR,2,sp500,Equity Residential,NYSE/NASDAQ,2026-05-09 18:25:49
EQT,2,sp500,EQT Corporation,NYSE/NASDAQ,2026-05-09 18:25:49
ERIE,2,sp500,Erie Indemnity,NYSE/NASDAQ,2026-05-09 18:25:49
ES,2,sp500,Eversource Energy,NYSE/NASDAQ,2026-05-09 18:25:49
ESS,2,sp500,Essex Property Trust,NYSE/NASDAQ,2026-05-09 18:25:49
ETN,2,sp500,Eaton Corporation,NYSE/NASDAQ,2026-05-09 18:25:49
ETR,2,sp500,Entergy,NYSE/NASDAQ,2026-05-09 18:25:49
EVRG,2,sp500,Evergy,NYSE/NASDAQ,2026-05-09 18:25:49
EW,2,sp500,Edwards Lifesciences,NYSE/NASDAQ,2026-05-09 18:25:49
EXC,2,sp500,Exelon,NYSE/NASDAQ,2026-05-09 18:25:49
EXE,2,sp500,Expand Energy,NYSE/NASDAQ,2026-05-09 18:25:49
EXPD,2,sp500,Expeditors International,NYSE/NASDAQ,2026-05-09 18:25:49
EXPE,2,sp500,Expedia Group,NYSE/NASDAQ,2026-05-09 18:25:49
EXR,2,sp500,Extra Space Storage,NYSE/NASDAQ,2026-05-09 18:25:49
F,2,sp500,Ford Motor Company,NYSE/NASDAQ,2026-05-09 18:25:49
FANG,2,sp500,Diamondback Energy,NYSE/NASDAQ,2026-05-09 18:25:49
FAST,2,sp500,Fastenal,NYSE/NASDAQ,2026-05-09 18:25:49
