stock_owner,trade_date,deep_turnover,deep_volume,deep_contracts,deep_oi_sum,deep_avg_churn,deep_max_churn,deep_avg_notional_churn,deep_avg_iv,deep_avg_delta,day_total_turnover,deep_turnover_share,is_churning
US.AAON,2026-05-08,9448714.0,2461,5,3664,18.415637024794904,89.33333333333333,4.99152002293433,56.855399999999996,0.7164065918,10137883.0,0.9320204228042482,True
US.AAPL,2026-05-08,74274904.0,16485,20,119505,0.5907410923234581,4.26369168356998,0.11281844587970824,28.03435,0.5798068438499999,417891430.0,0.17773732282569182,False
US.ABNB,2026-05-08,1644390.0,1202,2,781,50.47107526881721,100.16666666666667,5.149608666761592,110.489,0.826370171,4920401.0,0.3341983712303123,True
US.AEP,2026-05-08,23776864.0,10813,9,1624,7.783836861399203,9.038461538461538,1.698380662259399,16.484555555555556,0.3232871626666667,27431308.0,0.866778354134626,True
US.AKAM,2026-05-08,3732222.0,2271,2,2859,0.8130521362074301,0.90150842945874,0.11527450446568768,242.243,0.821506878,7341983.0,0.508339776869546,False
US.AMAT,2026-05-08,4600943.0,703,2,435,12.575100255195041,24.23076923076923,2.0630920575044325,81.0305,0.944752228,9101465.0,0.5055167492266355,True
US.AMD,2026-05-08,106671575.0,15994,21,116708,0.21269609581401044,0.7712177121771218,0.036182605428916666,95.9657619047619,0.8935148468571429,351500111.0,0.3034752242226177,False
US.AMZN,2026-05-08,68400895.0,15801,13,177673,0.21501936836239505,0.9708904109589042,0.045268704691784074,63.05076923076923,0.9049417363076924,158547087.0,0.43142322129198124,False
US.APP,2026-05-08,5714882.0,1910,4,2020,0.9375012576739193,1.645973154362416,0.056101936131889595,59.27375,0.65875832525,66280439.0,0.08622275419750916,False
US.AVAV,2026-05-08,2135380.0,820,2,820,1.0,1.0,0.15484135754664718,0.0,0.0,7409677.0,0.2881880006375447,False
US.AVGO,2026-05-08,29818878.0,4307,4,25777,3.8259071396697313,13.6,0.6164964317166991,55.167500000000004,0.8322231955,66956207.0,0.44534897265013834,False
US.BA,2026-05-08,2488578.0,673,1,3049,0.22072810757625452,0.22072810757625452,0.03532852088356949,32.6,0.918975094,17101419.0,0.14551880168540401,False
US.BABA,2026-05-08,1304464.0,865,2,7559,0.43773287612406414,0.8259493670886076,0.04596917290329726,48.1995,0.7517394465,23403621.0,0.055737699734583805,False
US.CGNX,2026-05-08,4650018.0,5230,1,7735,0.676147382029735,0.676147382029735,0.09119627873554201,47.612,0.916578479,7263546.0,0.6401856613835721,False
US.CRWD,2026-05-08,5113677.0,1006,4,6634,0.8768708654239938,3.0606060606060606,0.09279213227299865,56.311,0.8689184595,24920463.0,0.205199919439699,False
