stock_owner,trade_date,deep_turnover,deep_volume,deep_contracts,deep_oi_sum,deep_avg_churn,deep_max_churn,deep_avg_notional_churn,deep_avg_iv,deep_avg_delta,day_total_turnover,deep_turnover_share,is_churning
US.AAL,2026-05-09,673459.0,3502,1,7827,0.4474255781269963,0.4474255781269963,0.06445172740666731,50.92,0.732688594,6052292.0,0.11127338205096515,False
US.AAPL,2026-05-09,250498077.0,35865,40,188400,9.95323443921701,345.0,158484.84073785756,24.884075000000003,0.46326457755000006,539319627.0,0.4644705374314145,True
US.ABT,2026-05-09,44268557.0,16602,12,11487,1.4569579860293775,2.3189189189189188,0.44097658256469,31.585916666666666,-0.46919786816666664,44268557.0,1.0,False
US.ADI,2026-05-09,68524260.0,5922,2,3617,8.262718169077562,15.661375661375661,1.7338891261793572,21.2275,0.4024209345,69604704.0,0.9844774284220791,True
US.AKAM,2026-05-09,28898419.0,12624,9,23886,42.48666241433722,378.0,82676.17383930703,53.74022222222223,0.6200547795555555,37159362.0,0.7776887827083792,True
US.AMD,2026-05-09,939526598.0,103713,49,225223,1.0345641721037389,29.772226926333616,0.18445014574262883,75.54204081632653,0.8291643698163266,1514964880.0,0.6201639459787345,False
US.AMKR,2026-05-09,1083122.0,503,2,620,1.4395121469484495,2.4754098360655736,0.36264075563103093,81.53800000000001,0.7516059085,2080031.0,0.5207239699792936,False
US.AMZN,2026-05-09,25141976.0,7572,13,193899,0.04219442060149465,0.11162492885600456,0.0057750135694309345,50.722846153846156,0.9164108357692308,96104639.0,0.261610430688991,False
US.ANET,2026-05-09,748596.0,251,1,288,0.8715277777777778,0.8715277777777778,0.18334567727069664,55.117,-0.635999876,2144507.0,0.3490760347249974,False
US.APH,2026-05-09,389425.0,224,1,260,0.8615384615384616,0.8615384615384616,0.11698730465816305,51.601,-0.563603566,14166827.0,0.027488512424129977,False
US.ARM,2026-05-09,1350071.0,437,2,606,2.4334521687462867,4.444444444444445,0.29925633559717946,74.096,0.7597346684999999,23451931.0,0.05756758366720421,False
US.AVGO,2026-05-09,10186369.0,1487,4,10786,66.2729533135219,248.0,440940.7236469645,42.2605,0.6739999329999999,114022500.0,0.0893364818347256,True
US.BA,2026-05-09,2991640.0,1535,3,7947,2.5509003363703213,7.503597122302159,0.1908288384634633,41.556666666666665,0.8710549240000001,22508381.0,0.13291226943421652,False
US.BABA,2026-05-09,355103.0,230,1,1570,0.1464968152866242,0.1464968152866242,0.016148811564834362,48.856,-0.575695265,19571146.0,0.018144210870431398,False
US.BAC,2026-05-09,6244861.0,5679,3,18041,0.7831585053590798,1.6459016393442623,0.17176351315693825,11.248333333333333,0.29165244966666665,14062000.0,0.44409479448158157,False
US.BIIB,2026-05-09,3314297.0,1064,2,570,7.5,14.0,1.2406863792979477,19.51,0.46966509,3314297.0,1.0,True
US.BSX,2026-05-09,8760454.0,2823,3,7905,0.9305069645153047,1.4335664335664335,0.7249619546244931,81.26466666666666,-0.8975089063333334,14295043.0,0.6128315948402534,False
US.C,2026-05-09,766310.0,258,1,219,1.178082191780822,1.178082191780822,0.2787042947105794,90.03,0.97123152,9996275.0,0.07665955568449247,False
US.CAR,2026-05-09,2151480.0,1006,3,3547,0.606635897830134,1.3658536585365855,0.12410192199610802,23.724,-0.271466077,4560918.0,0.471720824623464,False
US.CME,2026-05-09,602400.0,200,1,387,0.5167958656330749,0.5167958656330749,0.05534539190353144,23.252,-0.732370686,956450.0,0.6298290553609702,False
US.CNC,2026-05-09,602739.0,905,1,3233,0.2799257655428395,0.2799257655428395,0.033315465268705255,42.3,0.814484278,602739.0,1.0,False
US.CNS,2026-05-09,358000.0,500,1,4,125.0,125.0,12.300714678394721,0.0,0.0,358000.0,1.0,False
US.COF,2026-05-09,1555398.0,859,2,351,211.62428571428572,422.0,17.95087977622968,16.99,-0.411145703,1555398.0,1.0,True
US.COIN,2026-05-09,4167136.0,1446,4,3519,1.026526364174146,3.011111111111111,0.3182424785364881,61.94975,0.6611568245,62783460.0,0.06637314987100106,False
US.COP,2026-05-09,79666643.0,35728,20,13863,7.556429283692287,12.25,1.8169128109743784,26.833499999999997,0.34145692365,80495164.0,0.9897071953291504,True
US.CRCL,2026-05-09,1649885.0,773,2,4849,0.15890086713172435,0.179476861167002,0.029655871037087146,87.60849999999999,0.8489773005,25758294.0,0.06405257273637766,False
US.CRM,2026-05-09,3788663.0,906,3,458,1.9660681596941487,2.01980198019802,0.4147944792261578,79.16333333333334,-0.3934201993333333,22445976.0,0.16879029898276646,False
US.CRWV,2026-05-09,14219668.0,7032,8,73036,9.237855549602562,71.5,1.3049717970338846,93.568625,0.16886522774999999,121227241.0,0.11729762949896715,True
US.CSCO,2026-05-09,969312.0,520,1,17261,0.030125716934128962,0.030125716934128962,0.005815076137049731,35.962,0.85014037,16842449.0,0.05755172540525431,False
US.CVX,2026-05-09,1271980.0,401,1,2,200.5,200.5,35.017619204933375,0.0,0.0,2071392.0,0.6140701518592329,True
US.CYTK,2026-05-09,6164094.0,8203,1,19563,0.4193119664673107,0.4193119664673107,0.04096858711035316,49.53,0.921866687,6164094.0,1.0,False
US.DAL,2026-05-09,497240.0,650,1,5377,0.1208852519992561,0.1208852519992561,0.012610849312194632,42.691,0.751572342,1259221.0,0.3948790561783833,False
US.DASH,2026-05-09,15304658.0,4926,3,1599,14.728147286320644,42.19753086419753,3.191357028160411,33.498,0.564231016,15304658.0,1.0,True
US.DDOG,2026-05-09,18825715.0,4358,5,11686,200.21733444142737,1000.0,866000.0407443522,49.647000000000006,0.6887426082,32515154.0,0.5789828029109135,True
US.DELL,2026-05-09,13123863.0,5894,8,10243,0.7209136128555003,2.125140924464487,0.062050107088932355,67.1645,0.823912555875,54902876.0,0.23903780559692356,False
US.DHI,2026-05-09,1066813.0,906,2,0,453.0,453.0,533406.5,0.0,0.0,1066813.0,1.0,True
US.DHR,2026-05-09,14417190.0,3621,3,1293,3.20220581863356,4.675324675324675,0.8663982377607636,0.0,0.0,14720873.0,0.9793705848831112,False
US.DINO,2026-05-09,64785717.0,46624,10,10443,4.296316530088235,6.009615384615385,1.2664903482266934,19.0232,0.1980601185,65339057.0,0.9915312521268864,True
US.DIS,2026-05-09,3339597.0,1932,3,5138,1.3661139517757805,3.1746031746031744,0.23788808359104338,16.04733333333333,0.5935558586666666,4140381.0,0.8065917122119921,False
US.DOCN,2026-05-09,2385940.0,974,1,688,1.4156976744186047,1.4156976744186047,0.2115240040568239,96.261,0.895662622,5074160.0,0.4702137890803601,False
US.DOCS,2026-05-09,433016.0,1008,1,2474,0.4074373484236055,0.4074373484236055,0.06736977576806485,180.869,0.758801825,433016.0,1.0,False
US.DVN,2026-05-09,1962303.0,25061,1,0,25061.0,25061.0,1962303.0,0.0,0.0,3199427.0,0.6133295118157095,True
US.EL,2026-05-09,822073.0,1508,1,5089,0.296325407742189,0.296325407742189,0.018740046659028457,0.0,0.0,822073.0,1.0,False
US.FCX,2026-05-09,313280.0,315,1,1298,0.24268104776579352,0.24268104776579352,0.03914938073047686,51.463,-0.739133757,2170208.0,0.14435482681844322,False
US.FLEX,2026-05-09,1516325.0,602,2,675,0.935479375696767,1.0483091787439613,0.1977709984019791,31.293,0.4689458395,3255991.0,0.46570306858956306,False
US.FLR,2026-05-09,3359618.0,4023,1,5033,0.7993244585734155,0.7993244585734155,0.15412560178325246,79.661,-0.95659327,3359618.0,1.0,False
US.FTNT,2026-05-09,1527001.0,653,3,6149,0.12344642857971487,0.18772893772893773,0.02841017477883324,28.300666666666668,0.5993703393333334,2801376.0,0.5450896273831146,False
US.GLD,2026-05-09,6276211.0,1389,5,4656,58.37580940960068,262.0,5.234248377747623,17.6388,0.22781274619999997,89234938.0,0.07033356150255857,True
US.GLW,2026-05-09,18246297.0,6297,7,17411,0.5850167404230115,1.8911290322580645,0.0913984622704919,58.611714285714285,0.6525531424285714,57372480.0,0.3180322168398507,False
US.GME,2026-05-09,385561.0,240,1,9,26.666666666666668,26.666666666666668,17.644197327475744,0.0,0.0,1715816.0,0.22470999221361732,False
US.GOOG,2026-05-09,11097239.0,1901,7,32174,2.4315869660270666,12.6875,0.43771232320756237,36.444714285714284,0.8054365772857143,54604590.0,0.20322905089114304,False
US.GOOGL,2026-05-09,23165321.0,4567,6,50325,0.1876220794358583,0.6102941176470589,0.02326338838650564,23.386,0.4711389948333333,92579023.0,0.2502221372545701,False
US.GWW,2026-05-09,1892000.0,215,1,34,6.323529411764706,6.323529411764706,0.45105461432208066,22.281,0.995536674,1892000.0,1.0,False
US.HAL,2026-05-09,1004056.0,1137,2,31065,0.08916494779319414,0.15751324226373015,0.02326085030640358,38.1995,0.8438300894999999,1004056.0,1.0,False
US.HIMS,2026-05-09,785202.0,2963,2,9759,0.3815808015993207,0.6037259235869908,0.03384200552167957,149.54149999999998,0.7264733405,8489835.0,0.09248730982404252,False
US.HOOD,2026-05-09,4086186.0,1654,4,22286,0.6788358920868903,1.490506329113924,0.10184974371402977,79.43775,-0.05307860050000002,21014634.0,0.194444785476635,False
US.HR,2026-05-09,5774751.0,5983,4,1271,45.76350301350301,124.0,38.66652515523484,239.2225,0.731513817,5774751.0,1.0,True
US.HUM,2026-05-09,1140279.0,545,1,710,0.7676056338028169,0.7676056338028169,0.05840946903416425,43.362,0.77526157,1630329.0,0.6994164981423995,False
US.INTC,2026-05-09,257750039.0,116556,92,566924,5.8733728622614985,300.0,8315.634400874573,96.56132608695653,0.7238397288152174,795206506.0,0.32412969091075317,True
US.IRM,2026-05-09,314112.0,225,1,322,0.6987577639751553,0.6987577639751553,0.07571430499767635,50.755,0.952764481,314112.0,1.0,False
US.JNJ,2026-05-09,681348.0,308,1,529,0.5822306238185255,0.5822306238185255,0.058195935232393234,17.279,0.967883349,2927358.0,0.23275185337768733,False
US.KBR,2026-05-09,3300000.0,4000,2,2835,1.7374559967052687,2.4906600249066004,0.4462911180045728,50.2355,-0.7973653195,3300000.0,1.0,False
US.KO,2026-05-09,1303579.0,1963,1,4142,0.47392563978754226,0.47392563978754226,0.04013288892123544,15.032,0.908599186,2636250.0,0.4944823138928402,False
US.LVS,2026-05-09,337443.0,768,1,2,384.0,384.0,31.76831105253248,55.151,0.866187621,337443.0,1.0,False
US.MARA,2026-05-09,310577.0,807,1,1121,0.719892952720785,0.719892952720785,0.2141062779285993,95.548,-0.692252233,6069804.0,0.05116755005598204,False
US.MCD,2026-05-09,4020325.0,1090,4,1036,1.061660109777201,1.1393034825870647,0.14243044906167332,58.656,-0.9408252015,10078196.0,0.398913158664507,False
US.MCHP,2026-05-09,713609775.0,201347,5,99357,57.40295718549993,284.7447368421053,16.941629422032054,32.337,0.503560028,718453230.0,0.993258496450771,True
US.MCY,2026-05-09,722966.0,375,1,545,0.6880733944954128,0.6880733944954128,0.13309352054440204,0.0,0.0,722966.0,1.0,False
US.META,2026-05-09,22245609.0,1532,4,899,3.5779705271538305,8.736842105263158,1.1792065147212647,0.0,0.0,126624195.0,0.17568213562976648,True
US.MNST,2026-05-09,1047965.0,1085,2,3831,199.58953275907075,399.0,273160.0075874156,29.704500000000003,-0.06550014999999998,1409121.0,0.7437012151546958,True
US.MP,2026-05-09,1146995.0,874,2,2717,0.5424564820212043,0.9593114241001565,0.10761979429840748,87.7355,0.833746452,7947897.0,0.1443142758392566,False
US.MPC,2026-05-09,2153908.0,761,2,1784,0.4363539959510267,0.5019762845849802,0.050821735366840586,46.117000000000004,0.878381603,2493690.0,0.8637432880590611,False
