stock_owner,trade_date,moneyness_bucket,bucket_turnover,bucket_volume,bucket_contracts,bucket_oi_sum,bucket_avg_iv,bucket_avg_delta,bucket_avg_churn,bucket_max_churn,bucket_avg_notional_churn,bucket_max_notional_churn,bucket_delta_flow,bucket_vega_flow,day_total_turnover,bucket_turnover_share
US.AAL,2026-05-09,ATM,708879.0,10549,2,26693,49.344,0.015153324999999995,0.39549354481160826,0.40668052028015084,0.019838546198785428,0.021882664917028897,290137.61367384205,12309.653556476,6052292.0,0.11712571039203
US.AAL,2026-05-09,DEEP_ITM,673459.0,3502,1,7827,50.92,0.732688594,0.4474255781269963,0.4474255781269963,0.06445172740666731,0.06445172740666731,493435.727826646,12951.734511940002,6052292.0,0.11127338205096515
US.AAL,2026-05-09,DEEP_OTM,4669954.0,93310,3,126351,53.46,-0.22700967833333333,2.12290528011064,5.6328740157480315,0.09687280661203801,0.26986096980152763,1127645.6115606101,82322.968268681,6052292.0,0.7716009075570048
US.AAPL,2026-05-09,ATM,263100475.0,512991,135,1077733,21.819718518518517,0.2956020937555555,6.999609197708192,354.0,0.15359044436815392,11.661273217689603,138321362.9360448,80834156.07728635,539319627.0,0.48783775302878046
US.AAPL,2026-05-09,DEEP_ITM,250498077.0,35865,40,188400,24.884075000000003,0.46326457755000006,9.95323443921701,345.0,158484.84073785756,6339375.0,115468112.46642515,6179569.627264089,539319627.0,0.4644705374314145
US.AAPL,2026-05-09,DEEP_OTM,25721075.0,63260,29,252735,25.71503448275862,0.06620484265517242,0.44840076079391544,2.57795172863666,0.00852443660093548,0.09428109473275335,6569694.406994619,12928542.622540079,539319627.0,0.04769170953980505
US.ABNB,2026-05-09,ATM,505293.0,3383,1,2946,37.81,0.140063134,1.148336727766463,1.148336727766463,0.012122293443981922,0.012122293443981922,70772.92116826201,21959.338496832002,505293.0,1.0
US.ABT,2026-05-09,DEEP_ITM,44268557.0,16602,12,11487,31.585916666666666,-0.46919786816666664,1.4569579860293775,2.3189189189189188,0.44097658256469,0.8822852954993461,26725485.100184526,573038.57066759,44268557.0,1.0
US.ACLS,2026-05-09,ATM,772855.0,239,1,12,69.791,0.606449823,19.916666666666668,19.916666666666668,3.9504743503240713,3.9504743503240713,468697.77795466507,354655.39076154,772855.0,1.0
US.ADBE,2026-05-09,ATM,7664540.0,12506,11,18313,43.64636363636364,0.141481242,42.289996829687624,454.0,3.316251677367137,36.10678153651597,3336263.502164029,2365287.10179766,9993703.0,0.7669369401912384
US.ADBE,2026-05-09,DEEP_OTM,2329163.0,4871,4,5730,46.30475,-0.07574520374999999,4.468735110342239,15.694915254237289,0.06605357988837404,0.2237731557146455,505819.77442286594,535951.763188043,9993703.0,0.23306305980876157
US.ADI,2026-05-09,ATM,1080444.0,3234,2,105,44.120000000000005,-0.25083457649999996,38.87247474747475,60.60606060606061,0.2613174989111319,0.2997418727755806,302370.218122776,195105.30572673999,69604704.0,0.015522571577920941
US.ADI,2026-05-09,DEEP_ITM,68524260.0,5922,2,3617,21.2275,0.4024209345,8.262718169077562,15.661375661375661,1.7338891261793572,3.162205159708281,20035411.5501384,17259641.8200168,69604704.0,0.9844774284220791
US.ADM,2026-05-09,DEEP_OTM,365994.0,1167,1,3059,30.086,0.369413367,0.381497221314155,0.381497221314155,0.015406255732715434,0.015406255732715434,135203.075841798,64729.154606922,365994.0,1.0
US.AGX,2026-05-09,DEEP_OTM,2305255.0,2504,2,2636,81.615,-0.0818114675,0.9507144174041298,0.978125,0.013019721361797984,0.018705692492576368,217492.497765876,1132996.038550582,2305255.0,1.0
US.AKAM,2026-05-09,ATM,6958147.0,10509,11,3011,58.26581818181818,0.2835210230909091,452.69234819335816,2049.0,343874.69525086327,1641180.0,3460127.390545567,972247.9371519,37159362.0,0.18725151954977054
US.AKAM,2026-05-09,DEEP_ITM,28898419.0,12624,9,23886,53.74022222222223,0.6200547795555555,42.48666241433722,378.0,82676.17383930703,744085.0,24580689.76530428,674849.512907314,37159362.0,0.7776887827083792
US.AKAM,2026-05-09,DEEP_OTM,1302796.0,2557,3,81,55.52700000000001,0.35953884366666666,57.14545454545455,113.0,2.959697760672644,7.140455396836143,463710.710471044,275314.69292842597,37159362.0,0.03505969774185036
US.ALB,2026-05-09,ATM,1056326.0,597,2,4863,66.21600000000001,0.5386357995,0.2741507256159907,0.4656188605108055,0.021025942706262644,0.03411992159988138,584270.6472262839,283173.767736714,3565625.0,0.29625269062226117
US.ALB,2026-05-09,DEEP_OTM,2509299.0,4096,3,1150,69.89633333333333,0.2752121,13.01087540720659,33.705882352941174,0.23569420121177478,0.5153634272105069,735728.804903833,542046.854877969,3565625.0,0.7037473093777388
US.ALL,2026-05-09,ATM,304500.0,300,1,317,25.134,-0.618771218,0.9463722397476341,0.9463722397476341,0.04506534474988734,0.04506534474988734,188415.835881,82384.2907335,304500.0,1.0
US.AMAT,2026-05-09,ATM,8812291.0,3823,10,13433,77.56800000000001,0.21052561500000003,4.602489084505734,21.74074074074074,0.2942739814527289,1.8526046025816374,4665366.534534431,3204107.804280147,12631460.0,0.697646273669077
US.AMAT,2026-05-09,DEEP_OTM,3819169.0,4131,5,2626,65.0856,0.2526962594,1.9104825129961551,4.5046082949308754,0.04611314405183911,0.10723032892987265,1062355.110313985,2449433.199991782,12631460.0,0.30235372633092295
US.AMD,2026-05-09,ATM,428924875.0,228844,108,98760,69.6432962962963,0.258132923212963,74.44984097646648,1412.0,72832.32307488285,2883960.0,230207696.28748065,161287132.0691207,1514964880.0,0.28312529264704805
US.AMD,2026-05-09,DEEP_ITM,939526598.0,103713,49,225223,75.54204081632653,0.8291643698163266,1.0345641721037389,29.772226926333616,0.18445014574262883,6.321522687095575,797065857.2783358,389297655.24380064,1514964880.0,0.6201639459787345
US.AMD,2026-05-09,DEEP_OTM,146513407.0,148211,90,107686,70.15494444444444,0.01619610747777778,3.0897176840385123,38.107142857142854,0.09313059735492114,1.5352937391921113,38406085.04868889,72344183.11490355,1514964880.0,0.09671076137421747
US.AMKR,2026-05-09,ATM,996909.0,995,2,1583,82.866,0.10260001099999999,1.6752284685682635,2.9808917197452227,0.25693818709981786,0.4749093140291176,471735.649885013,132191.670832201,2080031.0,0.4792760300207064
US.AMKR,2026-05-09,DEEP_ITM,1083122.0,503,2,620,81.53800000000001,0.7516059085,1.4395121469484495,2.4754098360655736,0.36264075563103093,0.5845981669987012,813349.5491844199,154273.235559978,2080031.0,0.5207239699792936
US.AMT,2026-05-09,ATM,861749.0,2541,1,492,29.157,-0.318506525,5.164634146341464,5.164634146341464,0.09921952969600506,0.09921952969600506,274472.67941222497,181608.85351301,861749.0,1.0
US.AMZN,2026-05-09,ATM,61505163.0,180776,63,473304,28.013603174603173,0.2912401222539682,1.9639561385578723,24.92528735632184,0.020448639122554128,0.19784042260811796,30438566.492960267,16825786.663764182,96104639.0,0.6399812083993157
US.AMZN,2026-05-09,DEEP_ITM,25141976.0,7572,13,193899,50.722846153846156,0.9164108357692308,0.04219442060149465,0.11162492885600456,0.0057750135694309345,0.01656273426862292,23083316.345869046,2849441.22387589,96104639.0,0.261610430688991
US.AMZN,2026-05-09,DEEP_OTM,9457500.0,29434,17,188940,32.347941176470584,0.0899615264117647,0.2344059665083221,0.6846473029045643,0.006095812845841468,0.026673613744501327,2336295.202544641,4190305.405466176,96104639.0,0.09840836091169335
US.ANET,2026-05-09,ATM,1395911.0,1090,3,1592,52.358000000000004,-0.13835431333333334,1.790088548684676,4.338028169014085,0.21316094035082714,0.5620996913270552,610333.3939703,393683.948876757,2144507.0,0.6509239652750026
US.ANET,2026-05-09,DEEP_ITM,748596.0,251,1,288,55.117,-0.635999876,0.8715277777777778,0.8715277777777778,0.18334567727069664,0.18334567727069664,476106.96317409596,212766.996417036,2144507.0,0.3490760347249974
US.APH,2026-05-09,ATM,13336412.0,12745,7,7903,49.421,-0.09737296957142856,17.005009152124074,107.75925925925925,1.835073417771861,11.920572724563977,7043769.824848214,3184559.2191289873,14166827.0,0.9413831339932365
US.APH,2026-05-09,DEEP_ITM,389425.0,224,1,260,51.601,-0.563603566,0.8615384615384616,0.8615384615384616,0.11698730465816305,0.11698730465816305,219481.31868954998,104964.87848674999,14166827.0,0.027488512424129977
US.APH,2026-05-09,DEEP_OTM,440990.0,996,1,459,47.068,0.32199132,2.1699346405228757,2.1699346405228757,0.07504198447497583,0.07504198447497583,141994.95220680002,67799.52995783,14166827.0,0.03112835358263357
US.APO,2026-05-09,ATM,1722775.0,3314,3,6976,37.916,0.3520647393333333,0.9286066760568786,2.3028692879914985,0.032678970906530165,0.06662278644212757,844754.7032810231,266213.719595221,1722775.0,1.0
US.APP,2026-05-09,ATM,25913926.0,15463,20,14800,65.89965,0.2648631928,3.938806403974401,30.53125,0.20957913564483013,2.0119397609646783,12483272.176685747,11296265.215429615,32861901.0,0.788570509052413
US.APP,2026-05-09,DEEP_OTM,6947975.0,4087,9,5844,66.73877777777778,0.30230039633333333,1.665860983352233,5.691891891891892,0.06176526442485281,0.25700565574645184,2540659.49765453,4863262.750960974,32861901.0,0.211429490947587
