stock_owner,trade_date,moneyness_bucket,bucket_turnover,bucket_volume,bucket_contracts,bucket_oi_sum,bucket_avg_iv,bucket_avg_delta,bucket_avg_churn,bucket_max_churn,bucket_avg_notional_churn,bucket_max_notional_churn,bucket_delta_flow,bucket_vega_flow,day_total_turnover,bucket_turnover_share
US.AAL,2026-05-09,ATM,308656.0,5284,1,12993,48.567,0.426401448,0.40668052028015084,0.40668052028015084,0.01779442748054196,0.01779442748054196,131611.365333888,5414.8534471680005,982115.0,0.31427684130677164
US.AAL,2026-05-09,DEEP_ITM,673459.0,3502,1,7827,50.92,0.732688594,0.4474255781269963,0.4474255781269963,0.06445172740666731,0.06445172740666731,493435.727826646,12951.734511940002,982115.0,0.6857231586932284
US.AAPL,2026-05-09,ATM,234071849.0,437205,104,1005571,21.274826923076922,0.5147974187307692,3.462541644933075,236.25,0.05683844260777709,3.376108669187777,124101259.58843471,72848479.1169681,500579185.0,0.46760204182281373
US.AAPL,2026-05-09,DEEP_ITM,250498077.0,35865,40,188400,24.884075000000003,0.46326457755000006,9.95323443921701,345.0,158484.84073785756,6339375.0,115468112.46642515,6179569.627264089,500579185.0,0.5004164865544699
US.AAPL,2026-05-09,DEEP_OTM,16009259.0,30292,16,165137,23.6278125,0.254963307,0.4854934940633696,2.57795172863666,0.01114368632910711,0.09428109473275335,4793547.5769990655,9018539.509117378,500579185.0,0.0319814716227164
US.ABNB,2026-05-09,ATM,505293.0,3383,1,2946,37.81,0.140063134,1.148336727766463,1.148336727766463,0.012122293443981922,0.012122293443981922,70772.92116826201,21959.338496832002,505293.0,1.0
US.ACLS,2026-05-09,ATM,772855.0,239,1,12,69.791,0.606449823,19.916666666666668,19.916666666666668,3.9504743503240713,3.9504743503240713,468697.77795466507,354655.39076154,772855.0,1.0
US.ADBE,2026-05-09,ATM,6081556.0,10662,7,15340,44.14614285714286,0.44583922185714286,65.47388709511337,454.0,5.176559596151952,36.10678153651597,2708730.909041185,1748017.513575018,6415635.0,0.9479273680625534
US.ADBE,2026-05-09,DEEP_OTM,334079.0,926,1,59,40.21,0.252326173,15.694915254237289,15.694915254237289,0.2237731557146455,0.2237731557146455,84296.87554966699,74692.475461436,6415635.0,0.052072631937446566
US.ADI,2026-05-09,DEEP_ITM,68524260.0,5922,2,3617,21.2275,0.4024209345,8.262718169077562,15.661375661375661,1.7338891261793572,3.162205159708281,20035411.5501384,17259641.8200168,68524260.0,1.0
US.ADM,2026-05-09,DEEP_OTM,365994.0,1167,1,3059,30.086,0.369413367,0.381497221314155,0.381497221314155,0.015406255732715434,0.015406255732715434,135203.075841798,64729.154606922,365994.0,1.0
US.AKAM,2026-05-09,ATM,4154545.0,7594,8,3011,57.690875,0.5642356855,258.07697876586747,1145.0,122377.45596993699,567774.0,2258531.565143933,553760.7797087621,33611675.0,0.12360422382996385
US.AKAM,2026-05-09,DEEP_ITM,28154334.0,12246,8,23886,54.080124999999995,0.775598433625,0.5474952161293707,1.2679738562091503,0.07056922040232089,0.13371889724261896,24116161.627243776,522485.435901594,33611675.0,0.8376355537175698
US.AKAM,2026-05-09,DEEP_OTM,1302796.0,2557,3,81,55.52700000000001,0.35953884366666666,57.14545454545455,113.0,2.959697760672644,7.140455396836143,463710.710471044,275314.69292842597,33611675.0,0.03876022245246629
US.ALB,2026-05-09,ATM,1056326.0,597,2,4863,66.21600000000001,0.5386357995,0.2741507256159907,0.4656188605108055,0.021025942706262644,0.03411992159988138,584270.6472262839,283173.767736714,3565625.0,0.29625269062226117
US.ALB,2026-05-09,DEEP_OTM,2509299.0,4096,3,1150,69.89633333333333,0.2752121,13.01087540720659,33.705882352941174,0.23569420121177478,0.5153634272105069,735728.804903833,542046.854877969,3565625.0,0.7037473093777388
US.AMAT,2026-05-09,ATM,5564124.0,2665,7,13293,77.79742857142857,0.5076135712857143,0.33267207996602094,0.6365638766519823,0.017387682080701718,0.05137244910544955,2998736.9235979463,2050001.157479013,9383293.0,0.59298201601506
US.AMAT,2026-05-09,DEEP_OTM,3819169.0,4131,5,2626,65.0856,0.2526962594,1.9104825129961551,4.5046082949308754,0.04611314405183911,0.10723032892987265,1062355.110313985,2449433.199991782,9383293.0,0.40701798398494005
US.AMD,2026-05-09,ATM,323039774.0,170356,73,95522,69.59602739726027,0.5581815745479451,25.296803959031156,1154.0,30735.50889610362,2243662.0,191687586.71835613,128032240.39285128,1326292081.0,0.24356608821522474
US.AMD,2026-05-09,DEEP_ITM,939526598.0,103713,49,225223,75.54204081632653,0.8291643698163266,1.0345641721037389,29.772226926333616,0.18445014574262883,6.321522687095575,797065857.2783358,389297655.24380064,1326292081.0,0.7083858913578177
US.AMD,2026-05-09,DEEP_OTM,63725709.0,62640,36,56986,69.52372222222222,0.3028231945,2.7699538181846846,20.232558139534884,0.06223485126362649,0.6146551631646789,21789778.67681286,39546747.958970815,1326292081.0,0.04804802042695752
US.AMKR,2026-05-09,ATM,425699.0,527,1,1426,81.892,0.590774037,0.3695652173913043,0.3695652173913043,0.03896706017051813,0.03896706017051813,251491.91677686298,42467.442338980996,1508821.0,0.2821401610926677
US.AMKR,2026-05-09,DEEP_ITM,1083122.0,503,2,620,81.53800000000001,0.7516059085,1.4395121469484495,2.4754098360655736,0.36264075563103093,0.5845981669987012,813349.5491844199,154273.235559978,1508821.0,0.7178598389073323
US.AMZN,2026-05-09,ATM,47714625.0,125596,47,426733,28.271,0.5275086847234043,1.2525102236366854,9.575757575757576,0.01673698540801133,0.19205440054053813,25087971.165970087,14046831.450652119,79236980.0,0.6021762187301939
US.AMZN,2026-05-09,DEEP_ITM,25141976.0,7572,13,193899,50.722846153846156,0.9164108357692308,0.04219442060149465,0.11162492885600456,0.0057750135694309345,0.01656273426862292,23083316.345869046,2849441.22387589,79236980.0,0.3173010379749455
US.AMZN,2026-05-09,DEEP_OTM,6380379.0,18725,10,147765,31.1453,0.27108162469999997,0.16778482475087383,0.48731884057971014,0.005502400787113631,0.022705052692225107,1860590.587123355,3206685.92602697,79236980.0,0.08052274329486056
US.ANET,2026-05-09,ATM,304317.0,313,1,774,50.524,0.455041373,0.4043927648578811,0.4043927648578811,0.027733259406408348,0.027733259406408348,138476.825507241,74867.361411609,304317.0,1.0
US.APH,2026-05-09,ATM,10437319.0,7920,3,2967,50.02533333333333,0.5149000653333333,37.95208062620998,107.75925925925925,4.170802438987795,11.920572724563977,5613973.784347565,2688241.317342206,10878309.0,0.9594615302801198
US.APH,2026-05-09,DEEP_OTM,440990.0,996,1,459,47.068,0.32199132,2.1699346405228757,2.1699346405228757,0.07504198447497583,0.07504198447497583,141994.95220680002,67799.52995783,10878309.0,0.04053846971988018
US.APO,2026-05-09,ATM,887717.0,1147,2,6035,36.696,0.671109049,0.2414753700895687,0.3495575221238938,0.01570706313873146,0.025510861683428056,605908.1740959829,139604.286558365,887717.0,1.0
US.APP,2026-05-09,ATM,21944147.0,13653,15,12814,65.42746666666667,0.4947174189333333,4.89900350267634,30.53125,0.25945486861111455,2.0119397609646783,10807881.770449616,9837329.36393528,28892122.0,0.7595200864789371
