stock_owner,trade_date,turnover_sum,turnover_max,volume_sum,volume_max,option_open_interest_sum,option_open_interest_mean,option_implied_volatility_mean,option_delta_mean,market_val_last,cf_log_turnover_sum,cf_log_turnover_mean,cf_churn_mean,cf_churn_max,cf_notional_churn_mean,cf_notional_churn_max,cf_delta_flow_sum,cf_vega_flow_sum,cf_gamma_flow_sum,cf_iv_level_mean,cf_volume_oi_ratio_mean,cf_volume_oi_ratio_max,cf_turnover_per_contract_mean,cf_turnover_per_contract_max,cf_intraday_range_mean,cf_intraday_range_max,cf_theta_vega_ratio_mean,cf_dte_weight_mean,cf_market_val_log_last,contracts
US.AAL,2026-05-09,5070177.0,2928229.0,98575,45784,140051,35012.75,52.62525,-0.26928095825,8829491578.95,54.863820778467776,13.715955194616944,1.6882556024187463,5.6328740157480315,0.07812527118828573,0.26986096980152763,1286171.859900564,89217.76837798899,545231.746199217,52.62525,1.6882556024187463,5.6328740157480315,54.30390280040325,76.01576448243115,0.16313148918761244,0.19277108433734944,0.48527154642252474,0.018947015425888666,22.901363271189954,4
US.AAPL,2026-05-09,38740442.0,3960051.0,108754,16956,159760,3630.909090909091,25.017522727272727,-0.3589118492272727,4307169958492.0,591.7163803311184,13.448099552979965,13.41087810853581,354.0,0.3384641281512131,11.661273217689603,15996250.177605659,11895680.07374094,951018.984921945,25.017522727272727,13.41087810853581,354.0,933.7696430102399,15468.94921875,0.14672503538872883,0.44513127173164463,0.8861759357766055,0.0688305226855226,29.09130218221406,44
US.ABT,2026-05-09,44268557.0,7229181.0,16602,2786,11487,957.25,31.585916666666666,-0.46919786816666664,146869685145.28,176.7435882332438,14.728632352770317,1.4569579860293775,2.3189189189189188,0.44097658256469,0.8822852954993461,26725485.100184526,573038.57066759,294102.272577598,31.585916666666666,1.4569579860293775,2.3189189189189188,2475.970059597909,4090.0,0.10231472215377481,0.3027661092177221,0.9961446613452778,0.08283730158730158,25.712811534952003,12
US.ADBE,2026-05-09,3578068.0,1140270.0,5789,1491,8644,1234.857142857143,45.15657142857143,-0.3028411255714286,102278768000.0,91.27892760743823,13.039846801062605,1.293254378271715,4.945783132530121,0.04047034883052747,0.1409268523512261,1049055.491996043,1078528.8759492491,37245.742767997,45.15657142857143,1.293254378271715,4.945783132530121,1003.637602523115,2728.0,0.4233386196489655,1.0382165605095541,1.182124125548162,0.050337021826880525,25.350967941940965,7
US.ADI,2026-05-09,1080444.0,668444.0,3234,2000,105,52.5,44.120000000000005,-0.25083457649999996,203346795473.64,26.341490453905454,13.170745226952727,38.87247474747475,60.60606060606061,0.2613174989111319,0.2997418727755806,302370.218122776,195105.30572673999,14090.854559056,44.120000000000005,38.87247474747475,60.60606060606061,373.84440842787683,541.6888168557537,0.06951271586180874,0.13902543172361748,3.1553342356522283,0.125,26.038178710506383,2
US.AGX,2026-05-09,2305255.0,1628766.0,2504,1252,2636,1318.0,81.615,-0.0818114675,9496745920.9,27.72800678933648,13.86400339466824,0.9507144174041298,0.978125,0.013019721361797984,0.018705692492576368,217492.497765876,1132996.038550582,1626.46277999,81.615,0.9507144174041298,0.978125,920.6289936102237,1300.9313099041533,0.5904410850718442,0.8378902804727464,0.5739374037653109,0.014285714285714285,22.97421504233771,2
US.AKAM,2026-05-09,3547687.0,1641180.0,3293,2049,0,0.0,57.6045,-0.50486217075,21565660000.0,54.14816302797574,13.537040756993935,823.25,2049.0,886921.75,1641180.0,1666123.963462139,570851.2344488581,78631.35528807,57.6045,823.25,2049.0,1411.4012539748908,2220.676315789474,0.24336513400387175,0.3177672456340809,2.4365993794101346,0.06985849056603774,23.79436807177149,4
US.ALL,2026-05-09,304500.0,304500.0,300,300,317,317.0,25.134,-0.618771218,54869271229.5,12.626429650198945,12.626429650198945,0.9463722397476341,0.9463722397476341,0.04506534474988734,0.04506534474988734,188415.835881,82384.2907335,6668.4400755,25.134,0.9463722397476341,0.9463722397476341,1015.0,1015.0,0.0,0.0,0.2671653257925053,0.023809523809523808,24.728219306181323,1
US.AMAT,2026-05-09,3248167.0,2178085.0,1158,587,140,46.666666666666664,77.03266666666667,-0.48267961633333334,345569480486.48,40.93483393072003,13.644944643573345,14.565395428431733,21.74074074074074,0.9403420133207924,1.8526046025816374,1666629.610936485,1154106.646801134,20989.820950644003,77.03266666666667,14.565395428431733,21.74074074074074,2493.8261432502927,3710.5366269165247,0.15596292825340888,0.25701012666688944,4.552219646942503,0.0984848484848485,26.56845956120221,3
US.AMD,2026-05-09,188672799.0,11362941.0,144059,9925,53938,606.0449438202247,70.24783146067415,-0.2507065681348315,742233104866.41,1262.0732795693834,14.180598646847004,71.59856618604407,1412.0,63170.84139293146,2883960.0,55136415.941000566,66052326.832202174,1010706.339258547,70.24783146067415,71.59856618604407,1412.0,1801.1609844575548,6319.494339622642,0.30658742417108303,0.4959333465582225,2.51408067616899,0.0635649428707978,27.332929188279905,89
US.AMKR,2026-05-09,571210.0,571210.0,468,468,157,157.0,83.84,-0.385574015,18989513603.98,13.255513947525166,13.255513947525166,2.9808917197452227,2.9808917197452227,0.4749093140291176,0.4749093140291176,220243.73310815,89724.22849322,6380.86181501,83.84,2.9808917197452227,2.9808917197452227,1220.534188034188,1220.534188034188,0.05200942113514285,0.05200942113514285,0.3777634594371713,0.009433962264150943,23.667152748224044,1
US.AMT,2026-05-09,861749.0,861749.0,2541,2541,492,492.0,29.157,-0.318506525,,13.666720484379113,13.666720484379113,5.164634146341464,5.164634146341464,0.09921952969600506,0.09921952969600506,274472.67941222497,181608.85351301,17927.44702644,29.157,5.164634146341464,5.164634146341464,339.13774104683193,339.13774104683193,0.4038306218991577,0.4038306218991577,0.333099892670978,0.023809523809523808,0.0,1
US.AMZN,2026-05-09,16867659.0,1946624.0,65889,16321,87746,3815.0434782608695,29.329652173913043,-0.33157612078260873,2933248601008.48,306.3294664570673,13.3186724546551,2.92036127831976,24.92528735632184,0.023923076567502005,0.19784042260811796,5826299.942411466,3762574.692551272,566375.330393489,29.329652173913043,2.92036127831976,24.92528735632184,592.2015594520942,1684.75,0.2645948416595033,0.8010204081632653,1.1014123697155742,0.07414607796128533,28.707131662307894,23
US.ANET,2026-05-09,1840190.0,748596.0,1028,469,1106,368.6666666666667,53.889,-0.5020347296666666,178517151609.61,39.94462166414591,13.314873888048638,1.9458002196579747,4.338028169014085,0.2650317463055899,0.5620996913270552,947963.531637155,531583.583882184,19401.089637383,53.889,1.9458002196579747,4.338028169014085,1980.1843626978164,2982.4541832669324,0.0774389108841121,0.14561436022345173,0.31480976552919115,0.012773209401884816,25.9079505210044,3
US.APH,2026-05-09,3288518.0,1473593.0,5049,3132,5196,1039.2,49.4944,-0.5579829098,157506915993.35,66.22055514874167,13.244111029748334,1.2080721295554109,2.1659751037344397,0.090018782419561,0.18957820911667225,1649277.3591901988,601282.780273531,60926.527077028004,49.4944,1.2080721295554109,2.1659751037344397,971.3860875277599,1738.5044642857142,0.6781529839524436,1.557377049180328,0.9860804913958345,0.0382973944294699,25.782735205323274,5
US.APO,2026-05-09,835058.0,835058.0,2167,2167,941,941.0,40.356,-0.28602388,76792132731.6,13.63525766001942,13.63525766001942,2.3028692879914985,2.3028692879914985,0.06662278644212757,0.06662278644212757,238846.52918504,126609.433036856,15815.130059680001,40.356,2.3028692879914985,2.3028692879914985,385.3520996769728,385.3520996769728,0.23047619047619056,0.23047619047619056,0.47083687525002055,0.023809523809523808,25.064368033475265,1
US.APP,2026-05-09,3969779.0,1273724.0,1810,619,1986,397.2,67.31620000000001,-0.4246994856,157404687000.0,67.47934541282724,13.495869082565449,1.058215107868583,1.6015625,0.059951936745976965,0.130068791073346,1675390.4062361321,1458935.851494336,28788.368599709,67.31620000000001,1.058215107868583,1.6015625,2474.344718207712,4824.712121212121,1.759105467915905,2.93610774238846,4.097167589420901,0.10476190476190476,25.782085950129318,5
US.ARM,2026-05-09,3824035.0,609323.0,4808,1081,11350,1261.111111111111,71.31711111111112,-0.30386777577777774,226919280000.0,116.35159531234584,12.927955034705093,0.699774867386155,2.128712871287129,0.03131129781252598,0.07895078724107685,1248813.280632019,863177.159057174,36535.397839107995,71.31711111111112,0.699774867386155,2.128712871287129,948.0564786161023,1755.1067615658362,0.23725634074047314,0.43858636688903757,2.1873319733641186,0.05304552525579334,26.147860196479773,9
US.ASML,2026-05-09,1078942.0,444374.0,718,274,2060,686.6666666666666,53.57266666666666,-0.14514195766666668,613592631033.3,38.33660886827302,12.778869622757673,1.0114190743287161,2.560747663551402,0.007580044692612142,0.017618949275868535,162106.97786452202,735313.451524486,1813.816486672,53.57266666666666,1.0114190743287161,2.560747663551402,1528.7261084517365,1882.9406779661017,0.2340073657099716,0.29781732365262364,2.775795715139943,0.09126984126984128,27.142597077530834,3
US.AVGO,2026-05-09,22106443.0,1865243.0,18987,3092,53057,1768.5666666666666,50.218666666666664,-0.3016580347,2035907319120.0,400.8271851910814,13.360906173036048,1.0873944274325928,5.789237668161435,0.03422526217520258,0.20379119601328904,6645430.577296398,11004886.649523923,129239.891241266,50.218666666666664,1.0873944274325928,5.789237668161435,1583.2318472743386,4350.436170212766,0.21899693755768473,0.4769315728701241,1.4022197353110857,0.05482427721401945,28.341962692520298,30
US.AXP,2026-05-09,613974.0,613974.0,553,553,1680,1680.0,31.506,-0.272015802,215635625781.29,13.327709489687958,13.327709489687958,0.32916666666666666,0.32916666666666666,0.011564114618413262,0.011564114618413262,167010.63001714798,387734.31003200397,3424.45840422,31.506,0.32916666666666666,0.32916666666666666,1110.260397830018,1110.260397830018,0.03720930232558143,0.03720930232558143,0.10587604004476557,0.007462686567164179,26.096855902508196,1
US.BA,2026-05-09,3075569.0,928161.0,3494,807,13496,2249.3333333333335,34.06283333333334,-0.3555701915,187111441286.16,78.36940639852716,13.06156773308786,3.359818551718309,18.34090909090909,0.07725662718869089,0.3704585669638753,1106528.322699664,1263567.4570165481,36434.632902467005,34.06283333333334,3.359818551718309,18.34090909090909,941.7832835322274,1473.2714285714285,0.15700676205772354,0.41211435041041605,0.5678107687374497,0.03043380357869234,25.95497021900974,6
US.BABA,2026-05-09,3348117.0,1493405.0,6597,1758,32958,6591.6,59.1028,-0.43661513420000003,336010766944.58,66.10724437691096,13.22144887538219,0.21965950604397264,0.3566729323308271,0.008641617976659844,0.016148811564834362,1505414.570501575,474134.758586842,74912.987082756,59.1028,0.21965950604397264,0.3566729323308271,669.386569585886,1543.9260869565217,0.287853568193312,0.3912516139129073,3.044399392830777,0.08257880617035547,26.540409040877094,5
US.BAC,2026-05-09,5989114.0,1691192.0,141947,42884,179431,22428.875,29.598374999999997,-0.3497891855,364126066302.81,106.63555233725153,13.32944404215644,25.46375463657426,181.93548387096774,0.2792630005546235,2.0924676696361773,1999298.382625289,210052.308658369,752654.292427937,29.598374999999997,25.46375463657426,181.93548387096774,61.41645269675153,131.08260325406758,1.6768923083998502,2.8695652173913038,1.4383175394289105,0.08754960317460317,26.62076598062216,8
US.BKNG,2026-05-09,2890996.0,1103135.0,3660,1284,1465,488.3333333333333,39.516,-0.5042365093333333,128575578885.48,41.28927795590417,13.763092651968057,394.1389020243644,1179.0,22.209346637771137,66.48195021997228,1477159.7971196899,659414.613855061,51195.714800812,39.516,394.1389020243644,1179.0,795.8442357518808,935.6530958439355,0.3425018863049134,0.48912536171007176,0.4242847963299881,0.02253968253968254,25.57978273092259,3
US.BSX,2026-05-09,8760454.0,4997880.0,2823,1023,7905,2635.0,81.26466666666666,-0.8975089063333334,80159134803.47,43.7101233906602,14.570041130220067,0.9305069645153047,1.4335664335664335,0.7249619546244931,1.1357042353377471,8235741.369912586,175232.08945065,87735.347603246,81.26466666666666,0.9305069645153047,1.4335664335664335,3180.215293155385,5099.877551020408,0.1816246828186582,0.48240635641316687,0.805280496654114,0.023809523809523808,25.107279680867308,3
US.C,2026-05-09,4478044.0,2229147.0,26988,8872,21528,3588.0,32.26833333333334,-0.3815863036666667,214135186700.25,79.52754004312042,13.254590007186737,891.4268131861382,5344.0,6.321449502009506,37.84699322978893,1459613.4279093898,532095.5717513299,137082.071100908,32.26833333333334,891.4268131861382,5344.0,218.11977624522146,392.1248593925759,0.8604619954320806,1.5324995596265631,0.9537769668635369,0.0582010582010582,26.08987336607849,6
US.CAH,2026-05-09,361267.0,361267.0,1151,1151,1073,1073.0,23.497,-0.576144711,43011905270.75,12.797375344157075,12.797375344157075,1.0726933830382106,1.0726933830382106,0.018333173057771008,0.018333173057771008,208142.07130883698,35811.064634769995,23909.361394722997,23.497,1.0726933830382106,1.0726933830382106,313.87228496959165,313.87228496959165,0.5968090211132437,0.5968090211132437,1.6556656956160278,0.125,24.484742781104323,1
US.CAR,2026-05-09,4560918.0,1236895.0,3547,1581,13084,1869.142857142857,47.47571428571428,-0.4136457,5148616709.5,93.070736367477,13.295819481068142,0.4667043874174998,1.3658536585365855,0.0680326365061248,0.3150663096682425,1901723.336408221,341642.292036054,64597.948925135,47.47571428571428,0.4667043874174998,1.3658536585365855,1663.8980794248369,3362.066964285714,0.5659526017623961,1.202058525224447,1.8420690647469222,0.07639146567717996,22.36199391563973,7
US.CAT,2026-05-09,3044901.0,1287327.0,1112,548,930,310.0,39.35033333333333,-0.37371039300000003,413358275143.35,41.28042471512334,13.760141571707779,1.2006640848370786,1.2840909090909092,0.04514402794504046,0.07704563181539614,1096804.101949723,4319186.130470253,9647.943355107,39.35033333333333,1.2006640848370786,1.2840909090909092,3393.3071409223776,5384.712389380531,0.1643293766063872,0.3744522487235888,1.031808400796203,0.048849064536472565,26.747580548147983,3
US.CAVA,2026-05-09,330029.0,330029.0,2152,2152,2,2.0,54.21,-0.324416614,9243143210.2,12.70693883840159,12.70693883840159,1076.0,1076.0,20.782682619647353,20.782682619647353,107066.890701806,13041.914076891,19934.224861586,54.21,1076.0,1076.0,153.35920074349443,153.35920074349443,1.5836705965159246,1.5836705965159246,3.9362625586515776,0.125,22.947147839126114,1
US.CCL,2026-05-09,4382890.0,3133860.0,28056,15286,13047,4349.0,56.54233333333334,-0.41483308066666663,37671058096.62,41.60708125145301,13.86902708381767,6.720540471907435,15.689895470383275,0.42732861458284654,0.9885286868681532,1584198.346544534,206142.73980722603,291557.75731862197,56.54233333333334,6.720540471907435,15.689895470383275,143.92503983131152,205.01504644772996,0.28974581231041774,0.6411430664956951,1.7538467557518762,0.05564848172928461,24.352157946857425,3
US.CEG,2026-05-09,4232888.0,708261.0,4134,1358,10621,1327.625,59.4145,-0.350763753625,110003531259.36,105.26149750058275,13.157687187572844,2.8210110888128574,9.016949152542374,0.08873338175377896,0.23100149211490123,1565737.9803297191,1703372.217708761,30867.53702722,59.4145,2.8210110888128574,9.016949152542374,1496.7785952203328,2754.655172413793,0.32509546090473485,0.7130872483221478,2.2006982373987123,0.05527566176839475,25.423778304590467,8
US.CENX,2026-05-09,376233.0,376233.0,626,626,757,757.0,72.639,-0.476516539,5830561108.77,12.837966569224069,12.837966569224069,0.8269484808454426,0.8269484808454426,0.08436687897060806,0.08436687897060806,179281.247017587,29339.915740278,10571.359091865,72.639,0.8269484808454426,0.8269484808454426,601.0111821086261,601.0111821086261,0.048275862068965406,0.048275862068965406,0.8668293953867033,0.024390243902439025,22.486379077921104,1
US.CME,2026-05-09,956450.0,602400.0,401,201,723,361.5,23.4015,-0.6334760595,101913566343.75,26.085874865028757,13.042937432514378,0.5575050756736804,0.5982142857142857,0.04640550018456995,0.05534539190353144,630448.65760005,561710.7405828999,9769.41148445,23.4015,0.5575050756736804,0.5982142857142857,2386.7213930348257,3012.0,0.02634819884896859,0.05269639769793718,0.0661336857201078,0.007462686567164179,25.347390902216894,2
US.COF,2026-05-09,1555398.0,877639.0,859,437,351,175.5,16.99,-0.411145703,117912036522.84,27.11154028771101,13.555770143855504,211.62428571428572,422.0,17.95087977622968,35.76942157483639,557315.4010391539,79438.838548069,12087.053697668001,16.99,211.62428571428572,422.0,1807.1956060819678,2008.3272311212816,0.05946684051855216,0.060212799115934405,0.3528732798830415,0.08522727272727273,25.49320473023589,2
US.COHR,2026-05-09,8290242.0,1441237.0,5643,1353,2291,229.1,88.92670000000001,-0.3111504749,65590038758.46,135.20265684960435,13.520265684960435,4.945086392836137,16.705882352941178,0.26979104207831267,0.8571761882983024,2672462.226884049,2896877.192970215,48993.916063539,88.92670000000001,4.945086392836137,16.705882352941178,1875.9505869697591,4709.924836601307,0.3506759903491371,0.5173580250189035,4.4852003109526155,0.08680460741186714,24.90668967318739,10
US.COIN,2026-05-09,14391995.0,1512607.0,22072,4507,48147,2674.8333333333335,71.54311111111112,-0.2890976442777778,52997767688.56,242.6064866193407,13.478138145518928,1.0306693794376505,6.943502824858757,0.04345594354369437,0.21845860381468896,4163644.346601083,2065816.1027966398,170263.399755096,71.54311111111112,1.0306693794376505,6.943502824858757,1067.7727807806978,2434.2156862745096,0.6370458200719797,1.051383399209486,2.9148083654580232,0.0715678800584461,24.693515630546596,18
US.CRCL,2026-05-09,7546526.0,1356171.0,11888,3124,21369,1780.75,118.36708333333333,-0.37719507174999994,28100408441.4,158.66592400038613,13.22216033336551,4.220411255196095,20.205882352941178,0.3064629370273761,1.5301077939753363,3053844.399208871,673053.035423579,116776.42860781601,118.36708333333333,4.220411255196095,20.205882352941178,892.9555259473224,1850.1650750341064,0.27388379942928975,0.4556217263399584,6.7651239204868,0.09347903340440654,24.0590499484972,12
