,标的代码,出现次数
1,US.MSTR,3
2,US.ABT,3
3,US.CRWV,3
4,US.SMCI,3
5,US.APP,3
6,US.GOOGL,3
7,US.HR,3
8,US.DELL,3
9,US.AAPL,3
10,US.MSFT,3
11,US.QQQ,3
12,US.MRNA,3
13,US.AVGO,3
14,US.AMD,3
15,US.DINO,3
16,US.AKAM,3
17,US.INTC,3
18,US.QCOM,3
19,US.TSLA,3
20,US.GLW,3
21,US.META,3
22,US.COIN,3
23,US.AMZN,3
24,US.CRCL,3
25,US.DHR,3
26,US.GLD,3
27,US.VST,3
28,US.BABA,3
29,US.ARM,3
30,US.GS,3
31,US.GOOG,3
32,US.SLV,3
33,US.ORCL,3
34,US.WFC,3
35,US.NVDA,3
36,US.COHR,3
37,US.COP,3
38,US.MU,3
39,US.DDOG,3
40,US.SNDK,3
41,US.MCHP,3
42,US.PLTR,3
43,US.MXL,3
44,US.RKLB,3
45,US.CAR,3
46,US.ZTS,2
47,US.WMT,2
48,US.PFE,2
49,US.AMAT,2
50,US.LITE,2
51,US.JPM,2
52,US.DASH,2
53,US.UNH,2
54,US.AEP,2
55,US.TFC,2
56,US.FTNT,2
57,US.ASML,2
58,US.HOOD,2
59,US.SYK,2
60,US.BSX,2
61,US.STX,2
62,US.IBM,2
63,US.CELH,2
64,US.ALB,2
65,US.CCL,2
66,US.MRVL,2
67,US.NFLX,2
68,US.NOW,2
69,US.SHOP,2
