stock_owner,sum_log_turnover,sum_volume_open_interest,rank_by_volume,sum_turnover_mktval,rank_by_mktval,appear_days,total_trade_days,sum_open_interest
US.INTC,2271.8477255445196,68.04472956303749,1,0.0006910919444585938,16,3,3,1220369
US.MU,2194.2601890185024,67.58514202686648,2,0.0012056949417312203,10,3,3,445904
US.AAPL,1205.2886107444,64.33659983253756,3,9.51294922966638e-05,64,3,3,413858
US.AMD,2573.379700490148,63.72730628515531,4,0.002307909026286841,5,3,3,665355
US.RKLB,751.9289356112836,50.343711188800896,5,0.0014095948394604663,8,1,3,88933
US.TSLA,1206.406106917293,40.50021324384919,6,0.00021451777440670665,41,3,3,253197
US.COP,311.9732244111057,39.11974198846657,7,0.0005836828902424998,20,2,3,16872
US.NVDA,2046.4813432865099,37.01766900116557,8,7.765504922098456e-05,69,3,3,2292904
US.WFC,237.62194116375838,29.42621954976921,9,0.0002978223336976859,36,2,3,17958
US.IBM,182.14291280800956,26.0,10,7.956234590366442e-05,68,1,3,616
US.WMT,223.30582479050986,23.01113198019128,11,0.00010613509627600407,60,2,3,22324
US.GOOG,369.97639602800945,23.001595676303886,12,2.5870147422980807e-05,111,3,3,79051
US.PFE,159.1051085682627,22.0,13,0.00020129230734668177,42,1,3,11519
US.SMCI,555.248402967507,20.577843513493818,14,0.0026414708547095643,4,3,3,462735
US.DINO,149.75095427306064,18.76530612244898,15,0.004961628315598963,2,1,3,10443
US.QCOM,767.756754009245,18.587893767090122,16,0.0006717630264362162,17,3,3,200764
US.DDOG,498.6049396809642,18.417911988635684,17,0.0017463515467286053,6,2,3,79626
US.AEP,131.57816818725473,18.0,18,0.00033165634218094254,34,1,3,1624
US.ARM,353.53648347086636,16.93701411070987,19,0.0001717839756334794,48,2,3,30900
US.SNDK,346.035006756691,16.79560193985254,20,0.0008098387848025543,15,3,3,16372
US.DELL,294.5491412845861,13.905117063393384,21,0.0002003339464576871,43,3,3,27879
US.ORCL,727.7884208368955,13.809147647924377,22,0.00013365152401467037,52,3,3,265553
US.AVGO,236.95878115588528,13.07273406984518,23,3.032544953703482e-05,98,3,3,62322
US.FTNT,278.08686151657076,11.507929373306096,24,0.00041131040964651264,29,2,3,33379
US.TFC,70.93557868035685,8.911694510739856,25,0.0001482368693106143,50,1,3,2828
US.FLEX,141.94058893438876,8.298741851864845,26,0.00047084092766954154,25,3,3,6887
US.GLW,241.82828206921127,8.148511392155058,27,0.00021948776720365153,40,3,3,40348
US.HR,56.00608294577032,8.0,28,5.774751e-12,146,1,3,1271
US.DASH,73.69538207027529,6.986910994764398,29,0.0002670566368413507,37,2,3,1656
US.MCHP,142.90159018557208,6.962006987184014,30,0.013603969895476496,1,3,3,114761
US.GOOGL,461.2160758565781,6.935261116612725,31,3.4469003311710076e-05,93,3,3,198488
US.MRVL,238.6549330910235,6.929978366458503,32,0.0001755042833157438,47,3,3,48329
US.AMZN,670.1461882988303,6.058570673365735,33,7.405786005292699e-05,72,3,3,620170
US.AKAM,145.17203742063418,6.006066001449826,34,0.0015227660379987166,7,2,3,26745
US.NFLX,39.75715485913386,6.0,35,4.616395079033469e-06,138,3,3,290
US.ETN,63.13586205997174,5.987558518008379,36,0.0003455923760116129,32,2,3,1642
US.MSFT,76.7259021658325,5.936262881217619,37,2.320116935836522e-05,114,2,3,1884
US.UNH,84.49894114130316,5.223443139184877,38,2.884300962654262e-05,104,3,3,16840
US.SLV,65.9562469414994,5.090283029874626,39,2.91193e-12,148,1,3,30344
US.MSTR,284.31958239746854,4.769363627990292,40,0.0013989799967155552,9,3,3,120417
US.AAON,71.04529367639998,4.744851790641189,41,0.0008924752054714272,13,1,3,3664
US.LRCX,145.34725670502718,4.502766527753672,42,6.328613128937823e-05,76,2,3,21966
US.AAL,40.58143648665181,4.447425578126996,43,0.0002646818554803844,38,2,3,7997
US.LITE,80.01039872150868,4.37701400045915,44,0.0009279095940544048,12,2,3,3291
US.NOW,26.8036963490093,4.0,45,1.3918373283939532e-05,123,1,3,12
US.GLD,27.464588401011028,4.0,45,1.844819e-12,149,1,3,20
US.AVAV,55.5880359090485,4.0,45,0.0005075791052745577,23,2,3,820
US.PPG,26.01278693135807,4.0,45,3.9307968555589784e-05,88,1,3,141
US.DHI,39.76653823445488,4.0,45,4.099472920624219e-05,85,2,3,97
US.FE,27.238211666123057,4.0,45,6.259407894133099e-05,77,1,3,245
