stock_owner,sum_log_turnover,sum_volume_open_interest,rank_by_volume,sum_turnover_mktval,rank_by_mktval,appear_days,total_trade_days,sum_open_interest
US.NOW,280.0681657765869,31.5200791916243,1,0.0007261385312445554,6,3,3,15416
US.ABT,350.718487677417,28.414402442074852,2,0.0004656549377248225,11,2,3,23940
US.NFLX,355.8333103624467,23.91107771106455,3,0.00020911375551862507,22,3,3,136537
US.CAR,251.55023124884383,22.29878883697928,4,0.0246722121764416,1,3,3,10857
US.MSFT,184.96654129171245,20.884886883338144,5,2.4011051362661622e-05,54,3,3,3981
US.META,171.84020920152784,19.134833235652348,6,7.515328099170255e-05,39,3,3,7318
US.DHR,120.97998984127132,16.0,7,0.00030219947878406416,15,2,3,2733
US.PLTR,208.46976367566901,14.144853719136233,8,6.755857341576408e-05,40,3,3,34929
US.QCOM,125.02520760086631,14.0,9,4.653104958135069e-05,47,2,3,60
US.INTC,107.86203793824819,13.704169783841332,10,1.0389667300319563e-05,65,3,3,1062
US.BSX,132.63795029599925,13.402936607811583,11,0.00045949182462918484,12,2,3,13577
US.SHOP,183.12533024754816,11.498879529663071,12,0.00014609756954463114,28,3,3,21796
US.CRM,88.34424620563681,10.437478120842961,13,0.00012200046912047232,30,2,3,1766
US.HOOD,144.75874137923844,10.329032919883419,14,0.00036194239289556013,14,2,3,8514
US.MCD,101.11249094742772,10.246640439108804,15,9.153696502805695e-05,35,2,3,2817
US.ZTS,112.17722883072747,9.746874421410167,16,0.0002958747795041983,16,1,3,9522
US.TSLA,145.601456708606,9.545552980668129,17,1.4525604216913387e-05,59,3,3,23192
US.SYK,75.36988937734705,8.684326710816777,18,0.00019361851576574283,23,2,3,674
US.ACN,58.965428060588984,8.0,19,0.00011847037371456873,31,1,3,292
US.MU,62.0899263107469,7.764285714285714,20,4.005038933230195e-05,51,2,3,352
US.NVDA,55.69929184422041,7.363809523809524,21,1.012409198045998e-06,80,3,3,596
US.KTOS,55.87989300707609,7.030263353667609,22,0.00048407107372620085,9,1,3,862
US.HD,59.32687707238577,6.3164556962025316,23,5.742679230307708e-05,43,1,3,1192
US.BX,57.47530446714302,6.226823096388314,24,7.732099110879219e-05,38,1,3,1144
US.AMD,43.59156596571995,6.0,25,1.3783018391523005e-05,60,2,3,133
US.INTU,47.27815732778583,6.0,25,0.00023587537221944827,20,2,3,191
US.CHTR,47.24017026083189,5.947,27,0.0014088451075367086,4,1,3,1290
US.USO,53.15881405022108,5.684772370486656,28,2.5410190000000002e-12,83,1,3,795
US.LULU,44.01851010740056,5.642553191489362,29,0.0005881192208100378,7,1,3,582
US.UPS,55.407590002704154,5.133399483655769,30,5.425691447830508e-05,44,2,3,2076
US.ARM,55.8499193422003,4.6370815211362215,31,2.167148791300807e-05,55,1,3,2356
US.ORCL,43.794219117341456,4.564444444444445,32,1.2206104796510404e-05,63,1,3,1010
US.NKE,28.189802829292464,4.0,33,4.345773814382373e-05,48,1,3,856
US.ZS,29.8178402953439,4.0,33,0.00028887893917937924,18,1,3,144
US.TMO,31.033873727590418,4.0,33,6.418727762971016e-05,41,1,3,236
US.CMG,27.62253566519429,4.0,33,5.307569284980737e-05,45,1,3,533
US.LEN,27.890092114930717,4.0,33,0.00010535759428298097,32,1,3,531
US.DG,26.413033184087308,4.0,33,4.2423399736253454e-05,50,1,3,205
US.COF,27.11154028771101,3.2485714285714287,39,1.3191172384667562e-05,61,1,3,351
US.KBR,28.631654209471378,2.984251968503937,40,0.0007998555023165542,5,1,3,2835
US.ABBV,28.29857983972674,2.68474923234391,41,8.018936013364598e-06,69,1,3,1021
US.SCHW,30.042113458475065,2.4608378870673953,42,4.2933120947682917e-05,49,1,3,6820
US.GLD,42.36131170300026,2.4077551819746645,43,4.431392e-12,81,1,3,4636
US.CHWY,28.26185353575448,2.237458193979933,44,0.00028561879684461033,19,1,3,5583
US.QQQ,28.798408229322966,2.005,45,3.625342e-12,82,1,3,200
US.GLW,14.219418454247208,2.0,46,9.584073984481798e-06,67,1,3,10
US.PG,13.538796120518455,2.0,46,2.2294507101747494e-06,77,1,3,115
US.MRK,12.846557173506813,2.0,46,1.37947697003422e-06,78,1,3,1
US.MRVL,13.734776528049242,2.0,46,6.12871858417816e-06,71,1,3,1
US.DVN,13.332256325954067,2.0,46,2.1313125030236433e-05,56,1,3,204
