stock_owner,sum_log_turnover,sum_volume_open_interest,rank_by_volume,sum_turnover_mktval,rank_by_mktval,appear_days,total_trade_days,sum_open_interest
US.MU,2228.3408344975687,189.54637782418752,1,0.0005796578535737231,5,3,3,195397
US.AMD,1516.6440888674003,133.41034829808615,2,0.0002589906736229278,28,3,3,183023
US.INTC,1520.9937899055749,128.7884318551517,3,0.0003062696949866398,25,3,3,302777
US.QCOM,1147.9804403005733,127.14748934822893,4,0.0008923462726546704,2,3,3,140186
US.TSLA,1729.1495758242415,75.06348790746658,5,0.00016139239245145388,39,3,3,707021
US.ARM,730.682327810999,72.29384007006895,6,0.00035623221404368913,15,3,3,70203
US.SNDK,552.7981124518958,57.117319291065904,7,0.0003525515424867445,16,3,3,30076
US.NVDA,1687.9244705113779,45.58659187758439,8,3.792776629125244e-05,74,3,3,1936628
US.DELL,289.9002593476964,31.981311681622234,9,0.0001723612819702546,36,3,3,9778
US.ORCL,880.6910570886207,30.986534302727144,10,0.00019792374944983208,33,3,3,592439
US.GLW,394.0151466923239,30.444875262251784,11,0.0001671125288413913,38,3,3,48033
US.APP,314.25459827640736,30.40831646231526,12,0.00015795242789341546,41,3,3,16051
US.RKLB,220.73835919184265,22.155740494731265,13,0.0003199546957139413,20,1,3,31975
US.GOOGL,304.38958311848654,21.94584917728812,14,1.4833749822750573e-05,101,3,3,76296
US.VST,218.47873368968823,20.392244840861565,15,0.00031834807403404336,22,3,3,38597
US.CRWV,353.6104144802666,20.286175161835594,16,0.0004689630663790403,7,1,3,190104
US.SMCI,203.1002429983036,18.67890147903724,17,0.0005981777194449443,4,3,3,115455
US.AAPL,481.05521963544413,18.38968183135629,18,2.169865851937997e-05,94,3,3,418535
US.QQQ,233.37949354832529,17.72981535603614,19,1.9839056e-11,150,1,3,104136
US.MSTR,313.4888713336436,17.057121666435997,20,0.000402384166614703,12,3,3,135161
US.COIN,270.2854765724056,17.054355486855027,21,0.00031835482323192015,21,3,3,70595
US.GOOG,183.49117874368667,15.925964946527474,22,8.193788494131425e-06,122,3,3,19197
US.DDOG,123.96368201808767,13.986314210515197,23,0.00016866363175723384,37,3,3,7446
US.COHR,153.16931287650016,13.678317099155933,24,0.00022561122961090057,29,3,3,4862
US.PLTR,454.64324287642796,12.699750412034376,25,0.0003012325288258344,27,3,3,475818
US.MSFT,520.7316047979192,12.207484515897354,26,2.8566948445864093e-05,89,3,3,480634
US.META,392.7831365180971,11.892368548949804,27,3.328553558542088e-05,81,3,3,169306
US.LITE,153.74213694356982,11.81711074351297,28,0.0003060255328253481,26,3,3,7137
US.MRNA,148.74269213109793,11.692679111400594,29,0.0004280672629583389,10,2,3,39689
US.AMAT,93.70899611489787,10.65511020612296,30,1.418186040738426e-05,104,2,3,2664
US.MXL,73.05523565534577,10.0,31,0.0023430294044366126,1,1,3,144
US.ON,96.44600117724903,9.896591228339016,32,0.00017748641102627695,35,2,3,7335
US.BABA,291.2525374272525,9.762469396397943,33,8.949288171097996e-05,51,3,3,252145
US.AVGO,288.6508108147306,9.355978294585233,34,1.2308526547339597e-05,111,3,3,82200
US.CRCL,131.92670671471146,8.259206534357933,35,0.00021908218924426726,30,1,3,33752
US.AKAM,52.22176065493082,8.0,36,9.511635272814638e-05,48,2,3,116
US.SLV,164.78591336058696,7.782050548603499,37,1.8215819e-11,151,1,3,361833
US.AMZN,396.08561412740784,7.350393020031726,38,1.0155124272197305e-05,116,3,3,474068
US.DVN,82.60960014642912,7.210481085618462,39,0.000368266584638885,13,3,3,158540
US.VRT,65.66000231357052,6.322574958162762,40,1.9790183207563522e-05,98,2,3,1535
US.ALB,54.18610950555085,6.2683769116921555,41,0.0001398273016884378,44,2,3,3177
US.WDC,54.89736444050165,6.222710163111669,42,2.6068061802723233e-05,92,2,3,2113
US.XYZ,54.561409365824346,6.038264701810519,43,9.466496782578101e-05,49,2,3,15442
US.MRVL,190.0321474862779,5.331860026361701,44,9.249814569434824e-05,50,3,3,87832
US.CVNA,99.00882982002935,4.879670914760544,45,0.00021785160678290623,31,3,3,20171
US.PANW,52.74239681933879,4.386834059411405,46,1.3802262539123695e-05,105,3,3,3109
US.DOCN,86.35171749743955,4.372241620111732,47,0.0007541406218343226,3,3,3,3230
US.CELH,68.45346939934156,4.346525028544661,48,0.000560083904489978,6,3,3,49673
US.CLX,54.10598544200134,4.196569992158056,49,0.00034398705326609214,18,2,3,16212
US.FSLR,40.6545067898365,4.1476946334089195,50,0.0001148699990872093,46,2,3,6758
