stock_owner,sum_log_turnover,sum_volume_open_interest,rank_by_volume,sum_turnover_mktval,rank_by_mktval,appear_days,total_trade_days,sum_open_interest
US.MCHP,142.90159018557208,6.962006987184014,30,0.013603969895476496,1,3,3,114761
US.DINO,149.75095427306064,18.76530612244898,15,0.004961628315598963,2,1,3,10443
US.WYNN,33.876112821057305,3.0001382552191345,59,0.004386905739644173,3,1,3,14570
US.SMCI,555.248402967507,20.577843513493818,14,0.0026414708547095643,4,3,3,462735
US.AMD,2573.379700490148,63.72730628515531,4,0.002307909026286841,5,3,3,665355
US.DDOG,498.6049396809642,18.417911988635684,17,0.0017463515467286053,6,2,3,79626
US.AKAM,145.17203742063418,6.006066001449826,34,0.0015227660379987166,7,2,3,26745
US.RKLB,751.9289356112836,50.343711188800896,5,0.0014095948394604663,8,1,3,88933
US.MSTR,284.31958239746854,4.769363627990292,40,0.0013989799967155552,9,3,3,120417
US.MU,2194.2601890185024,67.58514202686648,2,0.0012056949417312203,10,3,3,445904
US.NSIT,14.690332836408633,2.0,80,0.000947708658619184,11,1,3,4
US.LITE,80.01039872150868,4.37701400045915,44,0.0009279095940544048,12,2,3,3291
US.AAON,71.04529367639998,4.744851790641189,41,0.0008924752054714272,13,1,3,3664
US.MAR,32.52295400689731,2.533101045296167,70,0.0008787300419819582,14,1,3,946
US.SNDK,346.035006756691,16.79560193985254,20,0.0008098387848025543,15,3,3,16372
US.INTC,2271.8477255445196,68.04472956303749,1,0.0006910919444585938,16,3,3,1220369
US.QCOM,767.756754009245,18.587893767090122,16,0.0006717630264362162,17,3,3,200764
US.CYTK,15.634251887373463,0.4193119664673107,137,0.000644098648645424,18,1,3,19563
US.DOCN,58.411372660189954,2.0191469523927412,79,0.0006207087470487033,19,3,3,14434
US.COP,311.9732244111057,39.11974198846657,7,0.0005836828902424998,20,2,3,16872
US.FICO,46.20478795335305,2.8645533141210375,64,0.0005709091404969776,21,1,3,747
US.SEZL,27.256751663488068,0.7655690596466436,121,0.0005177318236280056,22,1,3,2102
US.AVAV,55.5880359090485,4.0,45,0.0005075791052745577,23,2,3,820
US.PENG,26.492188838298468,0.9251952036803097,115,0.0005058652240145476,24,1,3,4766
US.FLEX,141.94058893438876,8.298741851864845,26,0.00047084092766954154,25,3,3,6887
US.MTSI,58.83781088593186,0.9964214446051525,107,0.00047049758096371356,26,2,3,6855
US.SHOP,17.925546546627753,0.996334812655936,108,0.0004454525321390908,27,1,3,45291
US.CGNX,15.352381863576698,0.676147382029735,125,0.0004235969038170492,28,1,3,7735
US.FTNT,278.08686151657076,11.507929373306096,24,0.00041131040964651264,29,2,3,33379
US.DVA,29.41595060206682,1.6795258037656036,90,0.0004106094305049145,30,1,3,2267
US.ROIV,15.864870527031943,0.9905328644847173,109,0.0003797832090209519,31,1,3,7394
US.ETN,63.13586205997174,5.987558518008379,36,0.0003455923760116129,32,2,3,1642
US.ADI,34.621392035567155,2.8640606767794634,65,0.0003369822467100685,33,1,3,3617
US.AEP,131.57816818725473,18.0,18,0.00033165634218094254,34,1,3,1624
US.MRNA,68.50075357774952,1.4388119916911581,93,0.0003233357881783106,35,1,3,64066
US.WFC,237.62194116375838,29.42621954976921,9,0.0002978223336976859,36,2,3,17958
US.DASH,73.69538207027529,6.986910994764398,29,0.0002670566368413507,37,2,3,1656
US.AAL,40.58143648665181,4.447425578126996,43,0.0002646818554803844,38,2,3,7997
US.WSC,26.517502996833592,1.6389868845646005,91,0.00022765518551072592,39,1,3,4984
US.GLW,241.82828206921127,8.148511392155058,27,0.00021948776720365153,40,3,3,40348
US.TSLA,1206.406106917293,40.50021324384919,6,0.00021451777440670665,41,3,3,253197
US.PFE,159.1051085682627,22.0,13,0.00020129230734668177,42,1,3,11519
US.DELL,294.5491412845861,13.905117063393384,21,0.0002003339464576871,43,3,3,27879
US.RVTY,14.59041328614184,0.9987368421052631,106,0.0001963832205130518,44,1,3,2375
US.ZS,42.70235165172524,3.3200105439000995,55,0.00019610002677395198,45,2,3,1316
US.CRWV,69.69008624503874,2.452369267511665,71,0.00019384897208426868,46,1,3,69398
US.MRVL,238.6549330910235,6.929978366458503,32,0.0001755042833157438,47,3,3,48329
US.ARM,353.53648347086636,16.93701411070987,19,0.0001717839756334794,48,2,3,30900
US.DUOL,13.600226043360331,2.0,80,0.0001523225704461111,49,1,3,236
US.TFC,70.93557868035685,8.911694510739856,25,0.0001482368693106143,50,1,3,2828
