stock_owner,trade_date,turnover_sum,turnover_max,volume_sum,volume_max,option_open_interest_sum,option_open_interest_mean,option_implied_volatility_mean,option_delta_mean,market_val_last,cf_log_turnover_sum,cf_log_turnover_mean,cf_churn_mean,cf_churn_max,cf_notional_churn_mean,cf_notional_churn_max,cf_delta_flow_sum,cf_vega_flow_sum,cf_gamma_flow_sum,cf_iv_level_mean,cf_volume_oi_ratio_mean,cf_volume_oi_ratio_max,cf_turnover_per_contract_mean,cf_turnover_per_contract_max,cf_intraday_range_mean,cf_intraday_range_max,cf_theta_vega_ratio_mean,cf_dte_weight_mean,cf_market_val_log_last,contracts,uf_pcr_turnover,uf_pcr_volume,deep_turnover_share,deep_churning_count,fscore_cf_log_turnover,fscore_cf_churn,fscore_cf_notional_churn,fscore_cf_delta_flow,fscore_cf_vega_flow,fscore_cf_gamma_flow,fscore_cf_iv_level,fscore_cf_volume_oi_ratio,fscore_cf_turnover_per_contract,fscore_cf_intraday_range,fscore_uf_pcr_turnover,fscore_uf_deep_itm_share,daily_score,persist_score,active_days,persistence_ratio,stop_status,stop_date,peak_date,dominant_bucket,stop_bonus,final_score
US.AAL,2026-05-07,1612457.0,963896.0,2306,1494,170,85.0,245.2195,0.9240230684999999,8558323672.78,27.161252604822778,13.580626302411389,13.375,16.6,7.270853189936459,8.276627168126396,1479739.496946937,9854.543520053001,22724.899486484002,245.2195,13.375,16.6,721.9492444325743,798.7204433497537,0.06663817046391966,0.07258609047940591,3.3967063060171196,0.02631578947368421,22.870170175420036,2,0.0,0.0,1.0,1.0,38.557993730407524,62.06896551724138,79.15360501567397,52.19435736677116,6.426332288401254,34.1692789968652,99.84326018808778,62.06896551724138,32.13166144200627,12.852664576802509,28.605015673981192,94.35736677115987,58.31,84.38395415472779,3,1.0,ONGOING,,2026-05-09,DEEP_OTM,60.0,71.91
US.AAPL,2026-05-07,272700147.0,16615877.0,501023,51196,1215681,10663.868421052632,27.4089649122807,0.3856483551491228,4222071417828.0,1626.1162347006493,14.264177497374117,16.30503362148016,842.0,13755.100316262959,952670.0,173800328.63948262,62188740.47308699,5082533.178702419,27.4089649122807,16.30503362148016,842.0,1923.7991894057043,13262.632047477744,0.48382465431010724,1.7916666666666667,1.8148109367199936,0.0880388134666634,29.07134698085088,114,0.173933036321404,0.2125230211492061,0.29999759039367146,1.0,96.86520376175548,92.47648902821317,92.94670846394985,96.55172413793103,95.45454545454545,97.80564263322884,16.77115987460815,92.47648902821317,94.04388714733543,84.48275862068965,67.7115987460815,68.65203761755487,84.87,84.38395415472779,3,1.0,ONGOING,,2026-05-09,ATM,60.0,76.34
US.ABNB,2026-05-07,852000.0,852000.0,750,750,718,718.0,39.571,0.471935726,83162192249.76,13.655342979519684,13.655342979519684,1.0445682451253482,1.0445682451253482,0.08483196500303085,0.08483196500303085,402089.238552,316885.572396,9167.692104,39.571,1.0445682451253482,1.0445682451253482,1136.0,1136.0,0.013588433525383225,0.013588433525383225,0.1362258386003594,0.006097560975609756,25.144058661430506,1,0.0,0.0,0.0,,20.532915360501566,22.25705329153605,25.391849529780565,25.235109717868337,47.02194357366771,15.203761755485893,38.087774294670844,22.25705329153605,40.28213166144201,4.858934169278997,28.605015673981192,26.332288401253916,26.32,84.38395415472779,3,1.0,ACTIVE,,2026-05-08,ATM,30.0,56.58
US.ACN,2026-05-07,2160500.0,2160500.0,1271,1271,76,76.0,47.013,0.519490431,107175378014.76,14.585850697209839,14.585850697209839,16.723684210526315,16.723684210526315,1.6284373935353937,1.6284373935353937,1122359.0761755002,813501.44774,19377.915550499998,47.013,16.723684210526315,16.723684210526315,1699.8426435877261,1699.8426435877261,0.1676727028839705,0.1676727028839705,0.24009673180007068,0.009259259259259259,25.397732376513197,1,0.0,0.0,0.0,,28.84012539184953,62.38244514106584,65.98746081504702,46.86520376175549,63.16614420062696,29.310344827586203,48.90282131661442,62.38244514106584,50.15673981191222,25.235109717868337,28.605015673981192,26.332288401253916,46.98,58.73925501432665,2,0.6667,ONGOING,,2026-05-08,DEEP_ITM,60.0,57.2
US.ADBE,2026-05-07,1318518.0,814459.0,1226,938,3132,1566.0,49.5045,0.007107361499999965,101118714000.0,26.74073118352189,13.370365591760946,4.651290322580645,9.0,0.3200737990102214,0.6296455909981212,683142.4159885229,286912.287648062,21863.481303408,49.5045,4.651290322580645,9.0,1309.2490190416963,1750.204861111111,0.21263600532250157,0.29151201064500315,1.780398234431444,0.06315789473684211,25.33956104971069,2,0.6188881208262171,0.3070362473347548,0.0,,35.26645768025078,53.76175548589342,55.01567398119123,36.83385579937304,45.29780564263323,32.9153605015674,52.03761755485894,53.76175548589342,51.2539184952978,36.83385579937304,84.79623824451411,26.332288401253916,46.23,84.38395415472779,3,1.0,ONGOING,,2026-05-09,ATM,60.0,69.9
US.ADI,2026-05-07,1615529.0,1615529.0,574,574,9,9.0,45.354,-0.486746533,202912293773.91,14.295173634176404,14.295173634176404,63.77777777777778,63.77777777777778,4.3188225638722475,4.3188225638722475,786353.139710957,917249.700016855,10034.208940842,45.354,63.77777777777778,63.77777777777778,2814.5104529616724,2814.5104529616724,0.15916093005343482,0.15916093005343482,0.49626726904856155,0.022727272727272728,26.036039672257644,1,0.0,0.0,0.0,,26.802507836990596,75.07836990595611,76.17554858934169,39.811912225705335,64.57680250783699,17.398119122257054,45.924764890282134,75.07836990595611,64.42006269592476,24.294670846394983,28.605015673981192,26.332288401253916,50.56,84.38395415472779,3,1.0,ONGOING,,2026-05-09,DEEP_ITM,60.0,70.62
US.AKAM,2026-05-07,10653604.0,4924363.0,13346,5483,9063,1510.5,102.82466666666666,0.4295444226666667,17959739625.52,84.7490929739563,14.124848828992716,4.640075920501931,13.657142857142857,0.3682093548491477,1.4598503390207629,6037975.0056426395,1183751.441746335,160693.90619875,102.82466666666666,4.640075920501931,13.657142857142857,954.1786595883505,1418.1700507614214,0.30319651294068156,0.49122807017543857,13.54097491653426,0.08442337952388203,23.611398402305575,6,0.16944022960255886,0.40706378492356354,0.0,,70.21943573667711,59.56112852664577,64.42006269592476,74.45141065830721,67.55485893416929,71.78683385579937,93.57366771159874,59.56112852664577,45.76802507836991,50.78369905956113,67.39811912225704,26.332288401253916,59.68,84.38395415472779,3,1.0,ONGOING,,2026-05-09,DEEP_ITM,60.0,72.14
US.ALB,2026-05-07,5892488.0,2436767.0,4728,1764,629,125.8,86.7028,-0.28930950060000005,22706193305.07,69.04588084923245,13.80917616984649,13.81783989125095,36.75757575757576,1.1944872486697387,3.833727441068701,3026679.69460937,970829.0012026359,104160.630992124,86.7028,13.81783989125095,36.75757575757576,1393.0498183345012,2534.6433447098975,0.2675815071902713,0.783162016642193,13.781485008444497,0.17480392156862745,23.84590355708817,5,9.996114729318679,6.893155258764608,0.0,,64.73354231974922,71.00313479623824,74.92163009404389,65.04702194357367,64.89028213166145,65.51724137931035,89.81191222570533,71.00313479623824,60.81504702194357,64.73354231974922,99.68652037617555,26.332288401253916,64.96,84.38395415472779,3,1.0,ACTIVE,,2026-05-07,ATM,30.0,63.02
US.ALK,2026-05-07,622376.0,622376.0,2008,2008,402,402.0,58.177,0.333373911,4511186713.3,13.341301297436006,13.341301297436006,4.9950248756218905,4.9950248756218905,0.38217699456310156,0.38217699456310156,207483.92123253603,61259.297123616,14369.694045319999,58.177,4.9950248756218905,4.9950248756218905,309.9482071713147,309.9482071713147,0.15952497008906827,0.15952497008906827,0.18944941504315696,0.006097560975609756,22.22982608540503,1,0.0,0.0,0.0,,12.225705329153605,44.20062695924764,46.23824451410658,10.501567398119123,21.316614420062695,23.510971786833856,65.8307210031348,44.20062695924764,12.539184952978054,24.45141065830721,28.605015673981192,26.332288401253916,31.11,24.498567335243553,1,0.3333,N/A,,,,0.0,17.43
US.AMAT,2026-05-07,3203577.0,882534.0,2400,1020,1348,269.6,60.0846,0.37582399,340157061193.54,66.74284766336096,13.348569532672192,65.44276045773061,277.0,3.662364178443086,16.59082637301106,1262580.589456334,1565556.5054569,22670.874081631,60.0846,65.44276045773061,277.0,1763.178902110185,2567.2057761732854,0.5680889990956652,2.443396226415094,4.337211747354493,0.08674582798459564,26.552673292582842,5,0.0,0.0,0.0,,63.63636363636363,84.56112852664577,82.75862068965517,49.059561128526646,70.21943573667711,34.01253918495298,67.55485893416929,84.56112852664577,61.12852664576802,89.34169278996865,28.605015673981192,26.332288401253916,61.66,84.38395415472779,3,1.0,ONGOING,,2026-05-09,ATM,60.0,72.47
