stock_owner,max_score,avg_score,signal_days,total_turnover,max_daily_turnover
US.AMD,94.87,87.62,3,2879637296.0,1326292081.0
US.INTC,93.82,91.52333333333333,3,1023410957.0,614227374.0
US.MU,92.82,91.92333333333333,3,2931810896.0,1377912960.0
US.DDOG,88.6,80.60666666666667,3,159733389.0,114288497.0
US.QCOM,88.6,85.41333333333334,3,659502271.0,279692126.0
US.SNDK,88.28,81.21666666666667,3,717879089.0,321801092.0
US.AAPL,88.05,82.74666666666667,3,1150766784.0,500579185.0
US.GOOG,88.02,80.94666666666666,3,318767182.0,176719342.0
US.ARM,87.84,74.95666666666666,3,250634961.0,178384149.0
US.RKLB,87.77,87.77,1,160697746.0,160697746.0
US.DELL,87.62,85.16000000000001,3,109907605.0,51773351.0
US.GOOGL,87.45,76.29,3,639955505.0,324826937.0
US.NVDA,87.35,80.94333333333333,3,2840206632.0,1111487886.0
US.TSLA,86.13,84.02666666666666,3,3558320371.0,1430501277.0
US.GLW,85.64,73.76666666666667,3,135963620.0,64659398.0
US.AKAM,85.63,66.03666666666668,3,50063661.0,33611675.0
US.AVGO,85.32,82.11666666666666,3,239889276.0,91916057.0
US.MSTR,85.15,74.25,3,353741501.0,178410296.0
US.MCHP,84.77,70.84333333333332,3,744125868.0,716468511.0
US.VRT,84.76,55.36000000000001,3,20484119.0,17313634.0
US.META,84.18,76.00333333333333,3,353442597.0,149818800.0
US.CRWV,83.54,83.54,1,86790367.0,86790367.0
US.ORCL,83.15,74.65333333333334,3,411510852.0,168856259.0
US.MSFT,82.97,76.03333333333333,3,543069274.0,359956303.0
US.DOCN,82.39,68.60333333333334,3,26747353.0,14340450.0
US.SLV,82.27,82.27,1,67375052.0,67375052.0
US.DASH,82.07,72.66333333333334,3,31136252.0,15304658.0
US.LITE,81.19,67.96333333333332,3,119068497.0,61913899.0
US.APP,80.93,71.21666666666668,3,127538181.0,66280439.0
US.USO,80.89,80.89,1,20623358.0,20623358.0
US.MRNA,80.54,60.123333333333335,3,52921848.0,28285972.0
US.AAON,80.53,80.53,1,10137883.0,10137883.0
US.WFC,80.18,73.19,2,73791955.0,63131885.0
US.SHOP,79.82,55.166666666666664,3,196356691.0,191719522.0
US.MAR,79.58,79.58,1,127909016.0,127909016.0
US.FTNT,79.56,65.94,3,37263063.0,32784650.0
US.SMCI,78.53,68.11,3,104719556.0,69849926.0
US.QQQ,78.18,78.18,1,880192794.0,880192794.0
US.TFC,77.42,77.42,1,10523340.0,10523340.0
US.FLEX,77.24,64.04666666666667,3,26887357.0,18096981.0
US.GLD,77.1,77.1,1,75326613.0,75326613.0
US.MXL,76.98,76.98,1,22647253.0,22647253.0
US.AVAV,76.96,76.13,2,13615034.0,7409677.0
US.WYNN,76.85,76.85,1,46957065.0,46957065.0
US.LRCX,76.69,70.1,3,48105666.0,31243192.0
US.UNH,76.49,65.26666666666667,3,31852056.0,23906743.0
US.ASML,76.46,56.81666666666666,3,49202083.0,33387575.0
US.NOW,76.23,60.71333333333334,3,38931817.0,24119026.0
US.COIN,76.0,68.22,3,126650965.0,63173287.0
US.COHR,75.84,65.58333333333333,3,38927532.0,19276237.0
US.MTSI,75.82,65.1,3,35500706.0,18904111.0
US.MRVL,74.71,73.14333333333333,3,84917208.0,33071311.0
US.DVA,74.31,56.830000000000005,3,14067004.0,7725287.0
US.AMAT,73.85,64.32333333333334,3,21688335.0,9383293.0
US.CSCO,73.66,70.685,2,23366535.0,16097102.0
US.BABA,73.07,58.03666666666666,3,99723448.0,60096798.0
US.PLTR,73.07,66.64333333333333,3,251952873.0,123010858.0
US.PWR,72.91,72.91,1,5939316.0,5939316.0
US.CVNA,72.8,68.11,3,106443182.0,71108851.0
US.WDC,72.6,67.22,3,32970130.0,18512731.0
US.AMZN,72.42,70.10333333333334,3,467560635.0,229776568.0
US.HR,71.94,71.94,1,5774751.0,5774751.0
US.ABNB,71.91,39.43333333333333,3,6277694.0,4920401.0
US.CRWD,71.21,52.68333333333333,3,38555821.0,24920463.0
US.NSIT,70.33,70.33,1,4255826.0,4255826.0
US.COP,70.32,56.18,3,83795254.0,80495164.0
US.SANM,70.22,70.22,1,5177542.0,5177542.0
US.ADI,70.02,47.68,2,69274676.0,68524260.0
US.SATS,69.68,52.38666666666668,3,20472609.0,9381827.0
US.PANW,69.42,59.343333333333334,3,51184079.0,25704570.0
US.ADBE,69.24,52.25333333333333,3,12550557.0,6415635.0
US.SPGI,69.13,69.13,1,1641850.0,1641850.0
US.WMT,69.13,58.04,2,118279072.0,115466554.0
US.IBM,67.62,44.285000000000004,2,26197289.0,25340646.0
US.TPR,65.99,65.68,2,8435125.0,6998126.0
US.BA,65.22,57.24666666666667,3,40675649.0,19432812.0
US.DVN,64.94,52.73666666666667,3,13326457.0,8409397.0
