stock_owner,max_score,avg_score,signal_days,total_turnover,max_daily_turnover
US.AMD,91.5,84.06666666666666,3,571368013.0,285563076.0
US.TSLA,91.06,87.17666666666666,3,1140897822.0,482657832.0
US.QCOM,90.18,82.59,3,69738647.0,35984174.0
US.SNDK,90.14,78.32333333333334,3,273917118.0,93541664.0
US.MU,90.03,86.91666666666667,3,837866588.0,332021750.0
US.INTC,89.54,84.49000000000001,3,375485642.0,180979132.0
US.QQQ,88.83,88.83,1,585680569.0,585680569.0
US.HOOD,88.42,77.14500000000001,2,32126308.0,25169966.0
US.META,84.62,75.79666666666667,3,215801278.0,141811306.0
US.NFLX,82.59,65.73,3,92196804.0,64843028.0
US.NVDA,82.56,80.67333333333333,3,441786549.0,198187335.0
US.MRVL,82.52,72.74,3,37102941.0,22868305.0
US.ORCL,82.45,72.20333333333333,3,68021603.0,35940421.0
US.USO,81.58,81.58,1,9685203.0,9685203.0
US.ZTS,80.9,56.275000000000006,2,12109470.0,11375250.0
US.INTU,80.58,69.05333333333333,3,31904640.0,25927578.0
US.AVGO,80.31,65.84666666666666,3,73944958.0,38440624.0
US.GLD,79.94,79.94,1,13908325.0,13908325.0
US.CRWV,79.77,79.77,1,34436874.0,34436874.0
US.MSFT,79.45,72.77333333333333,3,160451584.0,99380111.0
US.AVAV,79.03,79.03,1,3624485.0,3624485.0
US.RKLB,78.9,78.9,1,27118947.0,27118947.0
US.AKAM,78.25,56.846666666666664,3,6583278.0,3547687.0
US.NOW,77.04,59.96,3,73889560.0,66737118.0
US.AAPL,76.92,74.97000000000001,3,121612454.0,42468034.0
US.ARM,76.67,66.18333333333334,3,49968979.0,25375623.0
US.SHOP,76.53,66.88333333333334,3,25239375.0,11807888.0
US.LITE,76.2,65.19666666666667,3,50432281.0,31573856.0
US.COHR,75.63,67.99,3,26490178.0,9454649.0
US.GOOG,75.57,65.18333333333334,3,66326492.0,49250828.0
US.LRCX,75.27,57.95666666666667,3,21440513.0,17429367.0
US.MXL,74.99,74.99,1,2007857.0,2007857.0
US.STX,74.44,61.96666666666667,3,11121611.0,7014428.0
US.PLTR,74.1,69.00666666666666,3,104666072.0,42400923.0
US.GLW,74.05,46.175,2,5567110.0,5239571.0
US.JBL,73.17,62.85333333333333,3,11199059.0,8151609.0
US.ANET,73.14,65.215,2,11261256.0,9421066.0
US.COIN,72.59,62.45333333333334,3,33478112.0,14391995.0
US.DHR,72.48,61.125,2,37192506.0,22775316.0
US.SLV,71.89,71.89,1,8753561.0,8753561.0
US.GEV,71.77,53.185,2,7220708.0,5743909.0
US.GOOGL,71.42,66.58,3,39215295.0,16725231.0
US.EA,70.48,47.815,2,10498419.0,9434944.0
US.CAR,69.63,64.5,3,138764768.0,128718752.0
US.CVNA,69.43,63.31666666666667,3,37997408.0,32048440.0
US.BSX,69.41,66.97,2,38816148.0,30055694.0
US.ZS,69.35,69.35,1,7096950.0,7096950.0
US.DELL,69.28,60.129999999999995,3,8420569.0,3129525.0
US.DDOG,68.79,64.42333333333333,3,13233534.0,8255723.0
US.SCHW,68.64,53.43666666666667,3,9947087.0,6678672.0
US.C,68.01,39.17333333333334,3,5921710.0,4478044.0
US.ALB,67.54,67.54,1,5356618.0,5356618.0
US.CRM,66.86,58.02333333333333,3,37385808.0,18081828.0
US.APP,66.73,58.836666666666666,3,15356752.0,8723401.0
US.ASML,66.54,53.800000000000004,3,19173364.0,15220903.0
US.ABT,66.17,61.74,2,69160142.0,44268557.0
US.BKNG,65.92,57.495000000000005,2,6353496.0,3462500.0
US.VRT,65.61,57.50333333333333,3,9751977.0,3872883.0
US.MCK,65.61,47.02,3,10476962.0,6492487.0
US.CRCL,65.46,65.46,1,7546526.0,7546526.0
US.COF,65.46,65.46,1,1555398.0,1555398.0
US.LULU,64.65,44.25,2,9737758.0,9082220.0
US.TMO,64.53,57.535,2,11963890.0,11317470.0
US.DASH,64.19,58.989999999999995,2,4838644.0,2960923.0
US.UNH,64.03,64.03,1,2297781.0,2297781.0
US.AXON,63.45,63.45,1,4342749.0,4342749.0
US.MRK,63.16,63.16,1,717878.0,717878.0
US.FTNT,62.94,49.57,3,11645803.0,8939917.0
US.TER,62.69,46.89666666666667,3,4824757.0,2471564.0
US.CIEN,62.68,62.68,1,2765360.0,2765360.0
US.BAC,62.61,42.32,2,7119008.0,5989114.0
US.AMZN,62.6,59.46,3,56612554.0,28958424.0
US.AMAT,62.14,62.14,1,3248167.0,3248167.0
US.MNST,61.53,61.53,1,546320.0,546320.0
US.ACN,60.1,60.1,1,13105870.0,13105870.0
US.MSTR,59.93,57.60333333333333,3,48621735.0,20606210.0
US.WDC,59.66,47.080000000000005,3,6525121.0,4100693.0
US.RCL,59.59,55.075,2,55107270.0,37564528.0
US.TTD,58.56,52.394999999999996,2,9177286.0,6489368.0
US.CMG,58.37,58.37,1,2265088.0,2265088.0
US.NKE,58.11,38.17666666666667,3,3893294.0,2858050.0
US.GXO,58.09,58.09,1,1625507.0,1625507.0
US.CEG,58.03,43.080000000000005,3,7094553.0,4232888.0
US.KTOS,57.75,57.75,1,5174061.0,5174061.0
US.ADI,57.72,52.285,2,2695973.0,1615529.0
US.CHWY,57.69,57.69,1,2816985.0,2816985.0
US.GS,57.34,46.17666666666667,3,8998298.0,4316605.0
US.DAL,57.23,39.144999999999996,2,1246528.0,844199.0
US.MCD,57.16,44.32,3,20036806.0,14321403.0
US.TWLO,56.07,56.07,1,723553.0,723553.0
US.CCL,56.03,50.58,2,10012010.0,5629120.0
US.MELI,55.83,55.83,1,3634409.0,3634409.0
US.KBR,55.82,55.82,1,3300000.0,3300000.0
US.HPQ,55.58,55.58,1,1008000.0,1008000.0
US.UAL,55.41,55.41,1,2826158.0,2826158.0
US.BA,55.15,43.199999999999996,3,8062094.0,3325500.0
US.APH,55.11,55.11,1,3288518.0,3288518.0
US.VST,54.95,41.39666666666667,3,10759074.0,6358042.0
US.WMB,54.94,54.94,1,860300.0,860300.0
US.OKTA,54.78,54.78,1,758354.0,758354.0
US.WFC,54.58,45.18,2,8298658.0,7414658.0
US.CF,54.48,54.48,1,1192565.0,1192565.0
US.PANW,54.36,52.269999999999996,2,7744928.0,5398722.0
US.UBER,54.25,43.653333333333336,3,3630732.0,1595912.0
US.CW,53.87,53.87,1,973176.0,973176.0
US.FLEX,53.24,53.24,1,1424396.0,1424396.0
US.CELH,52.63,52.63,1,1460629.0,1460629.0
US.PINS,52.6,52.6,1,1767222.0,1767222.0
US.ABBV,52.52,52.52,1,3496300.0,3496300.0
US.AR,52.37,52.37,1,1280322.0,1280322.0
US.ONTO,52.21,52.21,1,870216.0,870216.0
US.NXPI,52.06,52.06,1,1108484.0,1108484.0
US.CHTR,51.94,51.94,1,27764170.0,27764170.0
US.SYK,51.92,51.35,2,21701657.0,17910580.0
US.HD,51.64,40.945,2,19251144.0,18454580.0
US.ADBE,51.46,46.81,2,4082127.0,3578068.0
US.SMCI,51.19,47.28333333333333,3,1982885.0,755809.0
US.EXPE,50.85,43.985,2,4058344.0,2601457.0
US.CAVA,50.42,50.42,1,330029.0,330029.0
US.LFUS,50.4,50.4,1,370424.0,370424.0
US.BURL,50.22,50.22,1,538806.0,538806.0
US.UPWK,50.19,50.19,1,1839718.0,1839718.0
US.NOC,49.78,49.78,1,1650426.0,1650426.0
US.HST,49.63,49.63,1,679769.0,679769.0
US.BX,49.36,49.36,1,7407875.0,7407875.0
