stock_owner,sum_log_turnover,sum_volume_open_interest,rank_by_volume,sum_turnover_mktval,rank_by_mktval,appear_days,total_trade_days,sum_open_interest
US.TSLA,5002.565970032668,434.6510067092801,1,0.0014163641538389518,4,2,2,1151294
US.MU,2644.9707402635668,259.2219718080378,2,0.0011941574307023047,6,2,2,157718
US.QQQ,3543.5043956734517,247.86991800254333,3,7.47433347e-10,200,1,2,925239
US.NVDA,3421.264272555579,173.3115125790931,4,0.00028365740032866126,33,2,2,3687685
US.AMD,1940.896368368797,167.10363992627074,5,0.0007483479849693848,13,2,2,254936
US.AAPL,2549.943926041341,130.86820078858187,6,0.00012034334313203737,66,2,2,2039563
US.META,1639.9199350842214,129.64324379512584,7,0.00011706758960118924,68,2,2,225432
US.MSFT,2042.1145226981375,117.71099381728055,8,9.770954289702101e-05,72,2,2,728454
US.INTC,1283.4301568846408,115.87287296541128,9,0.0005107682625564362,18,2,2,308934
US.SNDK,913.5126733389892,103.39621170896348,10,0.0012866215337815204,5,2,2,23351
US.AVGO,1174.6055997020812,76.10299754239749,11,5.25260404228932e-05,92,2,2,212797
US.QCOM,912.7298530684534,71.66298491021374,12,0.0010812913449411814,7,2,2,177136
US.PLTR,1016.018540601935,66.3425318588673,13,0.0003300007350121065,28,2,2,372862
US.GOOGL,1071.350410291281,59.75393238052875,14,4.757820396617212e-05,100,2,2,430756
US.AMZN,1233.6999982120378,53.903725949319096,15,4.458136064937572e-05,103,2,2,941072
US.APP,536.7120890937503,51.0623615537129,16,0.00042434039774561633,21,2,2,33008
US.MSTR,767.4156043652665,50.126175937302264,17,0.0023361343100802697,1,2,2,438169
US.RKLB,416.8426014803494,46.67503173628554,18,0.000903076017522663,9,1,2,45242
US.ORCL,907.6445550631076,42.03231465205788,19,0.00023066287926323272,41,2,2,416270
US.GOOG,677.8511882035447,34.57819137182742,20,1.4080597946263516e-05,153,2,2,172393
US.COIN,453.7498027485204,34.04833279049532,21,0.0018298963493861803,2,2,2,97603
US.ARM,410.87732983968397,33.72511769402847,22,0.00013617055499039315,64,2,2,39798
US.CRWV,344.1978972707589,27.853354413886724,23,0.0007374913257546738,14,1,2,109016
US.DELL,263.9223636851123,25.386143606488165,24,0.00015933570924360336,54,2,2,16404
US.GLD,363.4942104786951,24.960745831802328,25,6.3470814e-11,201,1,2,218543
US.DDOG,235.21795803390896,23.466883825994472,26,0.00032194555636180463,30,2,2,17833
US.PANW,387.34330291971696,23.438176456942486,27,0.00024411262195122975,38,2,2,94749
US.GLW,400.1504244396908,23.272122607479847,28,0.00023640589604823756,40,2,2,64409
US.BA,445.6411496313482,22.193320095748877,29,0.0001476089315892347,58,2,2,155650
US.CRWD,343.0403230676792,21.503808768310048,30,0.00020620538346741878,47,2,2,25596
US.MRVL,370.68881451807715,19.046154900943844,31,0.0002096116885173626,46,2,2,113071
US.SLV,355.36241124107534,18.870222951846955,32,4.6247303e-11,202,1,2,481619
US.MRNA,188.80452626385892,18.586324803146773,33,0.0018068847255007247,3,2,2,97504
US.NOW,300.39231041782904,16.98589944426715,34,0.0002691175926674911,34,2,2,104154
US.NFLX,228.32815906344587,16.289999865104456,35,3.4257601523997754e-05,114,2,2,185346
US.JPM,199.4680827997812,15.230030184389255,36,1.254094873358721e-05,156,2,2,35596
US.MCD,109.15450507731987,15.039644710376418,37,4.2417021394177266e-05,104,2,2,3546
US.HOOD,245.05457475631505,14.71758868046243,38,0.000255805774752037,37,2,2,93154
US.MCHP,124.89447591981724,14.493637217530901,39,0.0002050371979614476,48,2,2,10281
US.SMCI,217.49855017163677,14.370975049509257,40,0.0007962879888469797,12,2,2,217985
US.CVNA,142.0735793286933,14.0,41,0.0005940410271517828,17,2,2,1212
US.LITE,139.73166295793416,13.489124215245278,42,0.0002105025454931699,45,2,2,3732
US.UNH,270.8538236618489,13.453462568610442,43,5.380373854352061e-05,91,2,2,97252
US.AKAM,159.63304843362607,12.621991266272572,44,0.00040276709804540405,23,2,2,18758
US.CRCL,135.64016865830018,12.197814568838623,45,0.0003703000980110159,26,1,2,22630
US.CSCO,204.90077335092357,11.173623733387613,46,3.777775471832571e-05,109,1,2,97442
US.ASML,140.89935759139135,11.15929424725071,47,2.5882738552435816e-05,131,2,2,4877
US.WDC,151.7232588566505,10.651491371509316,48,6.958966227618366e-05,79,2,2,6030
US.WMT,107.80607680386268,9.834005486930803,49,7.40508520959428e-06,171,2,2,35734
US.COHR,97.860082686347,9.741101032747565,50,0.0001892453861467444,51,2,2,4879
