stock_owner,sum_log_turnover,sum_volume_open_interest,rank_by_volume,sum_turnover_mktval,rank_by_mktval,appear_days,total_trade_days,sum_open_interest
US.CAR,66.1817064563462,1.6787268895821388,105,0.0006100073651011988,1,2,2,13076
US.TTD,69.59500036651494,8.100639461485313,30,0.0005876668539750567,2,1,2,12108
US.TSLA,2888.3835433552795,308.8325886868685,2,0.0004974636846001222,3,2,2,303424
US.SNDK,510.8510163786743,61.54021754755322,8,0.0004879282693319963,4,2,2,10181
US.MSTR,278.4586980704738,23.653746023791815,17,0.0004449314902181962,5,2,2,58807
US.RCL,17.230365482678188,1.0251052096938036,116,0.00041199357708260586,6,1,2,6891
US.MU,1201.4204338904983,151.99764822117743,3,0.00038774275664595835,7,2,2,35541
US.CRWV,219.74580667572351,19.960616889294883,20,0.00032717924745711364,8,1,2,38730
US.COIN,232.549672069007,15.0407745338029,22,0.0003191291434151316,9,2,2,47751
US.JBL,58.17547278126594,7.070925110132158,35,0.0002741727796471756,10,2,2,2495
US.AMD,1164.4153697810552,137.5078141618498,5,0.00027009599984872165,11,2,2,61670
US.CRCL,107.01532909998306,7.698665314723856,32,0.00021000225004935894,12,1,2,11993
US.INTC,859.207809026165,101.92424577672097,6,0.00020430683173930413,13,2,2,95660
US.QCOM,444.3494501797003,61.0,9,0.00020174829755727935,14,2,2,4903
US.COHR,188.89044142592786,21.10195668465677,19,0.00018513214189920152,15,2,2,4975
US.AKAM,54.35990822803371,5.0,52,0.0001835300801693946,16,2,2,160
US.LITE,111.89884382595,5.470620659257588,46,0.00015922486014988184,17,2,2,5501
US.PINS,14.384919945942237,2.0,80,0.00014639755172371464,18,1,2,238
US.PATH,13.618676603898747,2.0,80,0.00014528728136401948,19,1,2,2132
US.FOUR,13.09448434356157,2.0,80,0.00014395414680816638,20,1,2,275
US.EXPE,41.76405036711228,4.513057340396716,53,0.000142264631707282,21,2,2,2304
US.AR,14.062622947812471,2.0,80,0.00011361718628066951,22,1,2,49
US.ENPH,13.208928154683152,0.2387535145267104,137,0.00011348977507386312,23,1,2,4268
US.HIMS,25.624570265834603,1.5086912065439673,107,0.00011343204492149047,24,1,2,8207
US.PLTR,581.6497783368907,33.00632832377616,15,0.00011075391294401737,25,2,2,318727
US.AAL,26.10727248734397,1.7797857038098353,104,0.00010778346679801332,26,2,2,24052
US.GPN,27.09123249496345,2.550266114725015,71,0.00010470108851194544,27,1,2,3833
US.VST,68.68049814339464,3.4870435885247364,62,0.00010360154868341019,28,1,2,15288
US.HOOD,132.7141100297498,7.295744778556173,34,9.16907460441119e-05,29,2,2,66872
US.MOH,13.584629650361434,1.3528784648187633,109,8.194427154075459e-05,30,1,2,938
US.AA,14.05681067667875,2.0,80,7.70052778816688e-05,31,1,2,378
US.FLR,13.239025785392009,0.25921173235563705,136,7.658551002277842e-05,32,1,2,5455
US.CCL,53.91505679948055,3.7903820094388943,60,7.652613787836727e-05,33,2,2,29536
US.ARM,283.12036407557787,18.4894961095821,21,7.322573162694466e-05,34,2,2,30196
US.SMCI,39.175862063564594,4.222664982019633,55,7.170042250038682e-05,35,2,2,12525
US.RKLB,92.7700753781542,10.143171806167402,24,6.949142786399027e-05,36,1,2,587
US.NYT,13.71084535607535,0.7815168539325843,123,6.939547750037913e-05,37,1,2,17800
US.CRM,56.48313163551107,1.284345956871097,110,6.929588107425234e-05,38,2,2,24603
US.CENX,12.837966569224069,0.8269484808454426,122,6.452775178603164e-05,39,1,2,757
US.CVNA,28.07786437146183,2.928301886792453,65,6.202098434918523e-05,40,2,2,265
US.ONTO,13.676497884816808,2.0,80,6.145375694050944e-05,41,1,2,10
US.MRVL,148.87021600400334,14.28514176094782,23,6.071896649119114e-05,42,2,2,19688
US.LYFT,12.674453083112818,1.0621830209481808,113,5.8262294550980156e-05,43,1,2,4535
US.ORCL,372.13782465366546,38.16340260410725,12,5.742801489079671e-05,44,2,2,37356
US.DDOG,79.59290832166248,8.0,31,5.139816899365877e-05,45,2,2,346
US.MXL,12.983487442408686,2.0,80,4.867981185775745e-05,46,1,2,1
US.HPQ,13.82347971967645,2.0,80,4.8597052948041014e-05,47,1,2,4
US.NVDA,1775.5358636333024,139.73513846100064,4,4.781197717956e-05,48,2,2,495565
US.MP,13.241480633703478,0.46267237280076084,130,4.692256078285899e-05,49,1,2,2103
US.WDAY,26.84088575465828,2.488833746898263,74,4.3719743182804054e-05,50,2,2,1241
