stock_owner,sum_log_turnover,sum_volume_open_interest,rank_by_volume,sum_turnover_mktval,rank_by_mktval,appear_days,total_trade_days,sum_open_interest
US.AAL,56.23010294517912,4.735841824583888,30,0.000708916215069594,1,2,2,146310
US.FBIN,14.752988056810384,0.9797383002870685,80,0.000563598327476511,2,1,2,89874
US.RKLB,178.46745820492913,20.6354609018278,6,0.0003747838318178572,3,1,2,31850
US.RCL,47.36263498071323,3.432926019625756,38,0.0003297718291318277,4,2,2,17504
US.SNDK,531.8972789428262,55.7434627248951,4,0.00029147570804392397,5,2,2,31470
US.MU,1786.5808964023754,156.68987757067876,1,0.0002585590038445617,6,2,2,181585
US.INTC,1243.9747159963922,104.58391532569532,2,0.00024806146779272166,7,2,2,451292
US.AGX,27.72800678933648,1.9014288348082595,68,0.0002427415684489043,8,1,2,2636
US.WHR,13.444775807976823,2.0,49,0.00023682910576550966,9,1,2,5784
US.CRWV,174.83783253722453,12.751971812169185,10,0.00019286055150645592,10,1,2,89009
US.CCL,57.223808083768716,5.722406007624931,27,0.00018581713638216236,11,2,2,42340
US.COIN,148.30764790335627,10.048276857915265,16,0.00017002243350579325,12,2,2,30352
US.AMD,898.7435992120575,92.80409666539748,3,0.00012868290540304252,13,2,2,66385
US.LITE,122.01488485802753,11.251025764536081,13,0.00011120041768406159,14,2,2,2997
US.ELF,12.875595455226332,2.0,49,0.00010870027152413004,15,1,2,73
US.CHDN,13.38267785017581,0.9248997448049581,83,0.00010474939663340365,16,1,2,8229
US.LYFT,13.235027556261532,1.8309713100587626,70,0.00010205694601440269,17,1,2,2893
US.MP,26.56309980631486,0.9991672886323735,78,9.64816962434794e-05,18,2,2,4706
US.COHR,81.593503044844,11.254098360655737,12,8.130802494814515e-05,19,2,2,871
US.MSTR,106.33938887288507,5.250444707228551,29,7.9481825795818e-05,20,2,2,26528
US.FSLR,14.379454679420402,2.0,49,7.62304633369132e-05,21,1,2,172
US.CRCL,51.650594900403064,2.520171761264917,44,5.8553490545563933e-05,22,1,2,9376
US.DPZ,13.32694532303638,2.0,49,5.701957950588315e-05,23,1,2,27
US.OKTA,13.538906892719494,2.0,49,5.154814785767169e-05,24,1,2,1
US.CVNA,40.66245440713184,3.52,37,4.242326086740537e-05,25,2,2,1024
US.VST,39.93570861879041,3.2988773995883003,39,3.888826707054483e-05,26,2,2,4480
US.MELI,28.488584814675068,4.0,33,3.726054692518026e-05,27,1,2,88
US.MCHP,14.500988404219314,2.0,49,3.701376018206267e-05,28,1,2,212
US.MRVL,68.36137297987703,6.711139923427941,25,3.679412112538441e-05,29,1,2,5525
US.CRM,28.109540448994007,2.164375,48,3.609109850295783e-05,30,1,2,3414
US.QCOM,147.11319186540237,15.185066019776079,8,3.385540783780706e-05,31,2,2,10845
US.WDC,80.46249729379709,11.944444444444445,11,3.3371943762231494e-05,32,2,2,947
US.AKAM,13.257638748414122,1.8445273631840795,69,3.332031881462443e-05,33,1,2,804
US.STX,81.06388699842887,11.057761732851986,14,3.2226852514371474e-05,34,2,2,472
US.TER,27.288551574340776,2.3907563025210083,46,3.091268724328451e-05,35,1,2,238
US.VRT,67.48571916941603,7.376200286322847,23,3.061149462935603e-05,36,2,2,4504
US.TSLA,756.2337998528656,18.7196612505134,7,2.9934046137685162e-05,37,2,2,299752
US.TTD,12.676566779458817,0.31831237001089435,94,2.9507190839029262e-05,38,1,2,10097
US.BURL,13.197112715267657,1.0,77,2.796992744676725e-05,39,1,2,0
US.FLEX,14.169259124233584,2.0,49,2.724958872268242e-05,40,1,2,23
US.WMS,12.61370540258891,2.0,49,2.6952890503156985e-05,41,1,2,7
US.ORCL,178.1334896923612,6.887193218628427,24,2.4313705771166277e-05,42,2,2,76600
US.EA,13.877053346372021,1.495005549389567,72,2.120129364314319e-05,43,1,2,2703
US.DDOG,26.92557045191369,3.0,41,2.092997596710386e-05,44,2,2,40
US.XYZ,13.709888897099896,2.0,49,2.019704110779829e-05,45,1,2,762
US.ADBE,39.839563936960914,2.1800251871316654,47,1.9506335860439774e-05,46,1,2,5671
US.NVT,13.157948644169231,2.0,49,1.921520200402187e-05,47,1,2,16
US.PLTR,94.74898027868018,2.4608553652988134,45,1.771204859789047e-05,48,1,2,87776
US.DELL,65.77924513779223,9.8656330749354,18,1.7559372994500425e-05,49,2,2,874
US.WBD,13.933738827822532,0.33677549646583643,92,1.655914721620931e-05,50,1,2,74275
