stock_owner,max_score,avg_score,signal_days,total_turnover,max_daily_turnover,active_days,persistence_ratio,dominant_bucket,stop_status,stop_date,peak_date
US.AMD,74.19,72.975,2,1963597129.0,1514964880.0,2,1.0,DEEP_ITM,ONGOING,,2026-05-09
US.INTC,74.1,73.72999999999999,2,1045644202.0,795206506.0,2,1.0,ATM,ONGOING,,2026-05-09
US.MU,73.86,73.72,2,2573673314.0,1709934710.0,2,1.0,ATM,ONGOING,,2026-05-09
US.SNDK,73.79,72.52000000000001,2,628754233.0,415342756.0,2,1.0,ATM,ONGOING,,2026-05-09
US.DELL,73.1,72.57,2,68946986.0,54902876.0,2,1.0,ATM,ONGOING,,2026-05-09
US.AVGO,73.07,72.84,2,219419331.0,114022500.0,2,1.0,ATM,ONGOING,,2026-05-09
US.AKAM,73.05,71.09,2,45993335.0,37159362.0,2,1.0,DEEP_ITM,ONGOING,,2026-05-09
US.AAPL,73.04,72.285,2,999679091.0,539319627.0,2,1.0,ATM,ONGOING,,2026-05-09
US.MSTR,72.66,71.485,2,208918406.0,127809957.0,2,1.0,ATM,ONGOING,,2026-05-09
US.GLW,72.62,70.655,2,71631761.0,57372480.0,2,1.0,ATM,ONGOING,,2026-05-09
US.MCHP,72.54,71.86500000000001,2,744328039.0,718453230.0,2,1.0,DEEP_ITM,ONGOING,,2026-05-09
US.DASH,72.3,71.38499999999999,2,26896201.0,15304658.0,2,1.0,DEEP_ITM,ONGOING,,2026-05-09
US.MRNA,71.8,70.53,2,53119034.0,28601147.0,2,1.0,ATM,ONGOING,,2026-05-09
US.UNH,71.76,69.825,2,30266254.0,26204524.0,2,1.0,ATM,ONGOING,,2026-05-09
US.MRVL,71.71,71.525,2,66080533.0,38923646.0,2,1.0,ATM,ONGOING,,2026-05-09
US.C,71.62,68.73,2,17559130.0,9996275.0,2,1.0,ATM,ONGOING,,2026-05-09
US.ADI,71.04,67.005,2,70355120.0,69604704.0,2,1.0,DEEP_ITM,ONGOING,,2026-05-09
US.WDC,71.02,70.85499999999999,2,31977458.0,22613424.0,2,1.0,ATM,ONGOING,,2026-05-09
US.LRCX,71.0,70.14,2,20873620.0,12326373.0,2,1.0,ATM,ONGOING,,2026-05-09
US.GEV,70.74,66.72999999999999,2,7381039.0,6738295.0,2,1.0,ATM,ONGOING,,2026-05-09
US.BAC,70.65,66.32000000000001,2,15191894.0,14062000.0,2,1.0,ATM,ONGOING,,2026-05-09
US.ADBE,70.51,70.20500000000001,2,15314166.0,9993703.0,2,1.0,ATM,ONGOING,,2026-05-09
US.AMAT,70.4,70.065,2,21732925.0,12631460.0,2,1.0,ATM,ONGOING,,2026-05-09
US.SMCI,70.38,69.38499999999999,2,36350930.0,21017444.0,2,1.0,ATM,ONGOING,,2026-05-09
US.RCL,70.24,68.85499999999999,2,61411813.0,43869071.0,2,1.0,ATM,ONGOING,,2026-05-09
US.ASML,70.04,69.64500000000001,2,19766969.0,15547178.0,2,1.0,ATM,ONGOING,,2026-05-09
US.COP,70.04,68.385,2,81696740.0,80495164.0,2,1.0,DEEP_ITM,ONGOING,,2026-05-09
US.CRM,69.97,69.715,2,41475586.0,22445976.0,2,1.0,DEEP_ITM,ONGOING,,2026-05-09
US.SATS,69.95,66.74000000000001,2,16055789.0,9381827.0,2,1.0,DEEP_OTM,ONGOING,,2026-05-09
US.TER,69.92,67.36,2,3854662.0,3242446.0,2,1.0,DEEP_OTM,ONGOING,,2026-05-09
US.BA,69.85,69.14,2,42935300.0,22508381.0,2,1.0,ATM,ONGOING,,2026-05-09
