stock_owner,sum_log_turnover,sum_volume_open_interest,rank_by_volume,sum_turnover_mktval,rank_by_mktval,appear_days,total_trade_days,sum_open_interest
US.QQQ,3150.297653734324,354.7970485656968,1,5.07536486e-10,117,1,1,327054
US.TSLA,1529.0115465640959,165.59783805574358,2,0.00019744938150529989,5,1,1,134431
US.AMD,514.7554710335328,66.43798118049615,3,0.00014265747553668818,10,1,1,3238
US.NVDA,874.9273127174173,66.04712669034149,4,1.694911697029456e-05,54,1,1,190162
US.MU,461.7444794857561,60.62564102564102,5,0.00016842889972862053,6,1,1,1466
US.INTC,402.337850654035,52.170100428004986,6,6.326225768603048e-05,25,1,1,6687
US.AAPL,417.8317829203035,37.97349137376493,7,6.739605420670079e-06,77,1,1,72162
US.META,418.87432666983574,32.308520642035226,8,1.7876949853369298e-05,53,1,1,64553
US.QCOM,190.74082375897135,28.0,9,6.833201643194989e-05,21,1,1,2491
US.CRWV,219.74580667572351,19.960616889294883,10,0.00032717924745711364,3,1,1,38730
US.AVGO,227.45837070997322,19.49807499018992,11,6.414164769369003e-06,81,1,1,15448
US.ORCL,149.12993567495604,16.00614985450033,12,1.823414874940319e-05,51,1,1,13453
US.PLTR,322.27607419473327,15.771320480053127,13,5.8220753278156467e-05,28,1,1,168081
US.AMZN,215.83761661090102,15.721559621482822,14,4.701455579066389e-06,88,1,1,46571
US.MSFT,371.95894598153046,14.979291649095295,15,5.971585580139308e-06,83,1,1,120181
US.GOOGL,170.3051672605407,13.922294103319873,16,1.3596223216764516e-06,110,1,1,11197
US.SNDK,89.07963692850778,11.0,17,8.497424881167365e-05,18,1,1,121
US.RKLB,92.7700753781542,10.143171806167402,18,6.949142786399027e-05,20,1,1,587
US.GOOG,106.30409567260503,10.082751378663243,19,1.0852684221272193e-06,114,1,1,5945
US.MRVL,80.64459236510433,9.30777177806565,20,3.0212916754207623e-05,40,1,1,2536
US.COHR,80.42065025667455,9.231289982836635,21,6.702706818316907e-05,22,1,1,1480
US.SLV,120.63095691694895,8.574138137057004,22,8.753561e-12,118,1,1,88258
US.BAC,92.29460758223483,8.525817968747198,23,1.1803390083108786e-05,64,1,1,126333
US.COIN,134.96698855413436,8.25948140938794,24,0.00015171978652481384,7,1,1,26396
US.CRCL,107.01532909998306,7.698665314723856,25,0.00021000225004935894,4,1,1,11993
US.MSTR,97.28642556863915,7.373017759475936,26,0.0001354433232349202,11,1,1,21509
US.DELL,65.1165627927306,7.0,27,1.4110356365897782e-05,61,1,1,25
US.USO,94.5613007120563,6.387617445351876,28,6.71913e-12,120,1,1,16789
US.AMAT,40.93483393072003,6.0,29,9.399461420688395e-06,68,1,1,140
US.WFC,68.41799266355697,5.792752239003137,30,2.1246230298193824e-05,49,1,1,26988
US.CEG,66.20165408695411,5.531471862175199,31,2.5988447527740143e-05,43,1,1,8843
US.JPM,67.58595340587917,5.493790480564494,32,5.323930021421827e-06,86,1,1,13285
US.BKNG,41.28927795590417,5.416706073093292,33,2.2484798630189013e-05,48,1,1,1465
US.APP,67.47934541282724,5.291075539342915,34,2.52202083410642e-05,45,1,1,1986
US.INTU,41.05034124344106,5.1054545454545455,35,2.5294487917537203e-05,44,1,1,308
US.SHOP,40.54554250723669,5.099332839140104,36,1.8200079372925786e-05,52,1,1,1689
US.APH,53.3481260096616,5.012847082504153,37,1.840613144963362e-05,50,1,1,4936
US.LRCX,53.226320611938974,4.770473703075222,38,6.723439190383036e-06,78,1,1,3151
US.PANW,39.29610683344585,4.590772396327952,39,8.992567827592842e-06,70,1,1,601
US.GLD,121.23841370412171,4.1148826633423115,40,7.461997999999999e-12,119,1,1,50772
US.ADI,26.341490453905454,4.0,41,5.3133072369466415e-06,87,1,1,105
US.DDOG,26.472315146416147,4.0,41,1.6249310716679433e-05,55,1,1,346
US.ADBE,51.43936367047732,3.9269723282402182,43,1.5477151621536935e-05,58,1,1,2973
US.SCHW,26.731380254922126,3.747914735866543,44,9.449689835495114e-06,67,1,1,1394
US.C,53.02358969036288,3.6621029293168026,45,1.5509151257092877e-05,57,1,1,11885
US.BA,52.71022110500324,3.5441735930471197,46,1.2446929936465973e-05,62,1,1,3440
US.VST,68.68049814339464,3.4870435885247364,47,0.00010360154868341019,16,1,1,15288
US.HOOD,91.98359467447573,3.471921797411444,48,5.705457207261398e-05,29,1,1,47707
US.NFLX,117.83991753447347,3.148960589751139,49,1.2131901403234152e-05,63,1,1,106776
US.AKAM,40.62825112944283,3.0,50,0.0001300030696950615,12,1,1,0
