stock_owner,sum_log_turnover,sum_volume_open_interest,rank_by_volume,sum_turnover_mktval,rank_by_mktval,appear_days,total_trade_days,sum_open_interest
US.MU,1326.6475215390599,130.47020622342885,1,0.00018720348519540985,9,1,1,106265
US.INTC,1038.8769280935842,93.47386199322645,2,0.00021971267643571097,7,1,1,333094
US.AMD,747.3178085358508,81.50285133546625,3,0.00011153867626923007,11,1,1,50700
US.SNDK,405.6849862628273,43.1931718079238,4,0.0002242692145266893,6,1,1,18870
US.QQQ,760.5444561058036,29.395852998299297,5,7.4518741e-11,80,1,1,858838
US.RKLB,178.46745820492913,20.6354609018278,6,0.0003747838318178572,3,1,1,31850
US.QCOM,133.45864615103554,13.185066019776079,7,2.986772611188093e-05,28,1,1,10394
US.TSLA,485.67237846361434,13.118519448413588,8,1.979132717039175e-05,36,1,1,177164
US.CRWV,174.83783253722453,12.751971812169185,9,0.00019286055150645592,8,1,1,89009
US.WDC,66.08506560723833,9.944444444444445,10,2.24024523046714e-05,33,1,1,918
US.COHR,54.782006592929804,7.254098360655737,11,5.936776488789235e-05,18,1,1,811
US.MRVL,68.36137297987703,6.711139923427941,12,3.679412112538441e-05,25,1,1,5525
US.NVDA,500.58135186749496,6.471055835748703,13,7.455578522135119e-06,51,1,1,532103
US.GOOG,66.05935074715866,6.403508998772346,14,5.726703321113383e-07,77,1,1,7079
US.LITE,67.60522376443915,5.433666837913496,15,6.0728736878452644e-05,17,1,1,1972
US.COIN,107.63949806520634,5.349064595631013,16,0.00011983872674265403,10,1,1,21751
US.AAPL,173.88459741081493,5.235726158009634,17,2.2548021307708604e-06,72,1,1,87598
US.MSTR,92.42778662239529,5.059397026398191,18,6.201467875411431e-05,16,1,1,20362
US.STX,38.500045950536716,5.0577617328519855,19,6.51818468597126e-06,54,1,1,308
US.VRT,39.66128649513061,4.461538461538462,20,1.3203758005139808e-05,42,1,1,1017
US.GLD,52.30823312155515,4.32339512983203,21,2.0149350000000002e-12,81,1,1,13431
US.MELI,28.488584814675068,4.0,22,3.726054692518026e-05,23,1,1,88
US.DELL,25.676619418957095,4.0,22,4.496543306443645e-06,61,1,1,182
US.ARM,51.18236447926128,3.8661758862481115,24,6.529929938081947e-06,53,1,1,3197
US.ORCL,68.73498852197811,3.8648934905552945,25,1.1494192365495646e-05,46,1,1,30806
US.AVGO,173.36881448110822,3.7629206507255857,26,4.4441109450457785e-06,62,1,1,37609
US.WFC,27.831223280744993,3.7586206896551726,27,1.0786302836291044e-05,48,1,1,14028
US.CEG,39.05984341362863,3.613005005148837,28,1.249111718750468e-05,44,1,1,1778
US.GS,28.43264710778758,3.521551724137931,29,1.0842204095040331e-05,47,1,1,404
US.JPM,27.64156649715066,3.088866864882722,30,2.595254933429849e-06,71,1,1,7517
US.GEV,28.440448643845244,3.0,31,1.246379443499594e-05,45,1,1,94
US.C,26.503950352757535,2.898776187512964,32,5.403077456950466e-06,56,1,1,9643
US.MSFT,93.3544530658298,2.878578682641324,33,1.5449386240255829e-06,73,1,1,34665
US.AAL,41.964041109119144,2.735841824583888,34,0.0005289040663602228,2,1,1,126351
US.CRCL,51.650594900403064,2.520171761264917,35,5.8553490545563933e-05,19,1,1,9376
US.PLTR,94.74898027868018,2.4608553652988134,36,1.771204859789047e-05,38,1,1,87776
US.META,80.70762078566247,2.4171387737729715,37,3.150318677895875e-06,67,1,1,13033
US.TER,27.288551574340776,2.3907563025210083,38,3.091268724328451e-05,27,1,1,238
US.VST,26.386316965140363,2.351010101010101,39,2.411706404208459e-05,32,1,1,3847
US.AMZN,90.49184984616628,2.307053183132737,40,1.0490488255724575e-06,74,1,1,41175
US.ASML,25.33218478873337,2.2773333333333334,41,1.0341845190209946e-06,75,1,1,857
US.ADBE,39.839563936960914,2.1800251871316654,42,1.9506335860439774e-05,37,1,1,5671
US.CRM,28.109540448994007,2.164375,43,3.609109850295783e-05,26,1,1,3414
US.WMS,12.61370540258891,2.0,44,2.6952890503156985e-05,31,1,1,7
US.WHR,13.444775807976823,2.0,44,0.00023682910576550966,5,1,1,5784
US.XYZ,13.709888897099896,2.0,44,2.019704110779829e-05,35,1,1,762
US.TMO,13.379206273285075,2.0,44,3.740770296017235e-06,65,1,1,1
US.PH,13.021705122104398,2.0,44,4.080192358173704e-06,63,1,1,11
US.CCL,14.957776348649038,2.0,44,8.319012415213212e-05,15,1,1,4387
US.DDOG,13.737398734932583,2.0,44,1.2980674974263064e-05,43,1,1,40
