stock_owner,sum_log_turnover,sum_volume_open_interest,rank_by_volume,sum_turnover_mktval,rank_by_mktval,appear_days,total_trade_days,sum_open_interest
US.MSTR,477.98439538962856,35.71095276323467,13,0.001484687183501932,1,1,1,172347
US.HIMS,108.94738445025382,9.218100678718073,40,0.0010660209728476533,2,1,1,51632
US.RKLB,416.8426014803494,46.67503173628554,11,0.000903076017522663,3,1,1,45242
US.FBIN,15.146814799852324,0.9852820034049097,129,0.000835615586834285,4,1,1,72836
US.MARA,41.76480048585681,3.558552512294484,68,0.0008204600065997559,5,1,1,39224
US.SNDK,459.5678027071372,52.55115573570477,9,0.000802272584275088,6,1,1,7824
US.CRWV,344.1978972707589,27.853354413886724,18,0.0007374913257546738,7,1,1,109016
US.COIN,254.10072170789923,23.724170396160712,20,0.0007359262418220494,8,1,1,44654
US.NSIT,14.434676912133286,2.0,86,0.0007339134360756552,9,1,1,14
US.MU,1422.9123397822682,151.5473177051284,3,0.0006950543353790302,10,1,1,59229
US.MRNA,113.99628326699711,11.818286686775869,31,0.0006510301456970557,11,1,1,30548
US.TSLA,2631.457536309959,223.87840758416272,2,0.0006236516557695109,12,1,1,536697
US.PENG,26.314485867895918,0.987942214333037,128,0.00046576252744489873,13,1,1,9262
US.QCOM,409.8655283517162,35.15332038158429,14,0.0004651479558841068,14,1,1,61341
US.AMD,1080.309460454313,105.23876813100483,4,0.00043522684704038085,15,1,1,95522
US.SMCI,121.53321385015457,10.33488220108337,38,0.0004255576337276808,16,1,1,60450
US.CLSK,39.19490216648847,2.0116567469228994,85,0.0003946968109603881,17,1,1,29326
US.INTC,827.9487028639257,85.4629277835903,5,0.0003833640122406363,18,1,1,143164
US.CRCL,135.64016865830018,12.197814568838623,29,0.0003703000980110159,19,1,1,22630
US.DVA,28.298575255039665,1.9457262449155928,112,0.0003337634954949021,20,1,1,1865
US.PRKS,13.310933703244645,2.0,86,0.0003220141719130624,21,1,1,981
US.WHR,13.571297852647431,2.0,86,0.0002687713518879889,22,1,1,203
US.SANM,41.72900962689481,4.9559971611071685,54,0.0002613623812439579,23,1,1,1665
US.HLIT,12.65388178926614,2.0,86,0.00022522740804491317,24,1,1,301
US.MP,65.63662709903565,3.2713377216788047,70,0.00021971571352048686,25,1,1,12880
US.AKAM,104.86344895394421,11.087319776395407,33,0.00019264631826709685,26,1,1,3011
US.GLW,278.5925442821759,18.763157739489028,25,0.00019156656755471845,27,1,1,35395
US.MXL,39.744699427324164,3.643588817659489,65,0.00019039802718166964,28,1,1,1434
US.HOOD,149.69399031827643,10.414774677472801,37,0.00016693571685789875,29,1,1,51214
US.MTSI,28.917327950404342,2.1301775147928996,84,0.000154682413039433,30,1,1,1692
US.ACLS,13.557848023023189,2.0,86,0.0001542456272430693,31,1,1,12
US.RDNT,13.445059732217313,2.0,86,0.00015158719765490846,32,1,1,66
US.BIDU,81.87926933162868,3.6251906979798445,66,0.0001463198390044449,33,1,1,23557
US.ENPH,13.460954795544792,1.2035502958579882,122,0.00014601944457716073,34,1,1,845
US.SHOO,12.953277047310394,2.0,86,0.00014225642290011524,35,1,1,610
US.APP,208.91226183025043,20.418755119807244,23,0.00013941228446393087,36,1,1,12814
US.DELL,235.98042718190175,23.68943280034891,21,0.00013813681694428335,37,1,1,13511
US.DDOG,95.77362371464596,8.726693242106832,42,0.00013754715404772135,38,1,1,7440
US.MRVL,273.4787307774901,16.085390741244627,27,0.0001327609215198779,39,1,1,85904
US.PLTR,479.91237025317974,30.880610815628536,15,0.00012636952552471848,40,1,1,167207
US.SATS,54.77236990874599,3.722817428233235,63,0.0001206396346769016,41,1,1,6614
US.PANW,166.26509925752265,10.580545075543707,34,0.00011189285532377276,42,1,1,34424
US.DOCN,14.45188154574614,2.0,86,0.0001104356491335171,43,1,1,25
US.CVNA,80.39733226376947,6.0,51,0.00010984844677938319,44,1,1,0
US.NVDA,1692.8206284316987,80.62456547451882,6,0.00010410895952637028,45,1,1,1649962
US.LITE,43.43162843434675,1.9420395591392907,113,9.628169494012996e-05,46,1,1,2102
US.LTH,13.325891803842682,2.0,86,8.622459196202664e-05,47,1,1,1151
US.CRWD,176.85171334565138,10.548862176728077,36,8.468961675271235e-05,48,1,1,12797
US.CELH,13.434933653073484,1.1415530984829005,124,8.279792429387129e-05,49,1,1,7778
US.BA,268.21895139418757,8.15918833591242,44,8.272878394606736e-05,50,1,1,100020
