stock_owner,sum_log_turnover,sum_volume_open_interest,rank_by_volume,sum_turnover_mktval,rank_by_mktval,appear_days,total_trade_days,sum_open_interest
US.VITL,14.767689919300075,0.14640231092436976,42,0.006764775666606717,1,1,1,30464
US.UPWK,14.425123400531376,0.8240628778718259,32,0.0016886978084541208,2,1,1,4962
US.KBR,28.631654209471378,2.984251968503937,14,0.0007998555023165542,3,1,1,2835
US.FLR,15.027338132652789,0.7993244585734155,33,0.0005553910871209567,4,1,1,5033
US.WHR,14.141352203836584,0.3208296557811121,38,0.0004752856211745938,5,1,1,6798
US.CAR,40.44699955355527,1.8199076934904022,23,0.00041787534815520145,6,1,1,3547
US.ABT,176.7435882332438,17.097829340618077,1,0.00030141384831192764,7,1,1,11487
US.TTD,27.95809407414093,1.1771496607479428,24,0.00021822488160584715,8,1,1,12575
US.MXL,14.268298722819853,1.0,25,0.00017592844427674102,9,1,1,0
US.DHR,45.96005516024526,6.0,5,0.00011901064501345951,10,1,1,1293
US.BSX,43.7101233906602,2.791520893545914,15,0.00010928828038723752,11,1,1,7905
US.SNDK,16.906238007168536,1.0,25,9.50572576764129e-05,12,1,1,0
US.MARA,12.64619035653776,0.719892952720785,34,6.296297487538101e-05,13,1,1,1121
US.HOOD,14.913689752860813,0.12493354598617756,43,4.323017222733828e-05,14,1,1,3762
US.MU,48.224280778989424,6.0,5,3.860821467461556e-05,15,1,1,212
US.CRWV,40.40238444786457,1.9504751293088283,22,3.557567061211254e-05,16,1,1,3638
US.SYK,28.816203802520924,2.684326710816777,16,3.467537869246324e-05,17,1,1,301
US.AKAM,13.519911898532907,1.0,25,3.4503233381218103e-05,18,1,1,0
US.NFLX,108.77122093299948,2.0173199583047117,18,2.972104471870722e-05,19,1,1,51571
US.CRM,28.280416852105397,3.8703703703703702,11,2.1698365328562135e-05,20,1,1,357
US.MCD,55.166081296371544,4.246640439108804,10,2.052002936113997e-05,21,1,1,1036
US.NOW,27.371605759979595,0.9251265558930379,29,2.0041407402946516e-05,22,1,1,1159
US.SHOP,40.88047858321187,3.279107180269971,12,1.917193718236847e-05,23,1,1,2234
US.QCOM,41.948637327365525,5.0,9,1.5381161320809217e-05,24,1,1,12
US.COF,27.11154028771101,3.2485714285714287,13,1.3191172384667562e-05,25,1,1,351
US.META,45.46427428749416,5.09717868338558,8,8.792955607982618e-06,26,1,1,861
US.TSLA,73.66978040879223,7.148264188994526,4,8.371980178429158e-06,27,1,1,989
US.MNST,13.210961994062348,1.0,25,6.474184607674825e-06,28,1,1,0
US.CME,13.308678615493003,0.5167958656330749,35,5.910891175843372e-06,29,1,1,387
US.INTC,66.85350212236713,8.656565656565657,2,5.335901178079917e-06,30,1,1,243
US.UPS,13.02193733385602,0.46907993966817496,37,5.279078008148216e-06,31,1,1,663
US.MSFT,74.62961722113644,8.377555505039023,3,5.260879096429757e-06,32,1,1,2051
US.UBER,13.446330608482288,0.5,36,4.501062890947546e-06,33,1,1,620
US.ANET,13.525956066963806,0.8715277777777778,30,4.193412191771165e-06,34,1,1,288
US.FCX,12.654855830351874,0.24268104776579352,40,3.5357528112975797e-06,35,1,1,1298
US.PLTR,26.157041193631933,0.2949774738375504,39,3.178305741597626e-06,36,1,1,12042
US.APH,12.872429139080063,0.8615384615384616,31,2.472431115446649e-06,37,1,1,260
US.MRK,12.846557173506813,2.0,20,1.37947697003422e-06,38,1,1,1
US.BABA,12.78016598330029,0.1464968152866242,41,1.056820301411856e-06,39,1,1,1570
US.NVDA,12.952497525243501,2.0,20,8.067042143759544e-08,40,1,1,47
US.GLD,42.36131170300026,2.4077551819746645,17,4.431392e-12,41,1,1,4636
US.QQQ,28.798408229322966,2.005,19,3.625342e-12,42,1,1,200
US.USO,53.15881405022108,5.684772370486656,7,2.5410190000000002e-12,43,1,1,795
