stock_owner,sum_log_turnover,sum_volume_open_interest,rank_by_volume,sum_turnover_mktval,rank_by_mktval,appear_days,total_trade_days,sum_open_interest
US.MXL,73.05523565534577,10.0,15,0.0023430294044366126,1,1,1,144
US.CRWV,353.6104144802666,20.286175161835594,9,0.0004689630663790403,2,1,1,190104
US.QCOM,481.0752576621571,58.74045979795785,3,0.000422333166436328,3,1,1,49186
US.EXPE,30.848812929704327,4.0,27,0.0003626156587149935,4,1,1,204
US.MARA,27.231486141894724,2.9218682737839003,38,0.00034710251381423477,5,1,1,28474
US.MRNA,121.38350760258535,7.692679111400594,20,0.000337274918983184,6,1,1,38481
US.PENG,25.576216565842508,2.902423051735429,39,0.0003234425735672584,7,1,1,1924
US.RKLB,220.73835919184265,22.155740494731265,7,0.0003199546957139413,8,1,1,31975
US.MU,1192.3459025515458,118.57141191948533,1,0.00029543945207778454,9,1,1,65425
US.CELH,40.50628531409566,3.0798773097423378,37,0.0002873279356564035,10,1,1,25263
US.MP,66.09943887623722,1.596096253928262,75,0.0002510439059090894,11,1,1,19933
US.CRCL,131.92670671471146,8.259206534357933,18,0.00021908218924426726,12,1,1,33752
US.VSH,13.828274747982043,2.0,48,0.00021721049240931383,13,1,1,40
US.VST,123.97650130441366,15.463992951811845,11,0.00021692609966244582,14,1,1,17822
US.SMCI,67.45710456203068,5.605271954905019,25,0.0002027625827866495,15,1,1,49621
US.VIAV,14.641648109823095,0.9595503774204135,83,0.0001907160221664211,16,1,1,12188
US.INTC,856.1934219786087,90.50815341721535,2,0.00018986210414360477,17,1,1,98839
US.WHR,13.041931760782177,2.0,48,0.00015830032855581217,18,1,1,229
US.SNDK,241.19768213726542,32.406453051961904,6,0.00015677782119284076,19,1,1,5698
US.LYFT,13.66056756433932,2.0,48,0.0001561897445161391,20,1,1,2005
US.SATS,15.41503267094899,2.0,48,0.00013478325030945,21,1,1,717
US.ALB,40.56256728530964,6.0,23,0.00010454515079407416,22,1,1,1150
US.COIN,106.68878445286391,3.740273951890776,33,9.853020660579984e-05,23,1,1,30562
US.DELL,177.30196987816421,21.26799121501432,8,9.165752743812739e-05,24,1,1,6476
US.CLX,26.059156436162095,0.7039680434030944,88,8.776302908771578e-05,25,1,1,12954
US.AMD,503.25508802786015,42.34194002386617,5,8.585673231520655e-05,26,1,1,56986
US.TTD,26.002241959118297,2.5614085204144263,46,8.540233887237674e-05,27,1,1,7754
US.MSTR,105.60149662008263,9.335355649644226,16,7.909073874020229e-05,28,1,1,23476
US.TSLA,890.0996752660234,48.24427069147425,4,7.899640886411215e-05,29,1,1,272268
US.LITE,54.55033872321324,4.097204283150175,26,6.955600489450143e-05,30,1,1,2161
US.BSX,29.169548146214673,4.0,27,6.904501918052655e-05,31,1,1,3075
US.SANM,13.637590102101974,2.0,48,6.288093742048498e-05,32,1,1,9
US.AKAM,38.878967805996986,6.0,23,6.0410671410010176e-05,33,1,1,81
US.GLW,172.26744997824815,13.068638660270631,13,4.958710468786039e-05,34,1,1,22803
US.GME,13.140417417989914,0.08552555942265283,101,4.676486633125571e-05,35,1,1,95679
US.DOCN,13.590629247621079,0.12849162011173185,98,4.667365951414212e-05,36,1,1,1790
US.ORCL,298.8762157980315,11.133507944306878,14,4.44243240865176e-05,37,1,1,224921
US.APP,119.92003815147247,8.300856958278207,17,4.4140839338538885e-05,38,1,1,5844
US.MRVL,80.40482416926142,3.5049764243051933,34,3.2285522265374245e-05,39,1,1,16822
US.ARM,95.1785667165935,3.757468762380507,32,3.170156365734987e-05,40,1,1,21979
US.PFGC,13.016520523217753,2.0,48,3.074758255077871e-05,41,1,1,409
US.INSM,13.391640615192475,2.0,48,2.979388856820029e-05,42,1,1,12
US.DVN,13.621649071574243,0.1017044322483653,99,2.906532462326125e-05,43,1,1,55209
US.NOW,53.393192017005084,1.0410033577049016,79,2.8161923519721166e-05,44,1,1,22803
US.DDOG,14.40703301387927,2.0,48,2.53580571981707e-05,45,1,1,268
US.RCL,14.433191998867395,0.8605209047292666,84,2.5124256389407862e-05,46,1,1,2918
US.PLTR,172.32648384711715,2.8288911837260295,40,2.4711466992767398e-05,47,1,1,175517
US.XPEV,12.636093771534226,0.10118164004512796,100,2.058669965971672e-05,48,1,1,16841
US.HOOD,51.02405465877358,2.629244280790913,45,2.0055371716280952e-05,49,1,1,21155
US.RTX,28.85560268583093,4.0,27,1.9477473176306046e-05,50,1,1,3121
