stock_owner,active_days,persistence_ratio,max_consecutive_days,total_turnover,max_daily_turnover,peak_date,dominant_bucket,window_days,bp_ATM_active_days,bp_ATM_ratio,bp_DEEP_ITM_active_days,bp_DEEP_ITM_ratio,bp_DEEP_OTM_active_days,bp_DEEP_OTM_ratio
US.AA,1,0.5,1,1272902.0,1272902.0,2026-05-08,ATM,2,1.0,0.5,,,,
US.AAL,2,1.0,2,8165896.0,6052292.0,2026-05-09,DEEP_OTM,2,2.0,1.0,1.0,0.5,2.0,1.0
US.AAON,1,0.5,1,10137883.0,10137883.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,1.0,0.5
US.AAPL,2,1.0,2,999679091.0,539319627.0,2026-05-09,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.ABBV,1,0.5,1,4051747.0,4051747.0,2026-05-08,DEEP_ITM,2,1.0,0.5,1.0,0.5,1.0,0.5
US.ABNB,2,1.0,2,7503097.0,6997804.0,2026-05-08,ATM,2,2.0,1.0,1.0,0.5,,
US.ABT,2,1.0,2,69160142.0,44268557.0,2026-05-09,DEEP_ITM,2,,,2.0,1.0,,
US.ACLS,1,0.5,1,772855.0,772855.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.ACN,1,0.5,1,13105870.0,13105870.0,2026-05-08,DEEP_ITM,2,,,1.0,0.5,,
US.ADBE,2,1.0,2,15314166.0,9993703.0,2026-05-09,ATM,2,2.0,1.0,,,1.0,0.5
US.ADI,2,1.0,2,70355120.0,69604704.0,2026-05-09,DEEP_ITM,2,2.0,1.0,1.0,0.5,,
US.ADM,1,0.5,1,365994.0,365994.0,2026-05-09,DEEP_OTM,2,,,,,1.0,0.5
US.AEP,1,0.5,1,27431308.0,27431308.0,2026-05-08,DEEP_ITM,2,1.0,0.5,1.0,0.5,,
US.AGX,1,0.5,1,2305255.0,2305255.0,2026-05-09,DEEP_OTM,2,,,,,1.0,0.5
US.AKAM,2,1.0,2,45993335.0,37159362.0,2026-05-09,DEEP_ITM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.ALB,2,1.0,2,5918501.0,3565625.0,2026-05-09,DEEP_OTM,2,2.0,1.0,,,2.0,1.0
US.ALL,1,0.5,1,304500.0,304500.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.AMAT,2,1.0,2,21732925.0,12631460.0,2026-05-09,ATM,2,2.0,1.0,1.0,0.5,1.0,0.5
US.AMD,2,1.0,2,1963597129.0,1514964880.0,2026-05-09,DEEP_ITM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.AMKR,2,1.0,2,3014386.0,2080031.0,2026-05-09,ATM,2,2.0,1.0,1.0,0.5,,
US.AMT,1,0.5,1,861749.0,861749.0,2026-05-09,ATM,2,1.0,0.5,,,,
US.AMZN,2,1.0,2,283610150.0,187505511.0,2026-05-08,ATM,2,2.0,1.0,2.0,1.0,2.0,1.0
US.ANET,2,1.0,2,4294946.0,2150439.0,2026-05-08,ATM,2,2.0,1.0,1.0,0.5,1.0,0.5
US.ANF,1,0.5,1,1350510.0,1350510.0,2026-05-08,ATM,2,1.0,0.5,,,,
