stock_owner,stop_status,peak_date,peak_turnover,stop_date,active_days,persistence_ratio,dominant_bucket
US.AAL,ONGOING,2026-05-09,6052292.0,,3,1.0,DEEP_OTM
US.AAPL,ONGOING,2026-05-09,539319627.0,,3,1.0,ATM
US.ABNB,ACTIVE,2026-05-08,6997804.0,,3,1.0,ATM
US.ABT,ONGOING,2026-05-09,44268557.0,,2,0.6667,DEEP_ITM
US.ACN,ONGOING,2026-05-08,13105870.0,,2,0.6667,DEEP_ITM
US.ADBE,ONGOING,2026-05-09,9993703.0,,3,1.0,ATM
US.ADI,ONGOING,2026-05-09,69604704.0,,3,1.0,DEEP_ITM
US.AKAM,ONGOING,2026-05-09,37159362.0,,3,1.0,DEEP_ITM
US.ALB,ACTIVE,2026-05-07,5892488.0,,3,1.0,ATM
US.AMAT,ONGOING,2026-05-09,12631460.0,,3,1.0,ATM
US.AMD,ONGOING,2026-05-09,1514964880.0,,3,1.0,DEEP_ITM
US.AMKR,ONGOING,2026-05-09,2080031.0,,2,0.6667,ATM
US.AMZN,ACTIVE,2026-05-07,240563039.0,,3,1.0,ATM
US.ANET,ACTIVE,2026-05-07,19281132.0,,3,1.0,ATM
US.APO,ONGOING,2026-05-09,1722775.0,,2,0.6667,ATM
US.APP,ACTIVE,2026-05-08,68944011.0,,3,1.0,ATM
US.ARES,ACTIVE,2026-05-07,1195837.0,,2,0.6667,ATM
US.ARM,ACTIVE,2026-05-07,203759772.0,,3,1.0,ATM
US.ASML,ACTIVE,2026-05-07,48608478.0,,3,1.0,ATM
US.AVAV,ONGOING,2026-05-08,11034162.0,,2,0.6667,ATM
US.AVGO,ONGOING,2026-05-09,114022500.0,,3,1.0,ATM
US.AXON,ACTIVE,2026-05-07,6803497.0,,2,0.6667,ATM
US.AXP,ONGOING,2026-05-09,1459323.0,,2,0.6667,DEEP_OTM
US.BA,ONGOING,2026-05-09,22508381.0,,3,1.0,ATM
US.BABA,ACTIVE,2026-05-07,63852718.0,,3,1.0,ATM
US.BAC,ONGOING,2026-05-09,14062000.0,,3,1.0,ATM
US.BIDU,ONGOING,2026-05-09,7431197.0,,3,1.0,ATM
US.BKNG,ACTIVE,2026-05-07,3462500.0,,2,0.6667,ATM
US.BRK.B,ONGOING,2026-05-09,1562306.0,,3,1.0,ATM
US.BSX,ACTIVE,2026-05-08,30055694.0,,2,0.6667,DEEP_ITM
US.BWA,ACTIVE,2026-05-07,763395.0,,2,0.6667,DEEP_OTM
US.BX,ACTIVE,2026-05-08,7407875.0,,2,0.6667,DEEP_ITM
US.C,ONGOING,2026-05-09,9996275.0,,3,1.0,ATM
US.CAH,ACTIVE,2026-05-08,595335.0,,2,0.6667,ATM
US.CAR,ACTIVE,2026-05-08,128718752.0,,3,1.0,DEEP_ITM
US.CAT,ACTIVE,2026-05-07,17102700.0,,3,1.0,DEEP_ITM
US.CBOE,ONGOING,2026-05-09,695164.0,,2,0.6667,ATM
US.CCL,ACTIVE,2026-05-08,5629120.0,,2,0.6667,DEEP_OTM
US.CEG,ONGOING,2026-05-09,6376516.0,,3,1.0,ATM
US.CELH,ACTIVE,2026-05-07,4216682.0,,3,1.0,DEEP_OTM
US.CF,ACTIVE,2026-05-07,1192565.0,,2,0.6667,ATM
US.CGNX,ONGOING,2026-05-08,7263546.0,,2,0.6667,ATM
US.CIEN,ACTIVE,2026-05-07,4962013.0,,2,0.6667,ATM
US.CLX,ACTIVE,2026-05-07,3154398.0,,3,1.0,DEEP_OTM
US.COHR,ACTIVE,2026-05-08,28021524.0,,3,1.0,ATM
US.COIN,ACTIVE,2026-05-08,74234831.0,,3,1.0,ATM
US.COP,ONGOING,2026-05-09,80495164.0,,3,1.0,DEEP_ITM
US.CRM,ONGOING,2026-05-09,22445976.0,,3,1.0,ATM
US.CRWD,ACTIVE,2026-05-08,26138308.0,,3,1.0,ATM
US.CSCO,ONGOING,2026-05-09,16842449.0,,2,0.6667,ATM
US.CVNA,ACTIVE,2026-05-07,103157291.0,,3,1.0,ATM
US.CVS,ONGOING,2026-05-09,3071787.0,,3,1.0,ATM
US.CVX,ONGOING,2026-05-09,2071392.0,,3,1.0,ATM
US.CYTK,ONGOING,2026-05-09,6164094.0,,2,0.6667,DEEP_ITM
US.DAL,ACTIVE,2026-05-08,1946546.0,,3,1.0,ATM
US.DASH,ONGOING,2026-05-09,15304658.0,,3,1.0,DEEP_ITM
US.DDOG,ACTIVE,2026-05-08,117183701.0,,3,1.0,DEEP_ITM
US.DE,ONGOING,2026-05-08,1599042.0,,2,0.6667,ATM
US.DELL,ONGOING,2026-05-09,54902876.0,,3,1.0,ATM
US.DHI,ONGOING,2026-05-09,1066813.0,,2,0.6667,DEEP_ITM
US.DHR,ACTIVE,2026-05-08,22775316.0,,2,0.6667,DEEP_ITM
US.DIS,ONGOING,2026-05-09,4140381.0,,3,1.0,DEEP_ITM
US.DOCN,ACTIVE,2026-05-07,14340450.0,,3,1.0,DEEP_OTM
US.DOCS,ACTIVE,2026-05-08,576004.0,,2,0.6667,ATM
US.DUOL,ONGOING,2026-05-08,3288796.0,,2,0.6667,DEEP_ITM
US.DVA,ACTIVE,2026-05-07,7725287.0,,3,1.0,ATM
US.DVN,ACTIVE,2026-05-08,8409397.0,,3,1.0,DEEP_OTM
US.EA,ACTIVE,2026-05-07,9434944.0,,2,0.6667,DEEP_OTM
US.EL,ONGOING,2026-05-09,822073.0,,2,0.6667,DEEP_ITM
US.EOG,ACTIVE,2026-05-07,1750250.0,,2,0.6667,ATM
US.EQT,ACTIVE,2026-05-07,957738.0,,2,0.6667,DEEP_OTM
US.ETN,ACTIVE,2026-05-08,35634490.0,,3,1.0,DEEP_ITM
US.EXPE,ONGOING,2026-05-09,12610620.0,,2,0.6667,DEEP_OTM
US.FCX,ACTIVE,2026-05-07,8836845.0,,3,1.0,DEEP_OTM
US.FLEX,ACTIVE,2026-05-08,18096981.0,,3,1.0,DEEP_ITM
US.FLR,ONGOING,2026-05-09,3359618.0,,2,0.6667,DEEP_ITM
US.FOUR,ACTIVE,2026-05-08,548535.0,,2,0.6667,DEEP_ITM
US.FSLR,ACTIVE,2026-05-08,4713929.0,,2,0.6667,DEEP_OTM
US.FTNT,ACTIVE,2026-05-08,35140129.0,,3,1.0,DEEP_ITM
US.GE,ACTIVE,2026-05-07,34062955.0,,3,1.0,ATM
US.GEV,ONGOING,2026-05-09,6738295.0,,3,1.0,DEEP_OTM
US.GLW,ACTIVE,2026-05-07,69898969.0,,3,1.0,ATM
US.GME,ACTIVE,2026-05-07,5894490.0,,3,1.0,ATM
US.GOOG,ACTIVE,2026-05-07,225970170.0,,3,1.0,ATM
US.GOOGL,ACTIVE,2026-05-08,341552168.0,,3,1.0,ATM
US.GS,ACTIVE,2026-05-08,4316605.0,,3,1.0,ATM
US.GWW,ACTIVE,2026-05-08,5121189.0,,2,0.6667,DEEP_ITM
US.HD,ACTIVE,2026-05-08,18454580.0,,3,1.0,DEEP_ITM
US.HIMS,ONGOING,2026-05-09,8489835.0,,2,0.6667,ATM
US.HON,ACTIVE,2026-05-07,1395183.0,,2,0.6667,DEEP_OTM
US.HOOD,ACTIVE,2026-05-08,33411234.0,,3,1.0,ATM
US.HPE,ACTIVE,2026-05-07,841363.0,,2,0.6667,DEEP_OTM
US.HUM,ONGOING,2026-05-09,1630329.0,,2,0.6667,DEEP_ITM
US.HWM,ONGOING,2026-05-08,5409772.0,,2,0.6667,ATM
US.IBM,ACTIVE,2026-05-08,25340646.0,,3,1.0,DEEP_ITM
US.INSM,ACTIVE,2026-05-08,4506247.0,,3,1.0,DEEP_ITM
US.INTC,ONGOING,2026-05-09,795206506.0,,3,1.0,ATM
US.INTU,ACTIVE,2026-05-08,27889240.0,,3,1.0,DEEP_ITM
US.JBL,ACTIVE,2026-05-08,13522317.0,,3,1.0,ATM
US.JD,ONGOING,2026-05-09,1362197.0,,3,1.0,DEEP_OTM
US.JNJ,ACTIVE,2026-05-07,2966888.0,,3,1.0,ATM
US.JPM,ONGOING,2026-05-09,11712263.0,,3,1.0,ATM
US.KLAC,ONGOING,2026-05-09,5311613.0,,2,0.6667,ATM
US.LEN,ONGOING,2026-05-08,2276800.0,,2,0.6667,DEEP_ITM
US.LITE,ACTIVE,2026-05-07,93487755.0,,3,1.0,DEEP_ITM
US.LLY,ACTIVE,2026-05-08,15912368.0,,3,1.0,DEEP_ITM
US.LRCX,ACTIVE,2026-05-07,48672559.0,,3,1.0,ATM
US.LULU,ONGOING,2026-05-08,9082220.0,,2,0.6667,DEEP_ITM
US.MA,ACTIVE,2026-05-08,2984620.0,,2,0.6667,DEEP_ITM
US.MCD,ACTIVE,2026-05-08,17022452.0,,3,1.0,DEEP_ITM
US.MCHP,ONGOING,2026-05-09,718453230.0,,3,1.0,DEEP_ITM
US.MCK,ACTIVE,2026-05-07,7175235.0,,3,1.0,ATM
US.META,ACTIVE,2026-05-08,291630106.0,,3,1.0,ATM
US.MP,ONGOING,2026-05-09,7947897.0,,3,1.0,ATM
US.MRNA,ONGOING,2026-05-09,28601147.0,,3,1.0,ATM
US.MRVL,ACTIVE,2026-05-07,55939616.0,,3,1.0,ATM
US.MS,ACTIVE,2026-05-07,1172455.0,,2,0.6667,ATM
US.MSFT,ACTIVE,2026-05-08,459336414.0,,3,1.0,ATM
US.MSTR,ACTIVE,2026-05-07,193444830.0,,3,1.0,ATM
US.MTSI,ACTIVE,2026-05-07,18904111.0,,3,1.0,ATM
US.MU,ONGOING,2026-05-09,1709934710.0,,3,1.0,ATM
US.NEM,ONGOING,2026-05-08,4438185.0,,2,0.6667,ATM
US.NFLX,ACTIVE,2026-05-08,79073837.0,,3,1.0,DEEP_ITM
US.NKE,ACTIVE,2026-05-08,3361108.0,,3,1.0,DEEP_ITM
US.NOW,ACTIVE,2026-05-08,90856144.0,,3,1.0,DEEP_ITM
US.NRG,ACTIVE,2026-05-07,637790.0,,2,0.6667,DEEP_ITM
US.NUE,ACTIVE,2026-05-07,4827538.0,,2,0.6667,DEEP_ITM
US.NVDA,ACTIVE,2026-05-08,1309675221.0,,3,1.0,ATM
US.NXPI,ACTIVE,2026-05-07,4754806.0,,2,0.6667,ATM
US.OKTA,ACTIVE,2026-05-08,4793657.0,,2,0.6667,ATM
US.ON,ACTIVE,2026-05-07,6368572.0,,3,1.0,DEEP_OTM
US.ONTO,ONGOING,2026-05-09,1717598.0,,2,0.6667,ATM
US.ORCL,ACTIVE,2026-05-08,204796680.0,,3,1.0,ATM
US.PANW,ACTIVE,2026-05-08,31103292.0,,3,1.0,ATM
US.PDD,ACTIVE,2026-05-07,1141488.0,,2,0.6667,ATM
US.PEP,ACTIVE,2026-05-07,1318564.0,,2,0.6667,ATM
US.PFE,ACTIVE,2026-05-08,36192769.0,,2,0.6667,DEEP_ITM
US.PFGC,ONGOING,2026-05-09,1429630.0,,2,0.6667,ATM
US.PG,ACTIVE,2026-05-07,1332811.0,,2,0.6667,ATM
US.PLNT,ACTIVE,2026-05-07,2243906.0,,2,0.6667,DEEP_OTM
US.PLTR,ACTIVE,2026-05-07,165411781.0,,3,1.0,ATM
US.PWR,ACTIVE,2026-05-08,5939316.0,,2,0.6667,DEEP_ITM
US.PYPL,ACTIVE,2026-05-08,521360.0,,2,0.6667,DEEP_ITM
US.QCOM,ACTIVE,2026-05-08,313830917.0,,3,1.0,ATM
US.RCL,ONGOING,2026-05-09,43869071.0,,2,0.6667,ATM
US.RTX,ONGOING,2026-05-09,4618839.0,,2,0.6667,DEEP_OTM
US.SATS,ONGOING,2026-05-09,9381827.0,,3,1.0,DEEP_OTM
US.SBUX,ACTIVE,2026-05-07,1416119.0,,2,0.6667,ATM
US.SCHW,ACTIVE,2026-05-08,9385537.0,,3,1.0,DEEP_ITM
US.SHOP,ACTIVE,2026-05-07,198894546.0,,3,1.0,ATM
US.SMCI,ACTIVE,2026-05-07,70351511.0,,3,1.0,DEEP_ITM
US.SNDK,ONGOING,2026-05-09,415342756.0,,3,1.0,ATM
US.SNPS,ACTIVE,2026-05-08,1430010.0,,2,0.6667,ATM
US.STX,ACTIVE,2026-05-08,9446411.0,,3,1.0,ATM
US.SYK,ACTIVE,2026-05-08,17910580.0,,2,0.6667,DEEP_ITM
US.TDG,ACTIVE,2026-05-08,1668251.0,,2,0.6667,ATM
US.TER,ACTIVE,2026-05-07,4533694.0,,3,1.0,ATM
US.TMO,ACTIVE,2026-05-08,11317470.0,,2,0.6667,DEEP_ITM
US.TPR,ACTIVE,2026-05-07,6998126.0,,2,0.6667,ATM
US.TSLA,ACTIVE,2026-05-08,1913159109.0,,3,1.0,ATM
US.TTD,ACTIVE,2026-05-08,10678091.0,,2,0.6667,ATM
US.TXN,ACTIVE,2026-05-07,14256901.0,,3,1.0,ATM
US.UAL,ACTIVE,2026-05-08,10302797.0,,3,1.0,ATM
US.UBER,ACTIVE,2026-05-07,7153116.0,,3,1.0,ATM
US.UNH,ONGOING,2026-05-09,26204524.0,,3,1.0,ATM
US.UPS,ACTIVE,2026-05-08,4167310.0,,3,1.0,DEEP_ITM
US.V,ACTIVE,2026-05-07,3158906.0,,3,1.0,ATM
US.VRT,ACTIVE,2026-05-07,21186517.0,,3,1.0,DEEP_ITM
US.VST,ONGOING,2026-05-09,18421637.0,,3,1.0,DEEP_OTM
US.VTRS,ACTIVE,2026-05-08,1220857.0,,3,1.0,DEEP_ITM
US.WBD,ACTIVE,2026-05-07,5454816.0,,3,1.0,ATM
US.WDAY,ACTIVE,2026-05-08,2926747.0,,3,1.0,ATM
US.WDC,ONGOING,2026-05-09,22613424.0,,3,1.0,ATM
US.WFC,ACTIVE,2026-05-08,63131885.0,,3,1.0,DEEP_ITM
US.WMT,ACTIVE,2026-05-08,115980912.0,,2,0.6667,DEEP_ITM
US.XOM,ONGOING,2026-05-09,3461112.0,,3,1.0,ATM
US.XYZ,ACTIVE,2026-05-07,5754799.0,,3,1.0,ATM
US.ZS,ACTIVE,2026-05-08,8042550.0,,2,0.6667,DEEP_ITM
US.ZTS,ACTIVE,2026-05-08,12597381.0,,3,1.0,DEEP_ITM
